,ID,Status,Created At,Text,Polarity,Polarity Strength
14,1290918925736132609,tweet,2020-08-05 07:53:50,"#Adani Ports and Special Economic Zone (APSEZ) on Tuesday said it has raised $750 million (about Rs. 5,600 crore) by issuing fixed rate senior unsecured notes.  @AdaniOnline @gautam_adani https://t.co/e33UjLQQOS",1,0.21904761904761905
13,1290831790488207360,retweet,2020-08-05 02:07:36,Adani Ports and Special Economic Zone lists USD 750 Mn bonds on India INX’s Global Securities Market platform. @ashishchauhan @balav901 @SameerPatil2019 @ShankarJadhav01 @YatinPadia,1,0.18571428571428572
12,1290827142528286726,retweet,2020-08-05 01:49:07,Adani Ports and Special Economic Zone lists USD 750 Mn bonds on India INX’s Global Securities Market platform. @ashishchauhan @balav901 @SameerPatil2019 @ShankarJadhav01 @YatinPadia,1,0.18571428571428572
11,1290663522263797762,tweet,2020-08-04 14:58:57,Adani Ports and Special Economic Zone (APSEZ) to list USD 750 million foreign currency bonds on India International Exchange (India INX) @timesofindia,1,0.10803571428571429
10,1290654983298441217,tweet,2020-08-04 14:25:01,Adani Ports and Special Economic Zone Limited - Updates: Adani Ports and Special Economic Zone Limited has informed the Exchange regarding 'Intimation under the Securities and Exchange Board of India (ListingObligations and Disclosure Requirements)… https://t.co/LMYf1c2D69,1,0.1619047619047619
9,1290637782709395457,retweet,2020-08-04 13:16:40,Adani Ports and Special Economic Zone lists USD 750 Mn bonds on India INX’s Global Securities Market platform. @ashishchauhan @balav901 @SameerPatil2019 @ShankarJadhav01 @YatinPadia,1,0.18571428571428572
8,1290635860321243138,tweet,2020-08-04 13:09:02,Adani Ports and Special Economic Zone lists USD 750 Mn bonds on India INX’s Global Securities Market platform. @ashishchauhan @balav901 @SameerPatil2019 @ShankarJadhav01 @YatinPadia,1,0.18571428571428572
7,1289531457623400448,tweet,2020-08-01 12:00:32,Adani Ports and Special Economic Zone Limited - Updates: Adani Ports and Special Economic Zone Limited has informed the Exchange regarding 'Board Meeting Intimation for To Consider And Approve The Unaudited Financial Results For The Quarter Ended 30Th… https://t.co/r2n1UitIHd,1,0.13877551020408166
6,1289471055245918208,tweet,2020-08-01 08:00:31,"India: Adani Ports and Special Economic Zone (SEZ) launched an off-shore bond offering on July 29, raising $750 million.😃 https://t.co/rWNKm9OHR6 #Adani #SEZ #sez #Trade #IndianMatchmaking #invest #India https://t.co/vPOaCZ2r4l",1,0.2785714285714286
5,1288615394479976448,tweet,2020-07-29 23:20:26,Adani Ports and Special Economic Zone Ltd plans to raise $750 million through unsecured notes with a view to repay the debt of its subsidiaries. #AdaniPort #Adani #FinancialResults  https://t.co/UyosXEaQM4,1,0.2785714285714286
4,1288470939928334337,tweet,2020-07-29 13:46:25,"🇮🇳India  Adani Ports and Special Economic Zone, 4.2% 4aug2027, USD | 750m  🇬🇹 #Guatemala  Central American Bottling Corporation, 5.75% 31jan2027, USD | 700m  🇵🇦 #Panama Banistmo, 4.25% 31jul2027, USD | 400m  🇶🇦Qatar  Commercial Bank (Q.S.C.), 4% 5aug2023, CNY | 24.4m",1,0.11142857142857143
3,1288465069714501632,retweet,2020-07-29 13:23:05,"Adani Ports and Special Economic Zone (APSEZ) to raise $750 million (over Rs 5,610 crore) to fund its capital expenditure requirements and to retire some of its debt.  https://t.co/LAI68nI4Kh",1,0.2785714285714286
2,1288464565047631872,tweet,2020-07-29 13:21:05,"Adani Ports and Special Economic Zone (APSEZ) to raise $750 million (over Rs 5,610 crore) to fund its capital expenditure requirements and to retire some of its debt. #adaniport #adani #sez #bse #nse https://t.co/XvuxO6cMRA",1,0.2785714285714286
1,1288464297631207424,tweet,2020-07-29 13:20:01,"Adani Ports and Special Economic Zone (APSEZ) to raise $750 million (over Rs 5,610 crore) to fund its capital expenditure requirements and to retire some of its debt.  https://t.co/LAI68nI4Kh",1,0.2785714285714286
0,1287635846745661441,retweet,2020-07-27 06:28:03,@CCI_India approves acquisition of Krishnapatnam Port Company Limited by Adani Ports and Special Economic Zone Limited https://t.co/9AdsSJamGS,1,0.10357142857142856
