,ID,Status,Created At,Text,Polarity,Polarity Strength
91,1291070730331983872,tweet,2020-08-05 17:57:03,"Stocks To Watch: Gujarat Gas, Tata Consumer &amp; Axis Bank https://t.co/geCUI7Y5Sk via @YouTube",0,0.0
90,1291067836878721026,retweet,2020-08-05 17:45:33,"Axis Bank and HDFC Ltd both open QIP's simultaneously  Massive supply of equity coming into the markets. Managements are smart, liquidity is ample and they are taking it in while it lasts..",1,0.07142857142857142
89,1291067753307152384,retweet,2020-08-05 17:45:13,Marcellus CCP has a coverage universe of 25 stocks: 1)Hdfc Bank 2)Kotak Bank 3)Bajaj Finance 4)Asian Paints 5)Berger Paints 6)Pidilite 7)Relaxo Footwears 8)Page Industries 9)Dr. Lal Pathlabs 10)Nestle 11)ITC 12)Abbott 13)Divis Labs 14)Axis Bank 15)Titan 16)Eicher 17)TCS 18)Marico,0,0.0
88,1291067569852448768,retweet,2020-08-05 17:44:30,"on 06Aug 9.45am,Sanjay Pate VicePresident AXIS Bank will be speaking to Agri econ students of @SSE_Symbiosis on macro-aspects of Agricultural Finance. Anyone interested to join the session DM. Sanjay Pate is a father of @SaniekaPate  #agrieconsse #agrifinance",1,0.25
87,1291066993211105282,tweet,2020-08-05 17:42:12,@AxisBank Very disappointed by axis bank credit card team. I have salary account in axis but every time declined my credit card application.  My salary credited in axis but axis bank didn't approve mu credit card application. Never bother for customer satisfaction and I am eligible card,-1,-0.9750000000000001
86,1291065969498918912,retweet,2020-08-05 17:38:08,"Would like to acknowledge donation of 1000 face shields, 1000 N95 masks, 1000 surgical gloves, 500 medical gowns, 1000 PPE Kits and 5 multipara monitors made by Axis Bank. Together we fight #covid19.  @AxisBank  @ChhattisgarhCMO  @HealthCgGov",0,0.0
85,1291063884137115648,tweet,2020-08-05 17:29:51,@Iam_abhinay12 Debit Card EMI/Pre-approved EMI and No cost EMI on Debit Cards are offered by HDFC/AXIS/ICICI/SBI banks. Request you to get in touch with the card issuing bank to get the Pre-approved EMI for debit cards. (2/3),0,0.0
84,1291060995293450240,retweet,2020-08-05 17:18:22,"@AxisBank @RBI @FinMinIndia Fraudulent overseas online transaction through Axis Debit Card reported on 22nd June vide SRN 61182355. But no action till date. Was supposed to get temporary credit, but bank sleeping. What's @RBI advertise for? Why customer suffering? Plz look into.",-1,-0.05
83,1291057945887686656,retweet,2020-08-05 17:06:15,"Would like to acknowledge donation of 1000 face shields, 1000 N95 masks, 1000 surgical gloves, 500 medical gowns, 1000 PPE Kits and 5 multipara monitors made by Axis Bank. Together we fight #covid19.  @AxisBank  @ChhattisgarhCMO  @HealthCgGov",0,0.0
82,1291054241872621569,tweet,2020-08-05 16:51:32,"@AxonopusC And you forgot to mention HDFC too. the PE price gave the dip towards your buy zone &amp; bounced  I have booked profit in Tatasteel, but not on axis bank. the move was quick.. am hoping that it will go towards 15-20 levels.. your thoughts? Hdfc bank reversed becz of the newsflow..",1,0.3333333333333333
81,1291051031741132801,tweet,2020-08-05 16:38:47,"@chikki84663505 Hi, We have already processed the refund for your order. Order ID # VM20652952 Refund Amount - Rs. 1116/- Bank Reference  / UTR # 753043606 Processed on - 3rd August 2020 This will be credited to your Axis Bank account in 5-7 working days. Thank You!",0,0.0
80,1291050917131780096,retweet,2020-08-05 16:38:19,"Several domestic mutual funds and insurance companies are in the fray for the Axis Bank QIP by Axis Bank on Wednesday, five people familiar with the deal told ET. https://t.co/w9HUpN1Gvf",1,0.125
79,1291049522920067076,retweet,2020-08-05 16:32:47,"Would like to acknowledge donation of 1000 face shields, 1000 N95 masks, 1000 surgical gloves, 500 medical gowns, 1000 PPE Kits and 5 multipara monitors made by Axis Bank. Together we fight #covid19.  @AxisBank  @ChhattisgarhCMO  @HealthCgGov",0,0.0
78,1291049148876169217,tweet,2020-08-05 16:31:18,"@AxisBankSupport Can you Please provide me some info? I’ve applied for Flipkart Axis bank credit card but without giving any valid reason my application is rejected. Please give me a valid reason. As per i know, I’m eligible for this and i’ve all documents that you’re asking for. https://t.co/8IqKlMbN5R",0,0.0
77,1291048877144117250,tweet,2020-08-05 16:30:13,"Several domestic mutual funds and insurance companies are in the fray for the Axis Bank QIP by Axis Bank on Wednesday, five people familiar with the deal told ET. https://t.co/w9HUpN1Gvf",1,0.125
76,1291048797171154944,tweet,2020-08-05 16:29:54,"@sahneydeepak  Sir what do you think of axis bank, have taken a call on this at 450ce , what to do after tomorrow’s mpc if banknifty crashes? Thankyouu",0,0.0
