,ID,Status,Created At,Text,Polarity,Polarity Strength
95,1291073153934925824,tweet,2020-08-05 18:06:41,@Bajaj_Finance Please do call me tomorrow morning and kindly help me,1,0.6
94,1291071886030340097,tweet,2020-08-05 18:01:39,@Bajaj_Finance Done.   Please check and hope you respond atleast. Your so called esteemed RBL is not responding and without working on the query that have closed.,-1,-0.1
93,1291071406013210625,tweet,2020-08-05 17:59:44,@Bajaj_Finance No you did nothing.,0,0.0
92,1291071275331395584,tweet,2020-08-05 17:59:13,"@JigneshKhodidas Hi, With reference to your post, we have shared the necessary resolution on your email ID, under service request number SRxxxx216. Thank you -  Aditya",0,0.0
91,1291071191973732353,tweet,2020-08-05 17:58:53,@GabbbarSingh Buy Bajaj Finance shares and a bitcoin.,0,0.0
90,1291071078593228800,tweet,2020-08-05 17:58:26,"@Bajaj_Finance My Req SR38315941 is openend from last  10 days but still it's in process, may i know by when it wil get fixed. very poor Service from you guys Shame !! Every time i have to make you guys, feels guilty on twitter and then you guys are working on REQ.",-1,-0.303125
89,1291071000877170697,tweet,2020-08-05 17:58:08,"@introvertNigga_ Hi, We are unfortunate to know that our service did not meet your expectation. Customer satisfaction is of utmost importance to us and we want to make it up to you. We will be reaching out to you via DM at the earliest. Thank you - Afrin",-1,-0.5
88,1291067753307152384,retweet,2020-08-05 17:45:13,Marcellus CCP has a coverage universe of 25 stocks: 1)Hdfc Bank 2)Kotak Bank 3)Bajaj Finance 4)Asian Paints 5)Berger Paints 6)Pidilite 7)Relaxo Footwears 8)Page Industries 9)Dr. Lal Pathlabs 10)Nestle 11)ITC 12)Abbott 13)Divis Labs 14)Axis Bank 15)Titan 16)Eicher 17)TCS 18)Marico,0,0.0
87,1291066249498173440,tweet,2020-08-05 17:39:15,@Bajaj_Finance Do u really think I hv 2 blv dat my issue has been given priority by u ppl &amp; as a result I m still getting d same text sent via different ppl after 9 days? Pls stop joking. U ppl don't care about ur customer. 1of ur goon vl again call me &amp; vl threat me dat's 4 sure @PMOIndia??,1,0.175
86,1291065512579829760,tweet,2020-08-05 17:36:19,"@Bajaj_Finance @rblbank @RBI @financialombuds @consumerforum_ Instead of Order declined why my reward points debited? Ple do needful nd credit it ASAP. Also why order declined again and again, this time if I fail to book my order I wl raise the concern with regulatory authority.",-1,-0.5
85,1291065124460077059,tweet,2020-08-05 17:34:47,"@rajeshdharaiya Hi, Greetings from Bajaj Finance! With reference to your post, we have shared the necessary resolution on your email ID, under service request number SRXXXX3968. Thank you -  Aditya",0,0.0
84,1291065010240643072,retweet,2020-08-05 17:34:19,Fraud BAJAJ @Bajaj_Finance why you presented ECS on 2nd after agreed for 5th? Who will pay bounce charges? @sanjivrbajaj pay from your account @NDTVProfit @TheTruth_333 @RBI useless company this is for you @nsitharamanoffc fin minister.. cancel BAJAJ license.. too much problem https://t.co/oJizvcfrgy,-1,-0.09999999999999999
83,1291063556037914624,tweet,2020-08-05 17:28:33,"@abirmazumder1 Hi, Greetings from Bajaj Finance! With reference to your post, we have shared the necessary resolution on your email ID, under service request number SRXXXX0655. Thank you - Sheetal",0,0.0
82,1291063387141443584,tweet,2020-08-05 17:27:52,"@Bajaj_Finance Your BFL team is mother fucking bc 😡 they are not ready to solve problems ,I complained too many times but problem not solved yet , bc you come in DM",-1,-0.125
81,1291062794805223426,tweet,2020-08-05 17:25:31,"@Deepak88116394 Hi, Greetings from Bajaj Finance. We understand &amp; hear you, please be assured we're here to help you. Kindly provide us with your email id via DM, so that we can assist you further. Thank you - Afrin https://t.co/pgTkc6iIOT",1,0.3
