,ID,Status,Created At,Text,Polarity,Polarity Strength
26,1290897354808111104,tweet,2020-08-05 06:28:07,"Reliance Industries (RIL), Bharat Petroleum Corporation (BPCL), and Indian Oil Corporation (IOC) have all undertaken a maintenance shutdown in the past one month, in some of their facilities.  @AmrithaPillay reports  https://t.co/4DAZALyTBs",-1,-0.25
25,1290646522040856582,retweet,2020-08-04 13:51:24,"Reliance Industries Ltd will not bid for Bharat Petroleum Corporation Ltd (BPCL), which has been put up for privatisation by the government, according to an RIL official. #Reliance #bpcl",0,0.0
24,1290562881923117058,retweet,2020-08-04 08:19:03,"Reliance Industries Ltd will not bid for Bharat Petroleum Corporation Ltd (BPCL), which has been put up for privatisation by the government, according to an RIL official. #Reliance #bpcl",0,0.0
23,1290554425417728000,retweet,2020-08-04 07:45:27,"Reliance Industries Ltd will not bid for Bharat Petroleum Corporation Ltd (BPCL), which has been put up for privatisation by the government, according to an RIL official. #Reliance #bpcl",0,0.0
22,1290550848968302592,retweet,2020-08-04 07:31:14,"Reliance Industries Ltd will not bid for Bharat Petroleum Corporation Ltd (BPCL), which has been put up for privatisation by the government, according to an RIL official. #Reliance #bpcl",0,0.0
21,1290528027349151745,retweet,2020-08-04 06:00:33,"Reliance Industries Ltd will not bid for Bharat Petroleum Corporation Ltd (BPCL), which has been put up for privatisation by the government, according to an RIL official. #Reliance #bpcl",0,0.0
20,1290506211310202880,retweet,2020-08-04 04:33:51,"Reliance Industries Ltd will not bid for Bharat Petroleum Corporation Ltd (BPCL), which has been put up for privatisation by the government, according to an RIL official. #Reliance #bpcl",0,0.0
19,1290501400133214208,retweet,2020-08-04 04:14:44,"Reliance Industries Ltd will not bid for Bharat Petroleum Corporation Ltd (BPCL), which has been put up for privatisation by the government, according to an RIL official. #Reliance #bpcl",0,0.0
18,1290501355925209088,retweet,2020-08-04 04:14:34,"Reliance Industries Ltd will not bid for Bharat Petroleum Corporation Ltd (BPCL), which has been put up for privatisation by the government, according to an RIL official. #Reliance #bpcl",0,0.0
17,1290500734195085317,tweet,2020-08-04 04:12:06,"Reliance Industries Ltd will not bid for Bharat Petroleum Corporation Ltd (BPCL), which has been put up for privatisation by the government, according to an RIL official. #Reliance #bpcl",0,0.0
16,1290356920478576642,tweet,2020-08-03 18:40:38,"Hi, join my business give u partnership I have Bharat petroleum corporation limited company registered vendor ship in mumbai maharashtra india Rent a cab service https://t.co/ACn1oaKVLH",-1,-0.07142857142857142
15,1289879930050719745,tweet,2020-08-02 11:05:14,"Hi, join my buissness give u partnership I have Bharat petroleum corporation limited company registered vendor ship in mumbai maharashtra india Rent a cab service https://t.co/OmQMaYt1pt",-1,-0.07142857142857142
14,1289744849550352386,tweet,2020-08-02 02:08:29,"Hi, join my buissness give u partnership I have Bharat petroleum corporation limited company registered vendor ship in mumbai maharashtra India Rent a cab service https://t.co/z4RO7yCOtP",-1,-0.07142857142857142
13,1289577355879387137,tweet,2020-08-01 15:02:55,"HI, JOIN MY BUISSNESS GIVE U PARTNERSHIP I HAVE BHARAT PETROLEUM CORPORATION LIMITED COMPANY REGISTER VENDOR SHIP RENT A CAB SERVICE ALL INDIA PERSENT WORK IN MUMBAI MAHARASHTRA INDIA https://t.co/ZQ1x2Pz3Fo",-1,-0.07142857142857142
12,1289454252780220418,retweet,2020-08-01 06:53:45,"#StopPrivatization U must have heard the name of Bharat Petroleum Corporation Limited, yes the same government petroleum company where u get oil in ur vehicles.  Now it is going to be private from the government, the government has decided to sell its entire 52.98% share. https://t.co/0TknrNraRE",-1,-0.017857142857142856
11,1289239355614089216,retweet,2020-07-31 16:39:49,Two petitions have been filed against the proposed divestment of Bharat Petroleum Corporation (BPCL) by the marketing and refinery unions of the Public Sector Undertakings.  @BPCLimited @dpradhanbjp @PetroleumMin @FinMinIndia #BPCL #Disinvestment  https://t.co/IkJAtxlbqW,0,0.0
