,ID,Status,Created At,Text,Polarity,Polarity Strength
1,1291040204019490816,tweet,2020-08-05 15:55:45,Keep Eagle Eye on Bharti Infratel &amp; CESC for Tomorrow.......!!!  #LearnwithKing #TradewithKing #Kingresearch #Nifty https://t.co/MxgF0ZAFuf,0,0.0
0,1291029783699046400,tweet,2020-08-05 15:14:21,@JstInvestments How about bharti infratel ?? Or any telecom equipment company to bet on 5g infrastructure solutions ?,0,0.0
2,1290959533754392576,tweet,2020-08-05 10:35:12,#INFRATEL #Updates Bharti Infratel Limited has informed the Exchange regarding 'Re-appointment of Mr. https://t.co/tvhe3nij5X,-1,-0.07142857142857142
3,1290957005557919746,tweet,2020-08-05 10:25:09,#INFRATEL #Updates Bharti Infratel Limited has informed the Exchange regarding 'Re-appointment of Mr. https://t.co/UwZiIHBLuO,-1,-0.07142857142857142
4,1290949499976708096,tweet,2020-08-05 09:55:20,"#INFRATEL #Shareholders meeting Bharti Infratel Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on August 03, 2020. https://t.co/bqlBoXTARi",-1,-0.010714285714285704
5,1290833345622900738,tweet,2020-08-05 02:13:46,Dividends Today 05/08/2020  Bharti Infratel Ltd Granules India Ltd Larsen &amp; Toubro Ltd Voltas Ltd  https://t.co/1FpTzzdkcO 9003634565,0,0.0
6,1290653572556783617,tweet,2020-08-04 14:19:25,@hemant_ghai Sir I buy yes bank share 13 rs 3000 share  &amp; I buy bharti infratel share 400 share 210  Please guide me,0,0.0
7,1290547372313972738,tweet,2020-08-04 07:17:25,Share price of Bharti Infratel Ltd.  jumps  as Sensex  gains  491.54 points #ETMarkets #MarketsNews #BizNews #MarketsUpdate https://t.co/XFMBXoTZRM,0,0.0
8,1290478182269767681,tweet,2020-08-04 02:42:29,Hold Bharti Infratel; target of Rs 180: ICICI Direct https://t.co/YjDxn5ipeD,1,0.1
9,1290167644079955969,tweet,2020-08-03 06:08:31,#Broker #StockTip: Hold Bharti Infratel; target of Rs 180: ICICI Direct https://t.co/MJVzGNW4vt,1,0.1
10,1290165268128268288,retweet,2020-08-03 05:59:04,"Stocks of Zee Entertainment, GAIL India, and Bharti Infratel could be excluded from the Nifty50 when the index is reconstituted next. These three stocks are likely to pave the way for SBI Life Insurance, Divi’s Lab, and Dabur India. #MOMarketUpdates",0,0.0
11,1290164591092092929,tweet,2020-08-03 05:56:23,#StocksToTrade Hold Bharti Infratel; target of Rs 180: ICICI Direct #intraday #trading #daytrading #Nifty #sensex #stockstowatch #StockMarket,1,0.1
12,1290159216955555840,tweet,2020-08-03 05:35:01,Hold Bharti Infratel; target of Rs 180: ICICI Direct https://t.co/vlr2ovQ6XY,1,0.1
13,1290158684681560064,tweet,2020-08-03 05:32:55,"#CLSA is positive on #BhartiAirtel, #Jio &amp; Bharti #Infratel, says #Voda Idea’s AGR burden is enormous, it’s losing share but #ARPU will rise https://t.co/FCvvnckDwm",1,0.11363636363636365
14,1290158514820640770,retweet,2020-08-03 05:32:14,"Stocks of Zee Entertainment, GAIL India, and Bharti Infratel could be excluded from the Nifty50 when the index is reconstituted next. These three stocks are likely to pave the way for SBI Life Insurance, Divi’s Lab, and Dabur India. #MOMarketUpdates",0,0.0
15,1290154382718169089,retweet,2020-08-03 05:15:49,"#CNBCTV18Market | CLSA is positive on Bharti Airtel, Jio &amp; Bharti Infratel, says Voda Idea’s AGR burden is enormous, it’s losing share but ARPU will rise https://t.co/NaSXe0pdH4",1,0.11363636363636365
16,1290143785066704896,retweet,2020-08-03 04:33:42,"#CNBCTV18Market | CLSA is positive on Bharti Airtel, Jio &amp; Bharti Infratel, says Voda Idea’s AGR burden is enormous, it’s losing share but ARPU will rise https://t.co/NaSXe0pdH4",1,0.11363636363636365
17,1290132525021450242,retweet,2020-08-03 03:48:58,"Stocks of Zee Entertainment, GAIL India, and Bharti Infratel could be excluded from the Nifty50 when the index is reconstituted next. These three stocks are likely to pave the way for SBI Life Insurance, Divi’s Lab, and Dabur India. #MOMarketUpdates",0,0.0
