,ID,Status,Created At,Text,Polarity,Polarity Strength
423,1291073732098678786,retweet,2020-08-05 18:08:59,"How do you teach a child what a #car looks like? Showing them a car is one option. With our #machinelearning #software, this method also works for security #cameras. Find out about the three-step learning process using a configurator and toy cars: https://t.co/GY0bpgIQTD https://t.co/3XWjUZJ78B",0,0.0
422,1291073132988477442,retweet,2020-08-05 18:06:36,"@MichelleFaithLu @ErikMan215 @Chrissy_Clarke @WittyMystic @ReneeGendron @MacNeilDaphne @_Barb_Thompson @Johnldeboer @SandraGluschank @joanne_paulson @l_paterno @SPOFarrell3 @KitKatPoetess @TomZapiecki @byDianaNara @PaulSangeeta26 @Geetika_Gaurav @TheSourIndian @MichaelaPetrko3 @lyli_kenobi @Stephan11494255 @loragtz @lanajwright3 @TheWayfarerSoul @anjalisharma3 @kulvadana @sentientones @Shoguun1 @Tagoli2 @dkwestfall1 @alleycat579 @Sarasteeg @gcproductions8 @jlrothstein1 @ClarissaJeanneM @JoJoHall16 @Kellyrei007 @SVFilice @CordonRoma @KLBSt8ofSk8 @McKinnonPhD @CindiClinton Thanks, Michelle❣️  8 likes/tags  Chocolate @ShenaeChase  Bananas @nancybarfield  Beer @BellaRayne10  Beach @bettina_bosch  Walks @FeliciaTes  PB &amp; Honey @wordsofbin  Board Games @Galdrafodr  Movies @anna_mocikat https://t.co/A2EuwRmXPA",1,0.2
421,1291072988083818498,retweet,2020-08-05 18:06:01,And the Academy Award for Best Driver for both giving and receiving his own trophy goes to... @afelixdacosta! #SeasonSixFinale #BerlinEPrix 🏆  Find out more about the @BoschGlobal designed trophy for the @JuliusBaer Pole Position here 👉 https://t.co/4inaG8BnK5 https://t.co/kEPple6pia,1,0.75
420,1291072641907003393,retweet,2020-08-05 18:04:39,"""There is another world, but it is in this one.""  Paul Éluard  📷'Silent Touch' Judith In Den Bosch https://t.co/KJO8TKtXCd",0,0.0
419,1291072438453895168,retweet,2020-08-05 18:03:50,And the Academy Award for Best Driver for both giving and receiving his own trophy goes to... @afelixdacosta! #SeasonSixFinale #BerlinEPrix 🏆  Find out more about the @BoschGlobal designed trophy for the @JuliusBaer Pole Position here 👉 https://t.co/4inaG8BnK5 https://t.co/kEPple6pia,1,0.75
418,1291072273982672896,retweet,2020-08-05 18:03:11,"""There is another world, but it is in this one.""  Paul Éluard  📷'Silent Touch' Judith In Den Bosch https://t.co/KJO8TKtXCd",0,0.0
417,1291072128868130817,retweet,2020-08-05 18:02:37,This might help our sisters one day https://t.co/wjiAMzkEi3,0,0.0
416,1291072032730419201,retweet,2020-08-05 18:02:14,"Dear Sis , You about to touch so much money in August￼    -claim it",1,0.2
415,1291071993165602820,retweet,2020-08-05 18:02:04,And the Academy Award for Best Driver for both giving and receiving his own trophy goes to... @afelixdacosta! #SeasonSixFinale #BerlinEPrix 🏆  Find out more about the @BoschGlobal designed trophy for the @JuliusBaer Pole Position here 👉 https://t.co/4inaG8BnK5 https://t.co/kEPple6pia,1,0.75
414,1291071920625123331,tweet,2020-08-05 18:01:47,@FaerieRealms @Readerhal54 @bettina_bosch @CaineCongress @BryanQuinn @cathy8611 @MWhateley @StevenAuthor1 @GingerMansWife @shellyssoapbox @ab_faniki @ninsthewriter @Irishgirl692 @disneymom1126 @er_mercer @WriteEthan @GregAnswers @Galdrafodr @Smithglenne @AmyGeorges3 @PGibesonRN @gypsygrandpa @GulinoSal Thanks JD!  8 likes 8 tags   Woods Waterfall  Moonlight  Sayeh my dragon  Hunting Archery Dancing Music  @SeleneTitan @UntamedSea @AdrestiaRevolt @Cliohistorygeek @OlympianSun @Dionysos_ITP @ate_ruin @Eris_Awake,1,0.25
413,1291071909640187906,retweet,2020-08-05 18:01:44,And the Academy Award for Best Driver for both giving and receiving his own trophy goes to... @afelixdacosta! #SeasonSixFinale #BerlinEPrix 🏆  Find out more about the @BoschGlobal designed trophy for the @JuliusBaer Pole Position here 👉 https://t.co/4inaG8BnK5 https://t.co/kEPple6pia,1,0.75
412,1291071902027517952,retweet,2020-08-05 18:01:43,🎉ITS #FreebieFriday 🎉   This week we are giving one lucky winner the chance to win a Bosch BergHOFF Three Piece Induction Pan Set 😍   To enter simply LIKE OUR PAGE and RETWEET THIS TWEET! The winner will be announced on Friday 7th August! Good luck everyone! 🤞 https://t.co/jd9bcSARjq,1,0.5020833333333333
411,1291071767172337664,retweet,2020-08-05 18:01:10,"Allegory of Gluttony and Lust, 1500 #bosch #northernrenaissance https://t.co/sM0tznimlS",0,0.0
410,1291071694610800646,tweet,2020-08-05 18:00:53,"Residence 303 at Seven|H is a spacious 2BR 2BA that is now priced at $699,900! Enjoy floor to ceiling windows, Bosch appliances, a modern chef’s kitchen, and beautiful hardwood flooring. Life on H Street has never been more attainable! Tour today at https://t.co/LuYT98orUB https://t.co/yKKuTNfth5",1,0.51875
409,1291071670946496513,tweet,2020-08-05 18:00:47,"On a happier note, started watching Bosch last night. Promising start...  https://t.co/Or2CNM6dDn",1,0.1
408,1291071630253395970,retweet,2020-08-05 18:00:38,"""There is another world, but it is in this one.""  Paul Éluard  📷'Silent Touch' Judith In Den Bosch https://t.co/KJO8TKtXCd",0,0.0
407,1291071618094182403,tweet,2020-08-05 18:00:35,@BellaRayne10 @dw_harvey @MichelleFaithLu @ErikMan215 @Chrissy_Clarke @WittyMystic @ReneeGendron @MacNeilDaphne @_Barb_Thompson @Johnldeboer @SandraGluschank @joanne_paulson @l_paterno @SPOFarrell3 @KitKatPoetess @TomZapiecki @byDianaNara @PaulSangeeta26 @Geetika_Gaurav @TheSourIndian @MichaelaPetrko3 @lyli_kenobi @Stephan11494255 @loragtz @lanajwright3 @TheWayfarerSoul @anjalisharma3 @kulvadana @sentientones @Shoguun1 @Tagoli2 @dkwestfall1 @Sarasteeg @gcproductions8 @jlrothstein1 @ClarissaJeanneM @JoJoHall16 @Kellyrei007 @SVFilice @CordonRoma @KLBSt8ofSk8 @McKinnonPhD @CindiClinton @ShenaeChase @nancybarfield @bettina_bosch @FeliciaTes @wordsofbin @Galdrafodr @anna_mocikat We're sitting over here!,0,0.0
406,1291071576180322304,tweet,2020-08-05 18:00:25,@Galdrafodr @geostylegeo @vicmarswell @SPOFarrell3 @Chrissy_Clarke @MichelleFaithLu @JulieKusma @phandi @bettina_bosch @bcs_andrew @ImpulsiveCookie @Rekwahiba @StevenAuthor1 @CaineCongress @lori_z_scott @WittyMystic @sieberhagencri1 @GarrettSierra2 @laliaristo @SundownersBook @thandiubani @FaerieRealms @michelekwas @tracyjh8 @michele_sagan @CarolynRuffles @AvaSafran @MCSheridan2 @sunnylarue17 @Johnldeboer @DerekRKing2 @alleycat579 @arjungwriter @Wrix2 @SerenaHassan4 @nikki_twisted @DzintraSullivan @ImuraJohn @ZenaAZellers @AwesomeRex_ @xxxBJFrazier @UlaneVuorio @TTBanks5 @CK_Ruppelt @KristenRoedel @jimmyITG @NikolaiWisekal @KelticAngel16 @Wmalovesong1 @GaetanoKira I knew it would be shield-maidens 🤣 https://t.co/fgl31tNWMl,0,0.0
405,1291071428809261057,tweet,2020-08-05 17:59:50,"@TheStevenWeber Steve, have been enjoying your “interesting” take on things.  And, now you reminded me how much I love Lance Reddick in Bosch!  He just gained a new follower by merely reading a can!",1,0.22727272727272724
404,1291071348379459586,retweet,2020-08-05 17:59:31,"Daily #BoschTrivia Whose Bosch Line Is It?  ""Between you and me. I don't want to be chasing a killer, and watching my six for an emotional lone wolf. Keep him close.""  Whose Bosch Line Is It?  (Hint) J. Edgar responds with- ""I will. Then you have to worry about both of us.""",0,0.0
