,ID,Status,Created At,Text,Polarity,Polarity Strength
57,1291072731220410369,retweet,2020-08-05 18:05:00,"Drug manufacturer, CIPLA South Africa, has announced that Remdesivir, a medicine which could make a difference in management of severe COVID-19, is now available in the country. Remdesivir has also been given green light by the South African Health Products Regulatory Authority.",1,0.15000000000000002
56,1291070505542463495,retweet,2020-08-05 17:56:10,"Drug manufacturer, CIPLA South Africa, has announced that Remdesivir, a medicine which could make a difference in management of severe COVID-19, is now available in the country. Remdesivir has also been given green light by the South African Health Products Regulatory Authority.",1,0.15000000000000002
55,1291067361483583488,retweet,2020-08-05 17:43:40,@Longterm_wealth Please contact Mr. Nilesh Lahe Manager Cipla for speedy assistance:9673844111,0,0.0
54,1291067143455465473,retweet,2020-08-05 17:42:48,"Drug manufacturer, CIPLA South Africa, has announced that Remdesivir, a medicine which could make a difference in management of severe COVID-19, is now available in the country. Remdesivir has also been given green light by the South African Health Products Regulatory Authority.",1,0.15000000000000002
53,1291066623571484680,retweet,2020-08-05 17:40:44,"Drug manufacturer, CIPLA South Africa, has announced that Remdesivir, a medicine which could make a difference in management of severe COVID-19, is now available in the country. Remdesivir has also been given green light by the South African Health Products Regulatory Authority.",1,0.15000000000000002
52,1291066416104378373,tweet,2020-08-05 17:39:55,"Annual report uploaded by Cipla Ltd.  Link: https://t.co/HY3EgYEhtD Date: 5-Aug-2020Industry/Sector: Pharmaceuticals  P/E: 25.13  Market cap : ₹58,259.79 Crs.",0,0.0
51,1291066384487596032,tweet,2020-08-05 17:39:47,@Longterm_wealth Please contact Mr. Nilesh Lahe Manager Cipla for speedy assistance:9673844111,0,0.0
50,1291065494892470272,retweet,2020-08-05 17:36:15,Cipla working with govt agencies to develop treatment for COVID-19 https://t.co/VOqTNNAHbe,0,0.0
49,1291063303595347968,retweet,2020-08-05 17:27:33,"Drug manufacturer, CIPLA South Africa, has announced that Remdesivir, a medicine which could make a difference in management of severe COVID-19, is now available in the country. Remdesivir has also been given green light by the South African Health Products Regulatory Authority.",1,0.15000000000000002
48,1291058441100955651,tweet,2020-08-05 17:08:13,@CiplaRSA &amp; @emoadams bring 80 top musical 🎶 talents together to drive mental health awareness through song #leanonme https://t.co/wX2LoodyVm,1,0.13333333333333333
47,1291057448888000513,retweet,2020-08-05 17:04:17,"Drug manufacturer, CIPLA South Africa, has announced that Remdesivir, a medicine which could make a difference in management of severe COVID-19, is now available in the country. Remdesivir has also been given green light by the South African Health Products Regulatory Authority.",1,0.15000000000000002
46,1291057268574826497,retweet,2020-08-05 17:03:34,"Drug manufacturer, CIPLA South Africa, has announced that Remdesivir, a medicine which could make a difference in management of severe COVID-19, is now available in the country. Remdesivir has also been given green light by the South African Health Products Regulatory Authority.",1,0.15000000000000002
45,1291056163061215234,retweet,2020-08-05 16:59:10,"Remdesivir, a medicine which could make a difference in the management of severe COVID-19 disease, is available in South Africa now. Cipla obtained authorisation from the South African Health Products Regulatory Authority. https://t.co/wwEo0za2Wm",1,0.2
44,1291054254786928642,tweet,2020-08-05 16:51:35,@b50 MUTHOOTFIN ITC ASHOK LEYLAND  AIRTEL CIPLA,0,0.0
43,1291054179696250881,retweet,2020-08-05 16:51:17,"Your Banker, is choosing to step out for you in these times of distress, is a hero. Take a moment to recognize there efforts and thank them for their efforts.@ciphands products, which powers them and keeps them 99.9% safe.   #WithOurHeroes #HarHaathKeSaath #cipla #yoshin https://t.co/W0Begnh1UE",1,0.5
42,1291052975423709186,retweet,2020-08-05 16:46:30,"Drug manufacturer, CIPLA South Africa, has announced that Remdesivir, a medicine which could make a difference in management of severe COVID-19, is now available in the country. Remdesivir has also been given green light by the South African Health Products Regulatory Authority.",1,0.15000000000000002
41,1291052659760418823,retweet,2020-08-05 16:45:15,"Drug manufacturer, CIPLA South Africa, has announced that Remdesivir, a medicine which could make a difference in management of severe COVID-19, is now available in the country. Remdesivir has also been given green light by the South African Health Products Regulatory Authority.",1,0.15000000000000002
40,1291052524301176832,retweet,2020-08-05 16:44:43,"Drug manufacturer, CIPLA South Africa, has announced that Remdesivir, a medicine which could make a difference in management of severe COVID-19, is now available in the country. Remdesivir has also been given green light by the South African Health Products Regulatory Authority.",1,0.15000000000000002
39,1291051355512221697,retweet,2020-08-05 16:40:04,"Indian drug giant @Cipla_Global is working with government agencies to develop a treatment for COVID while boosting the production of various life saving essential drugs, said company's chairman YK Hamied, adding that the company is at the forefront in the fight against #COVID19. https://t.co/61tK5KrKsw",0,0.0
38,1291050308534140928,retweet,2020-08-05 16:35:54,"Drug manufacturer, CIPLA South Africa, has announced that Remdesivir, a medicine which could make a difference in management of severe COVID-19, is now available in the country. Remdesivir has also been given green light by the South African Health Products Regulatory Authority.",1,0.15000000000000002
37,1291049829104115712,tweet,2020-08-05 16:34:00,@Longterm_wealth Contact Cipla covid helpline 8657311088,0,0.0
36,1291049817083346944,retweet,2020-08-05 16:33:57,"Drug manufacturer, CIPLA South Africa, has announced that Remdesivir, a medicine which could make a difference in management of severe COVID-19, is now available in the country. Remdesivir has also been given green light by the South African Health Products Regulatory Authority.",1,0.15000000000000002
35,1291048287341031424,retweet,2020-08-05 16:27:52,"Drug manufacturer, CIPLA South Africa, has announced that Remdesivir, a medicine which could make a difference in management of severe COVID-19, is now available in the country. Remdesivir has also been given green light by the South African Health Products Regulatory Authority.",1,0.15000000000000002
34,1291048058814451712,retweet,2020-08-05 16:26:58,"Drug manufacturer, CIPLA South Africa, has announced that Remdesivir, a medicine which could make a difference in management of severe COVID-19, is now available in the country. Remdesivir has also been given green light by the South African Health Products Regulatory Authority.",1,0.15000000000000002
33,1291046710769102848,retweet,2020-08-05 16:21:36,@Longterm_wealth 1/2 from ISB group: I called the Cipla helpline 86573 11088 - got a very readily accessible and helpful representative 2. The Cipla call center representative shared the names and numbers of the stockists in my city/closest city with me 3. I called the stockists - Was lucky in https://t.co/NAFt8ZvAeK,1,0.2027777777777778
32,1291044562312597504,retweet,2020-08-05 16:13:04,"Drug manufacturer, CIPLA South Africa, has announced that Remdesivir, a medicine which could make a difference in management of severe COVID-19, is now available in the country. Remdesivir has also been given green light by the South African Health Products Regulatory Authority.",1,0.15000000000000002
