,ID,Status,Created At,Text,Polarity,Polarity Strength
58,1291073628151349255,retweet,2020-08-05 18:08:34,1) Why India shouldn’t be clubbed together with “anti-science” and “climate change deniers”. Here’s an excellent article from @CarbonBrief.  2) Meanwhile clearly showing how “China’s politics favors coal.” https://t.co/0p6XJmoCTo https://t.co/GPn6NWeun6,1,0.55
57,1291073304346759168,retweet,2020-08-05 18:07:17,"'China not allowed,' India opens its coal mines for the world, but shuts the door on China.  The Modi government is incessantly taking determined steps to wage an economic hell on China.  #China #India #CoalMining  https://t.co/fIed2zs4mY",1,0.2
56,1291072492027760641,retweet,2020-08-05 18:04:03,No new coal plants should be built  We must stop adding more fossil fuels to the climate fire  There is a #ClimateCrisis  We need #ClimateAction  #FridaysForFuture #dumpfossilfuels #India #Japan #Australia #NoCoal #StopAdani #schoolstrike4climate https://t.co/XnrLxmZtrd,1,0.2159090909090909
55,1291072095124946944,tweet,2020-08-05 18:02:29,No new coal plants should be built  We must stop adding more fossil fuels to the climate fire  There is a #ClimateCrisis  We need #ClimateAction  #FridaysForFuture #dumpfossilfuels #India #Japan #Australia #NoCoal #StopAdani #schoolstrike4climate https://t.co/XnrLxmZtrd,1,0.2159090909090909
54,1291069070142447617,retweet,2020-08-05 17:50:27,"'China not allowed,' India opens its coal mines for the world, but shuts the door on China.  The Modi government is incessantly taking determined steps to wage an economic hell on China.  #China #India #CoalMining  https://t.co/fIed2zs4mY",1,0.2
53,1291067919745585156,tweet,2020-08-05 17:45:53,"Did everyone miss how since the 70s we've shut down loads of factories, the steel &amp; coal industries &amp; Norwich Union alone has made thousands redundant with a lot of those jobs going to India.  It's economic colonialism, it's been happening for decades, it's why we're Brexiting. https://t.co/PJ0wCEv9T9",-1,-0.05185185185185187
52,1291067159423012864,retweet,2020-08-05 17:42:52,"'China not allowed,' India opens its coal mines for the world, but shuts the door on China.  The Modi government is incessantly taking determined steps to wage an economic hell on China.  #China #India #CoalMining  https://t.co/fIed2zs4mY",1,0.2
51,1291065738753536005,retweet,2020-08-05 17:37:13,"'China not allowed,' India opens its coal mines for the world, but shuts the door on China.  The Modi government is incessantly taking determined steps to wage an economic hell on China.  #China #India #CoalMining  https://t.co/fIed2zs4mY",1,0.2
50,1291064988090503168,retweet,2020-08-05 17:34:14,India reduced its share of global coal power development from 17% of the world pipeline in mid-2018 to 12% in mid-2020. The country also had no new construction in H1 2020 and shrank its coal fleet by 0.3GW– an unthinkable prospect few years ago.India is a leader in clean power! https://t.co/sTyRiv2aAf,1,0.028030303030303037
49,1291064897464414208,retweet,2020-08-05 17:33:53,"'China not allowed,' India opens its coal mines for the world, but shuts the door on China.  The Modi government is incessantly taking determined steps to wage an economic hell on China.  #China #India #CoalMining  https://t.co/fIed2zs4mY",1,0.2
48,1291064427320496128,retweet,2020-08-05 17:32:00,"'China not allowed,' India opens its coal mines for the world, but shuts the door on China.  The Modi government is incessantly taking determined steps to wage an economic hell on China.  #China #India #CoalMining  https://t.co/fIed2zs4mY",1,0.2
47,1291064106875682817,retweet,2020-08-05 17:30:44,"'China not allowed,' India opens its coal mines for the world, but shuts the door on China.  The Modi government is incessantly taking determined steps to wage an economic hell on China.  #China #India #CoalMining  https://t.co/fIed2zs4mY",1,0.2
46,1291062782977179648,retweet,2020-08-05 17:25:28,India reduced its share of global coal power development from 17% of the world pipeline in mid-2018 to 12% in mid-2020. The country also had no new construction in H1 2020 and shrank its coal fleet by 0.3GW– an unthinkable prospect few years ago.India is a leader in clean power! https://t.co/sTyRiv2aAf,1,0.028030303030303037
45,1291061823827927040,retweet,2020-08-05 17:21:40,"'China not allowed,' India opens its coal mines for the world, but shuts the door on China.  The Modi government is incessantly taking determined steps to wage an economic hell on China.  #China #India #CoalMining  https://t.co/fIed2zs4mY",1,0.2
44,1291060180780609536,retweet,2020-08-05 17:15:08,"'China not allowed,' India opens its coal mines for the world, but shuts the door on China.  The Modi government is incessantly taking determined steps to wage an economic hell on China.  #China #India #CoalMining  https://t.co/fIed2zs4mY",1,0.2
43,1291059164303757313,retweet,2020-08-05 17:11:06,"'China not allowed,' India opens its coal mines for the world, but shuts the door on China.  The Modi government is incessantly taking determined steps to wage an economic hell on China.  #China #India #CoalMining  https://t.co/fIed2zs4mY",1,0.2
42,1291059042526224384,retweet,2020-08-05 17:10:37,"'China not allowed,' India opens its coal mines for the world, but shuts the door on China.  The Modi government is incessantly taking determined steps to wage an economic hell on China.  #China #India #CoalMining  https://t.co/fIed2zs4mY",1,0.2
41,1291058870815584257,retweet,2020-08-05 17:09:56,"'China not allowed,' India opens its coal mines for the world, but shuts the door on China.  The Modi government is incessantly taking determined steps to wage an economic hell on China.  #China #India #CoalMining  https://t.co/fIed2zs4mY",1,0.2
40,1291058836413927424,retweet,2020-08-05 17:09:47,"'China not allowed,' India opens its coal mines for the world, but shuts the door on China.  The Modi government is incessantly taking determined steps to wage an economic hell on China.  #China #India #CoalMining  https://t.co/fIed2zs4mY",1,0.2
39,1291058502996197377,retweet,2020-08-05 17:08:28,"Them: The #GND must be more International. Must be about inequality, Land use, housing, Foreign Policy.  Adani: Hold my beer. ""The $14B Adani Group — a conglomerate w interests in energy, agribiz, real estate &amp; defence"" #PoliticsOfCoal ht @SominiSengupta https://t.co/TH9nGm5l1m",1,0.14375
38,1291058122593677312,retweet,2020-08-05 17:06:57,"'China not allowed,' India opens its coal mines for the world, but shuts the door on China.  The Modi government is incessantly taking determined steps to wage an economic hell on China.  #China #India #CoalMining  https://t.co/fIed2zs4mY",1,0.2
37,1291057837016137728,retweet,2020-08-05 17:05:49,"'China not allowed,' India opens its coal mines for the world, but shuts the door on China.  The Modi government is incessantly taking determined steps to wage an economic hell on China.  #China #India #CoalMining  https://t.co/fIed2zs4mY",1,0.2
36,1291057396563886080,retweet,2020-08-05 17:04:04,"'China not allowed,' India opens its coal mines for the world, but shuts the door on China.  The Modi government is incessantly taking determined steps to wage an economic hell on China.  #China #India #CoalMining  https://t.co/fIed2zs4mY",1,0.2
35,1291057272852889602,retweet,2020-08-05 17:03:35,"'China not allowed,' India opens its coal mines for the world, but shuts the door on China.  The Modi government is incessantly taking determined steps to wage an economic hell on China.  #China #India #CoalMining  https://t.co/fIed2zs4mY",1,0.2
34,1291057132398424064,retweet,2020-08-05 17:03:01,"'China not allowed,' India opens its coal mines for the world, but shuts the door on China.  The Modi government is incessantly taking determined steps to wage an economic hell on China.  #China #India #CoalMining  https://t.co/fIed2zs4mY",1,0.2
33,1291057044980551680,tweet,2020-08-05 17:02:40,"'China not allowed,' India opens its coal mines for the world, but shuts the door on China.  The Modi government is incessantly taking determined steps to wage an economic hell on China.  #China #India #CoalMining  https://t.co/fIed2zs4mY",1,0.2
32,1291054085672591360,retweet,2020-08-05 16:50:55,"""India...reducing its share of global coal power development, from 17% of the world pipeline in mid2018 to 12% in mid2020. The country also had no new construction in H1 2020 and shrank its coal fleet by 0.3GW – unthinkable prospect just a few years ago."" https://t.co/behNw0HZ0Z",-1,-0.07954545454545454
31,1291051379339927553,retweet,2020-08-05 16:40:10,1) Why India shouldn’t be clubbed together with “anti-science” and “climate change deniers”. Here’s an excellent article from @CarbonBrief.  2) Meanwhile clearly showing how “China’s politics favors coal.” https://t.co/0p6XJmoCTo https://t.co/GPn6NWeun6,1,0.55
30,1291050823871426560,retweet,2020-08-05 16:37:57,1) Why India shouldn’t be clubbed together with “anti-science” and “climate change deniers”. Here’s an excellent article from @CarbonBrief.  2) Meanwhile clearly showing how “China’s politics favors coal.” https://t.co/0p6XJmoCTo https://t.co/GPn6NWeun6,1,0.55
29,1291049363926441991,tweet,2020-08-05 16:32:09,@pranavmahajan Let's start from independence 1 article 370 my India  2 China anexed aksai chin my India  3 emergency my India  4 Sikh riots my India  5 Kashmiris exodus my India  6 3G 4G coal scam my India 7 Ram Mandir construction begins  RIP idea of India No one listen them now Hypocrisy!,0,0.0
28,1291045177650372608,tweet,2020-08-05 16:15:31,@FI_InvestIndia COAL INDIA &amp; GAIL,0,0.0
27,1291044130286575617,retweet,2020-08-05 16:11:21,What's remarkable about this analysis is that even India – India! – shrank its coal fleet in the 1st half of this year.  And the list of coal projects being cancelled or shelved seems to be accelerating.  Egypt's now shelved all 15GW it had planned. Bangladesh could cancel 18GW. https://t.co/DLYeBmm11t,1,0.3854166666666667
26,1291043634234548224,retweet,2020-08-05 16:09:23,"""India...reducing its share of global coal power development, from 17% of the world pipeline in mid2018 to 12% in mid2020. The country also had no new construction in H1 2020 and shrank its coal fleet by 0.3GW – unthinkable prospect just a few years ago."" https://t.co/behNw0HZ0Z",-1,-0.07954545454545454
25,1291043146915356672,retweet,2020-08-05 16:07:27,"A friend of mine giving a speech in the US this week. Coal Rush: China, Japan &amp; India Back Coal-Fired Future With Hundreds of New Plants https://t.co/hGvp49qy4S via @StopTheseThings",1,0.04545454545454545
24,1291043034482618368,retweet,2020-08-05 16:07:00,"Coal Rush: China, Japan &amp; India Back Coal-Fired Future With Hundreds of New Plants https://t.co/dMeWEREWLk via @StopTheseThings  The U.S. should be building coal power plants.",1,0.04545454545454545
23,1291042804546678784,retweet,2020-08-05 16:06:05,"In a landmark climate-focused initiative, the world's biggest asset manager, #Blackrock, will exit thermal #coal investments   To Know More Read Full Report: https://t.co/ukzG54ES2B  #Ckinetics #ResponsibleBiz #SRI https://t.co/FyQ3JQVqkk",1,0.425
22,1291042783302582272,tweet,2020-08-05 16:06:00,@BCCLofficial Proud moment..@ BCCL # Coal India limited,1,0.3642857142857143
