,ID,Status,Created At,Text,Polarity,Polarity Strength
100,1290993574830538753,tweet,2020-08-05 12:50:28,Rating Update for Dr.Reddy's Laboratories Ltd $RDY https://t.co/nvv0P0iyQr,0,0.0
99,1290891533051400193,retweet,2020-08-05 06:04:59,Dr Reddy's laboratories is part of which index? #DRREDDY #nifty50 #sensex #stocks #pune #pharma  #wednesdaymorning #WednesdayMotivation #quiz #trivia #c2cc,0,0.0
98,1290891410183315457,tweet,2020-08-05 06:04:30,Dr Reddy's laboratories is part of which index? #DRREDDY #nifty50 #sensex #stocks #pune #pharma  #wednesdaymorning #WednesdayMotivation #quiz #trivia #c2cc,0,0.0
97,1290709487809114113,tweet,2020-08-04 18:01:36,Dr.Reddy’s Laboratories $RDY Reaches New 1-Year High at $61.48 https://t.co/ouHqO5Io14 #stocks,1,0.1481818181818182
96,1290594571093565440,tweet,2020-08-04 10:24:58,Here’s how Dr. Reddy's Laboratories won the Award for Packaging Team of the Year in 2019. Will you like to see your team to be known as the Packaging Team of the Year 2020? Click here https://t.co/sdDShGBROj to send in your nominations  #packaging #pharmaceuticalindustry https://t.co/NTWvcqpLoI,0,0.0
95,1290555939104468993,tweet,2020-08-04 07:51:27,Dr.Reddy’s Laboratories Ltd $RDY Expected to Earn FY2021 Earnings of $1.96 Per Share https://t.co/jHwlyGKELm,-1,-0.1
94,1290511540626563072,tweet,2020-08-04 04:55:02,$rdy We have detected a noticeable rise in the Zeitgeist for Dr. Reddy's Laboratories Ltd. Sponsored ADR at  https://t.co/KLNVyQ3cBW Visit DataSwarm Markets for more information #STOCKS #NYSE DataSwarm ref: 107037,1,0.5
93,1290354289039355904,tweet,2020-08-03 18:30:10,"Dr Reddy's Laboratories gets USFDA nod for Xeglyze lotion, used for lice treatment https://t.co/UMC1lXDHLb",0,0.0
92,1290271197947547648,tweet,2020-08-03 13:00:00,"Psychedelic Drugs Market 2020-2026 will Change the Future || Global Players - Dr. Reddy's Laboratories Ltd, Takeda Pharmaceutical Company Limited, Pfizer Inc, Mylan NV - Market Research Vista   🔥 #potstocks #mushrooms #potstocks https://t.co/3o1xLXRvVs",-1,-0.023809523809523808
91,1290265707125456896,retweet,2020-08-03 12:38:11,Shareholding change of the Pharma majors.  🔬 Sun Pharma 💉 Cipla 🧬 Dr Reddy’s Laboratories 🧪 Divi’s Laboratories.  #Q1FY21 https://t.co/VnkjFUjZ91,0,0.0
90,1290261705042227200,tweet,2020-08-03 12:22:17,$RDY / Dr. Reddy's Laboratories files form 6-K https://t.co/uhH3aam00G,0,0.0
89,1290211343090425856,retweet,2020-08-03 09:02:09,Shareholding change of the Pharma majors.  🔬 Sun Pharma 💉 Cipla 🧬 Dr Reddy’s Laboratories 🧪 Divi’s Laboratories.  #Q1FY21 https://t.co/VnkjFUjZ91,0,0.0
88,1290202853525483521,retweet,2020-08-03 08:28:25,Shareholding change of the Pharma majors.  🔬 Sun Pharma 💉 Cipla 🧬 Dr Reddy’s Laboratories 🧪 Divi’s Laboratories.  #Q1FY21 https://t.co/VnkjFUjZ91,0,0.0
87,1290199429715124224,retweet,2020-08-03 08:14:49,Shareholding change of the Pharma majors.  🔬 Sun Pharma 💉 Cipla 🧬 Dr Reddy’s Laboratories 🧪 Divi’s Laboratories.  #Q1FY21 https://t.co/VnkjFUjZ91,0,0.0
86,1290187310407942146,retweet,2020-08-03 07:26:39,Shareholding change of the Pharma majors.  🔬 Sun Pharma 💉 Cipla 🧬 Dr Reddy’s Laboratories 🧪 Divi’s Laboratories.  #Q1FY21 https://t.co/VnkjFUjZ91,0,0.0
85,1290178280771878915,retweet,2020-08-03 06:50:47,Shareholding change of the Pharma majors.  🔬 Sun Pharma 💉 Cipla 🧬 Dr Reddy’s Laboratories 🧪 Divi’s Laboratories.  #Q1FY21 https://t.co/VnkjFUjZ91,0,0.0
84,1290178070511407105,retweet,2020-08-03 06:49:57,Shareholding change of the Pharma majors.  🔬 Sun Pharma 💉 Cipla 🧬 Dr Reddy’s Laboratories 🧪 Divi’s Laboratories.  #Q1FY21 https://t.co/VnkjFUjZ91,0,0.0
83,1290177959483981825,tweet,2020-08-03 06:49:30,Shareholding change of the Pharma majors.  🔬 Sun Pharma 💉 Cipla 🧬 Dr Reddy’s Laboratories 🧪 Divi’s Laboratories.  #Q1FY21 https://t.co/VnkjFUjZ91,0,0.0
82,1290107297025282048,tweet,2020-08-03 02:08:43,"Uniseed investee @Hatchtech_Aus today announced its commercialisation partner, Dr Reddy's Laboratories, has achieved FDA approval of Xeglyze for the topical treatment of head lice infestation.  https://t.co/rnTyVFlhT4",0,0.0
81,1289999449591353344,tweet,2020-08-02 19:00:10,"@SaraMulcahy1 @HKrassenstein @realDonaldTrump These are the big pharmas that produce hydrocloriquin. Follow the money and the investors.  Amneal Pharmaceuticals LLC Dr. Reddy's Laboratories, Inc. Lupin Pharmaceuticals, Inc. Mylan Pharmaceuticals Inc. Sandoz Inc. Teva Pharmaceuticals USA, Inc. Zydus Pharmaceuticals (USA) Inc.",0,0.0
80,1289916887506333696,tweet,2020-08-02 13:32:06,Analysts Set Dr.Reddy’s Laboratories Ltd $RDY Target Price at $53.00 https://t.co/0PnxUqvPFm,0,0.0
79,1289831600096591872,tweet,2020-08-02 07:53:12,"Top pharma companies.  Dr. Reddy’s Laboratories,  Aurobindo pharmaceuticals,  Mylan,  Novartis,  Nicholas Piramal,  Divi Labs,  NATCO Pharma,  Gland Pharmaceuticals, etc.",1,0.5
78,1289801874997014529,retweet,2020-08-02 05:55:05,Dr Reddy's Laboratories - Q1FY21 Result Update - ICICI Securities  @drreddys @ICICI_Direct #ICICISecurities   https://t.co/QtZBhGWZot https://t.co/kzATsLbhQp,0,0.0
77,1289796063428145153,tweet,2020-08-02 05:31:59,Dr Reddy's Laboratories - Q1FY21 Result Update - ICICI Securities  @drreddys @ICICI_Direct #ICICISecurities   https://t.co/QtZBhGWZot https://t.co/kzATsLbhQp,0,0.0
76,1289671292107382784,tweet,2020-08-01 21:16:11,"Alaskans own 49,824 shares of Dr Reddy's Laboratories Ltd, worth $1,999,612.80. It's in the Pharmaceuticals, Biotechnology &amp; Life Sciences industry, based in 🇮🇳 India.",1,0.44999999999999996
75,1289491248806420481,tweet,2020-08-01 09:20:45,Dr.Reddy’s Laboratories $RDY PT Raised to $53.00 https://t.co/1zrQCYiNto,0,0.0
74,1289490449602756608,tweet,2020-08-01 09:17:35,Dr.Reddy’s Laboratories $RDY Price Target Raised to $53.00 https://t.co/4nWLAOCI6y,0,0.0
73,1289436775547625473,tweet,2020-08-01 05:44:18,Dr.Reddy’s Laboratories $RDY Stock Price Up 1.7% After Analyst Upgrade https://t.co/hoJq3P9Epq,0,0.0
72,1289428355004026884,tweet,2020-08-01 05:10:50,Dr.Reddy’s Laboratories $RDY Stock Price Up 1.7% After Analyst Upgrade https://t.co/GXns53VVbE,0,0.0
71,1289228326695886853,tweet,2020-07-31 15:56:00,@PRSundar64 Dr Reddy's laboratories,0,0.0
70,1289170309560635392,tweet,2020-07-31 12:05:28,"Osteoporosis Treatment Market Opportunities, Growth and Updated Business Strategies|Teva Pharmaceutical Industries Ltd., Amgen Inc., Dr Reddy’s Laboratories https://t.co/pdKdzJGCKM #news #pharma #pharmiweb",0,0.0
69,1289170275192279042,tweet,2020-07-31 12:05:19,"Osteoporosis Treatment Market Opportunities, Growth and Updated Business Strategies|Teva Pharmaceutical Industries Ltd., Amgen Inc., Dr Reddy’s Laboratories https://t.co/XeiVe5PCb3 #news #pharma #pharmiweb",0,0.0
68,1289153596022390785,tweet,2020-07-31 10:59:03,Dr.Reddy’s Laboratories $RDY Hits New 1-Year High at $57.93 https://t.co/S2rQER036N,1,0.1481818181818182
67,1289150196631441410,tweet,2020-07-31 10:45:32,$RDY / Dr. Reddy's Laboratories files form 6-K https://t.co/uhH3aaDBpg,0,0.0
66,1289144530214752260,tweet,2020-07-31 10:23:01,Dr.Reddy’s Laboratories $RDY Hits New 1-Year High at $57.93 https://t.co/ZXmM2smJQT,1,0.1481818181818182
65,1289086466279329793,tweet,2020-07-31 06:32:18,Dr.Reddy’s Laboratories $RDY Stock Price Up 1.7% on Analyst Upgrade  https://t.co/o6LUBE5Cig,0,0.0
64,1289076729387130883,tweet,2020-07-31 05:53:36,Dr.Reddy’s Laboratories $RDY Stock Price Up 1.7% on Analyst Upgrade https://t.co/wCbvOt6wrr,0,0.0
63,1288885921924947968,tweet,2020-07-30 17:15:24,Dr.Reddy's Laboratories (NYSE:RDY) Shares Up 1.7% on Analyst Upgrade $RDY #RDY #Dr.Reddy'sLaboratories #instantalerts #NYSE:RDY https://t.co/egQBR1JDwr,0,0.0
62,1288872421781434368,retweet,2020-07-30 16:21:46,Ideas For Profit with @SakshiBatra18 | Why investors with high-risk appetite can accumulate Dr Reddy's Laboratories: https://t.co/rhrAZ6P3Cz  #DrReddys #stockstowatch #stockmarket #investment https://t.co/I0XJtFLNOy,0,0.0
61,1288871072511787008,tweet,2020-07-30 16:16:24,Dr. Reddy’s Laboratories – Urgent job openings for Production department https://t.co/ompDfZqSOe,0,0.0
60,1288869822000816139,tweet,2020-07-30 16:11:26,Ideas For Profit with @SakshiBatra18 | Why investors with high-risk appetite can accumulate Dr Reddy's Laboratories: https://t.co/rhrAZ6P3Cz  #DrReddys #stockstowatch #stockmarket #investment https://t.co/I0XJtFLNOy,0,0.0
59,1288830277318348800,tweet,2020-07-30 13:34:18,"best pharma stocks to buy :   1.Dr.Reddy's Laboratories Ltd   2. Cipla   3.Biocon   4.Sun pharma   5.Glenmark Pharmaceuticals   6.Divi's Laboratories  7. lupin  8.Aarti Drugs   9.torrent pharma  Krebs Biochemicals , amruthanjan healthcare   https://t.co/I0ymK821v1",1,1.0
58,1288807941269676034,tweet,2020-07-30 12:05:32,"Dr. Reddy's Laboratories Limited - Shareholders meeting: Dr. Reddy's Laboratories Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on July 30, 2020. Further, the company has submitted the Exchange a copy of… https://t.co/RDFADndBmw",-1,-0.023214285714285708
57,1288798504782049287,tweet,2020-07-30 11:28:02,Dr. Reddy's Laboratories' (RDY) CEO Erez Israeli on Q1 2021 Results - Earnings Call Transcript https://t.co/VpPYJ2mLYn via @employee_Bnfts #Productivity #Employee https://t.co/oKjdt3jSbU,0,0.0
56,1288796864490471425,tweet,2020-07-30 11:21:31,#Breakthrough Indian pharmaceutical company Dr Reddy's laboratories to launch two  covid-19 drugs. https://t.co/ny811TScau,0,0.0
55,1288787672232755201,tweet,2020-07-30 10:45:00,Shares of Dr. Reddy’s Laboratories touched an all-time high as analysts raised target prices after it beat estimates in Q1.  Here's what brokerages are saying. #Q1WithBQ https://t.co/WVUwQIvZ2K,1,0.16
54,1288787289003438081,tweet,2020-07-30 10:43:28,"For pharma research we need to develop a 'digital culture': Sauri Gudlavalleti, Global Head, IPDO, Dr. Reddy's Laboratories Ltd. https://t.co/k95VbRPPQP Drugs News, Medical News  In the current pandemic situation, pharmaceutical research efforts need to… https://t.co/hy4xYAYzQ3",0,0.0
53,1288776616181555202,tweet,2020-07-30 10:01:04,Dr. Reddy's Laboratories Limited - Copy of Newspaper Publication: Dr. Reddy's Laboratories Limited has informed the Exchange about Copy of Newspaper Publication...... https://t.co/igJUX4rPHZ,-1,-0.07142857142857142
52,1288762038013923328,tweet,2020-07-30 09:03:08,$RDY - Dr. Reddy's Laboratories' (RDY) CEO Erez Israeli on Q1 2021 Results - Earnings Call Transcript. https://t.co/mrzH7d4ewE #stockmarket #finance #stocks,0,0.0
51,1288709541949919232,retweet,2020-07-30 05:34:32,Dr. Reddy's Laboratories - Strong margin beat - ICICI Securities  @drreddys @ICICI_Direct #ICICISecurities   https://t.co/sbio0wGl7a https://t.co/2goa6srXrY,1,0.4333333333333333
50,1288706657749364737,tweet,2020-07-30 05:23:04,Dr. Reddy's Laboratories - Strong margin beat - ICICI Securities  @drreddys @ICICI_Direct #ICICISecurities   https://t.co/sbio0wGl7a https://t.co/2goa6srXrY,1,0.4333333333333333
49,1288701436105170945,tweet,2020-07-30 05:02:19,"Dr. Reddy's Laboratories Limited,Mastek Limited,Dpsc Limited - Short term breakout seen #stockstowatch #StockMarket",-1,-0.03571428571428571
48,1288678631556829184,tweet,2020-07-30 03:31:42,"We need to build a 'digital culture' for pharma research : Sauri Gudlavalleti, Global Head,  IPDO, Dr.Reddy's Laboratories Ltd https://t.co/W7gbmZyLQH via @ETHealthWorld",0,0.0
47,1288669024381890560,tweet,2020-07-30 02:53:32,"Dr. Reddy's Laboratories Limited - Updates: Dr. Reddy's Laboratories Limited has informed the Exchange regarding 'Intimation regarding filing of Form 6-K for the quarter ended June 30, 2020'....... https://t.co/ftramDyhDA",-1,-0.07142857142857142
46,1288600373008183308,tweet,2020-07-29 22:20:44,"Dr Reddy’s Laboratories gets USFDA nod for Xeglyze lotion, used for lice treatment https://t.co/Ph1puEW960",0,0.0
45,1288519671042498561,tweet,2020-07-29 17:00:03,Business Today - Dr Reddy's Laboratories share price hits fresh 52-week high on Q1 earnings  #laboratoriessharepricehits #sharepricehits #q1earnings #BusinessToday  - https://t.co/n7DV6yojIt      [https://t.co/Le5Szjt2uA],1,0.22999999999999998
44,1288499488630308866,tweet,2020-07-29 15:39:51,@smarket Dr. Reddy's Laboratories woke up,0,0.0
43,1288495301515329536,tweet,2020-07-29 15:23:13,"Dr Reddys to launch Covid drugs remdesivir and favipiravir in August https://t.co/My4JsFm6oc Dr Reddy's Laboratories (DRL)  - injectable drug remdesivir for hospitalised Covid-19 patients, and oral drug favipiravir that is given to mild to moderate patients.",1,0.16666666666666666
42,1288490716214198274,tweet,2020-07-29 15:05:00,Top 21 Results of the Day 2/7: Sasken Technologies profit increased 199.26% in (Q1) https://t.co/BruJLmmVEI Carborundum Universal profit decreased 79.50% in (Q1) https://t.co/vulZEkO04T Dr. Reddy's Laboratories profit decreased 27.66% in (Q1) https://t.co/peQZ3hJCAS,-1,-0.07500000000000001
41,1288480384112566272,tweet,2020-07-29 14:23:57,$RDY / Dr. Reddy's Laboratories files form 6-K https://t.co/uhH3aaDBpg,0,0.0
40,1288471982225252355,tweet,2020-07-29 13:50:33,Dr Reddy’s Laboratories Q1 profit falls 13 per cent https://t.co/iPfiERf2qN,0,0.0
39,1288466973131644935,tweet,2020-07-29 13:30:39,$RDY - Dr. Reddy's Laboratories Limited 2021 Q1 - Results - Earnings Call Presentation. https://t.co/diGyyB8Q9z #stockmarket #finance #trading,-1,-0.07142857142857142
38,1288463165584334848,tweet,2020-07-29 13:15:31,Dr. Reddy's Laboratories Q1FY21 Result: https://t.co/SVNqCDapT2,0,0.0
37,1288447724107567105,tweet,2020-07-29 12:14:10,Dr.Reddy's Laboratories Ltd today’s #StockOfTheDay went up by 3.58% on high volume. This stock broke out of 4143.50 resistance line in 15-min timeframe at 1:45 pm and simultaenously broke out of 4151.62 resistance line in 75-min timeframe.⠀ https://t.co/LTdhgBjosb #stockmarkets https://t.co/tBToCSknXO,1,0.16
36,1288434358320275457,tweet,2020-07-29 11:21:03,Reports First Quarter 2020 Results Dr.Reddy's Laboratories (NYSE:RDY) - https://t.co/JehskK7N1Y https://t.co/tV6j6ysycz,1,0.25
35,1288434127645995008,tweet,2020-07-29 11:20:08,Quarterly earnings of Dr. Reddy's Laboratories.  #quarterlyearnings #quarterlyresults #drreddyslaboratories #stockmarkets #stockmarketinvesting #stockinvesting #stockmarketnews #success #StockMarket #stocks #nse #bse #finance #financenewsdaily #investment #india https://t.co/pWiGX7l6HK,1,0.3
