,ID,Status,Created At,Text,Polarity,Polarity Strength
4,1291060595085570050,tweet,2020-08-05 17:16:47,"@ecowiselabs Hi sir I sold eicher motors today at starting level, Is it safe or can I exit.? Ur view please",1,0.25
3,1291051629517496321,tweet,2020-08-05 16:41:09,⭐️ Ultra Equity Advice #139: Sell Eicher Motors (#NSE: #EICHERMOT)  Return -₹910 (-4.34%)  ● #trading position: https://t.co/tHHgj3MOPH,0,0.0
2,1291042906170507264,tweet,2020-08-05 16:06:29,05/08/20 Sensex closed 0.07% down at 37663 Nifty closed 0.06% up at 11101  FII Net sold ₹60 Crs DII Net sold ₹425Crs  Nifty Top gainers: Tata motors Hindalco Tata steel Adani ports Eicher motors  Top losers: UPL Wipro Powergrid Reliance HDFC life #sensex #nifty50 #Nifty,1,0.055555555555555546
1,1291016084632432640,retweet,2020-08-05 14:19:55,@Abhishekkar_ An autobiography of Yogi :Swami Paramahamsa Yoganantha - for Spiritual   Mein Kampf :Hitler - For Patriotic  Man Mohan Lal - Eicher Motors   &amp;  The Prince -  Nicolo Machiavelli &amp; The 48 Laws of Power :  These Books gives Negative vibes but we can use as defensive purpose.,-1,-0.15
0,1291016056887111680,tweet,2020-08-05 14:19:48,@Abhishekkar_ An autobiography of Yogi :Swami Paramahamsa Yoganantha - for Spiritual   Mein Kampf :Hitler - For Patriotic  Man Mohan Lal - Eicher Motors   &amp;  The Prince -  Nicolo Machiavelli &amp; The 48 Laws of Power :  These Books gives Negative vibes but we can use as defensive purpose.,-1,-0.15
5,1290991304483016706,tweet,2020-08-05 12:41:27,"The trade setup looked positive in Hindaco, Bata India, Tata Motors, Eicher Motor, JSW Steel, Havells, TVS Motor, Cummins India, Titan, Jubilant Foodworks and Maruti, while it was weak in Pidilite Industries and Shriram Transport Finance.",-1,-0.07386363636363638
6,1290990754345545732,tweet,2020-08-05 12:39:15,"#Autos continue to move higher on-demand recovery; Tata Motors, Eicher were up 4-5% respectively.",1,0.125
7,1290990474593886210,tweet,2020-08-05 12:38:09,"Top Nifty gainers include names like Adani Ports, Eicher Motors, Tata Steel, and Hindalco Industries.  Top Nifty losers include names like Power Grid, HDFC Life, HDFC Bank, and UPL.",1,0.26666666666666666
8,1290967141332606976,tweet,2020-08-05 11:05:26,"Top Gainers at Stock Market today (5 August 2020)  1. Hindalco 2. SAIL 3. Hindustan Zinc 4. Info Edge 5. NALCO 6. Yes Bank 7. Tata Steel 8. Eicher Motors 9. Bata India 10. AU Small Finance  Adani Ports, RBL Bank, HUDCO, Tata Motors, JSW Steel, PI Industries were other gainers. https://t.co/iRkV16QSRW",1,0.04166666666666666
9,1290957782447865856,tweet,2020-08-05 10:28:14,"#MarketAtClose | Autos continue to move higher on demand recovery; Tata Motors, Eicher up 4-5%. Improved China data helps metal stocks gain; Hindalco, Tata Steel top Nifty gainers https://t.co/t4HQ3l8L0P",1,0.375
10,1290865274057404416,retweet,2020-08-05 04:20:39,An Interesting statistic on the customer's preference of first motorcycle brand.  Source - Eicher Motors latest Annual report.  No reco. https://t.co/vn6P41TxZ2,1,0.4166666666666667
11,1290855305295859712,tweet,2020-08-05 03:41:02,"@b50 Thought about this around two years ago and invested in the following:  Eicher motors HUL Piramal Enterprises Tata Steep Canara Bank  2 years on, at a 21% cumulative loss with HUL being the only savior.",0,0.0
12,1290849768780963840,retweet,2020-08-05 03:19:02,An Interesting statistic on the customer's preference of first motorcycle brand.  Source - Eicher Motors latest Annual report.  No reco. https://t.co/vn6P41TxZ2,1,0.4166666666666667
13,1290848080120573954,retweet,2020-08-05 03:12:19,An Interesting statistic on the customer's preference of first motorcycle brand.  Source - Eicher Motors latest Annual report.  No reco. https://t.co/vn6P41TxZ2,1,0.4166666666666667
14,1290837839869952000,tweet,2020-08-05 02:31:38,An Interesting statistic on the customer's preference of first motorcycle brand.  Source - Eicher Motors latest Annual report.  No reco. https://t.co/vn6P41TxZ2,1,0.4166666666666667
15,1290764027027546112,retweet,2020-08-04 21:38:19,@bvmota @Panks_Arora @dmuthuk Look at Eicher Motors from year 2000 to year 2010. Patience is the key. It's time for ITC now Keep watching ITC from year 2020 to 2030. https://t.co/jgMWZG5FJV,0,0.0
16,1290710018388455425,tweet,2020-08-04 18:03:43,@bvmota @Panks_Arora @dmuthuk Look at Eicher Motors from year 2000 to year 2010. Patience is the key. It's time for ITC now Keep watching ITC from year 2020 to 2030. https://t.co/jgMWZG5FJV,0,0.0
17,1290635362402885632,tweet,2020-08-04 13:07:03,Eicher Motors Limited - Loss of Share Certificates: Eicher Motors Limited has informed the Exchange about Loss of Share Certificates...... https://t.co/ScHQAmMRPq,-1,-0.07142857142857142
18,1290605064713728000,tweet,2020-08-04 11:06:40,@datta_arvind Eicher Motors will go for stock split. Will this buy sign for retail investors?.,0,0.0
19,1290333917837287424,tweet,2020-08-03 17:09:13,"@EWFA_ I see that Genomal brothers are listed as ""Foreign promoters"" but does this make Page an MNC? I don't know. If this is the case, even Eicher Motors should be called an MNC since Siddhartha Lal is a foreign national. I don't know if shareholding natters or not. Please help be out",-1,-0.125
