,ID,Status,Created At,Text,Polarity
199,1264859798891266051,retweet,2020-05-25 10:04:10,Questioning  definition of Secularism on facbook  resultant into ban. is it to appease a particular community? #AntiHindu_Facebook,0
198,1264835153983127552,tweet,2020-05-25 08:26:14,#Promote your upcoming #album on #ArtistRack https://t.co/rO4IjuIqm4 and get a #shoutout on #Instagram #Twitter #Facbook #music  #SPOTIFY #SPOTIFYPLAYLIST #MUSIC #MUSICPROMO #EDMMUSIC #EDMMUSIC #POPMUSIC #HIPHOP #HOUSEMUSIC https://t.co/xVFe2JAe2w,0
197,1264835153605656578,tweet,2020-05-25 08:26:14,#Promote your upcoming #album on #ArtistRack https://t.co/ulYlcRKK8P and get a #shoutout on #Instagram #Twitter #Facbook #music  #SPOTIFY #SPOTIFYPLAYLIST #MUSIC #MUSICPROMO #EDMMUSIC #EDMMUSIC #POPMUSIC #HIPHOP #HOUSEMUSIC https://t.co/7OxZI1u2wq,0
196,1264805222846738439,tweet,2020-05-25 06:27:18,#Promote your upcoming #album on #ArtistRack https://t.co/ulYlcRKK8P and get a #shoutout on #Instagram #Twitter #Facbook #music  #SPOTIFY #SPOTIFYPLAYLIST #MUSIC #MUSICPROMO #EDMMUSIC #EDMMUSIC #POPMUSIC #HIPHOP #HOUSEMUSIC https://t.co/0J7CZayWJA,0
195,1264805216840531969,tweet,2020-05-25 06:27:17,#Promote your upcoming #album on #ArtistRack https://t.co/rO4IjuIqm4 and get a #shoutout on #Instagram #Twitter #Facbook #music  #SPOTIFY #SPOTIFYPLAYLIST #MUSIC #MUSICPROMO #EDMMUSIC #EDMMUSIC #POPMUSIC #HIPHOP #HOUSEMUSIC https://t.co/MDb2SSWL6F,0
194,1264798116907290625,retweet,2020-05-25 05:59:04,"Saw all the streak, stories on whatsapp, instagram, snapchat as well as Facbook now what?",0
193,1264793594025652224,tweet,2020-05-25 05:41:06,"idk if this is an edit but imma tell you beforehand that i saw these on facbook, credits to those who edited this (if this is an edit)  BUT GUN FUCKING ATTHAPHAN WHAT THE— https://t.co/rQBNEyp3Dn",0
192,1264792948304162817,tweet,2020-05-25 05:38:32,Our live set is up on @GKEOfficial Facbook. Check it out 👀 https://t.co/GgV3yjRyXG,0
191,1264777037094555648,tweet,2020-05-25 04:35:18,#Promote your upcoming #album on #ArtistRack https://t.co/ulYlcRKK8P and get a #shoutout on #Instagram #Twitter #Facbook #music  #SPOTIFY #SPOTIFYPLAYLIST #MUSIC #MUSICPROMO #EDMMUSIC #EDMMUSIC #POPMUSIC #HIPHOP #HOUSEMUSIC https://t.co/BQroVdBJKo,0
190,1264777031293841421,tweet,2020-05-25 04:35:17,#Promote your upcoming #album on #ArtistRack https://t.co/rO4IjuIqm4 and get a #shoutout on #Instagram #Twitter #Facbook #music  #SPOTIFY #SPOTIFYPLAYLIST #MUSIC #MUSICPROMO #EDMMUSIC #EDMMUSIC #POPMUSIC #HIPHOP #HOUSEMUSIC https://t.co/aoxETkdOSz,0
