,ID,Status,Created At,Text,Polarity,Polarity Strength
129,1291040323322490880,retweet,2020-08-05 15:56:14,"Top key Players Impacting the Growth of the Information Technology Outsourcing (IPO) Market 2020 | COVID19 Impact Analysis | Key Players: Accenture, HCL   READ MORE: https://t.co/Ol2EQBF9qp  #information #InformationSeeking #InfoTech #TechnologyBusiness #TechnologyCompany~ https://t.co/6javbApazR",1,0.25
128,1291038852057112585,tweet,2020-08-05 15:50:23,"Top key Players Impacting the Growth of the Information Technology Outsourcing (IPO) Market 2020 | COVID19 Impact Analysis | Key Players: Accenture, HCL   READ MORE: https://t.co/Ol2EQBF9qp  #information #InformationSeeking #InfoTech #TechnologyBusiness #TechnologyCompany~ https://t.co/6javbApazR",1,0.25
127,1291027110358786053,tweet,2020-08-05 15:03:43,"Hi friends, HCL Technologies is conducting a interview for the post of Associate. Qualification: Bachelor of #Engineering (#BE) Experience: #Fresher Location: #Chennai, TN #jobs https://t.co/YVXrpWIkiF",0,0.0
130,1290988076169191426,retweet,2020-08-05 12:28:37,"HCL Technologies, an IT firm would set up one of its centres in Amaravati  #ReferendumChallengeToSaveAP https://t.co/IpO3WvYGSu",-1,-0.2
131,1290987685247500288,retweet,2020-08-05 12:27:04,"HCL Technologies, an IT firm would set up one of its centres in Amaravati  #ReferendumChallengeToSaveAP https://t.co/IpO3WvYGSu",-1,-0.2
132,1290986382626705409,retweet,2020-08-05 12:21:53,"HCL Technologies, an IT firm would set up one of its centres in Amaravati  #ReferendumChallengeToSaveAP https://t.co/IpO3WvYGSu",-1,-0.2
133,1290984805220225026,retweet,2020-08-05 12:15:37,"HCL Technologies, an IT firm would set up one of its centres in Amaravati  #ReferendumChallengeToSaveAP https://t.co/IpO3WvYGSu",-1,-0.2
134,1290984188338819072,retweet,2020-08-05 12:13:10,"HCL Technologies, an IT firm would set up one of its centres in Amaravati  #ReferendumChallengeToSaveAP https://t.co/IpO3WvYGSu",-1,-0.2
135,1290983065917915136,retweet,2020-08-05 12:08:42,"HCL Technologies, an IT firm would set up one of its centres in Amaravati  #ReferendumChallengeToSaveAP https://t.co/IpO3WvYGSu",-1,-0.2
136,1290981838715006978,retweet,2020-08-05 12:03:50,"HCL Technologies, an IT firm would set up one of its centres in Amaravati  #ReferendumChallengeToSaveAP https://t.co/IpO3WvYGSu",-1,-0.2
