,ID,Status,Created At,Text,Polarity,Polarity Strength
223,1291074094415241216,retweet,2020-08-05 18:10:25,#moratorium3  We want Moratorium 3.0 @RBI @RBIsays @DasShaktikanta @HDFC_Bank @HDFCBank_Cares @nsitharaman @nsitharamanoffc,0,0.0
222,1291073886453248000,retweet,2020-08-05 18:09:36,".@RBI okays #SashidharJagdishan as Aditya Puri’s successor at @HDFC_Bank. It will be effective from October 27, 2020, on the retirement of #AdityaPuri.  Read the article by @EconomicTimes here. #LeadersOfHDFCBank #Leadership https://t.co/7Y2v9h6CUv",1,0.6
221,1291073639677222912,tweet,2020-08-05 18:08:37,@HDFC_Bank my account number 50100353902782 h ab esme amount send v nhi hota h or mobile number p koi msg v nhi ata h. Sir pls check.,0,0.0
220,1291073316640309248,tweet,2020-08-05 18:07:20,"This is really un professional and shocking..Without prior notification they withhold my Credit card min due amount into Savings account.But the amount I kept is for my loan due ,Now I got bounce charges and cibil problem. I felt very bad for this behaviour @ICICIBank @HDFC_Bank",-1,-0.21199999999999997
219,1291072492807716864,retweet,2020-08-05 18:04:03,#moratorium3  We want Moratorium 3.0 @RBI @RBIsays @DasShaktikanta @HDFC_Bank @HDFCBank_Cares @nsitharaman @nsitharamanoffc,0,0.0
218,1291071907941367808,retweet,2020-08-05 18:01:44,Wrote the complaint of HDFC and OnePlus to PMO india regarding fraud happened with me  Amount has been deducted from my account but not received mobile or money back even after 20 days  @HDFC_Bank  @OnePlus_IN  @PMOIndia  @nsitharaman https://t.co/rG5QrxZqpd,-1,-0.15
217,1291071878853881857,tweet,2020-08-05 18:01:37,@HDFC_Bank Don't trust on HDFC there are making fool to innocent people https://t.co/qd5EEdJ6Uy,1,0.5
216,1291071821123477504,tweet,2020-08-05 18:01:23,@HDFC_Bank still no resolution provided even after the dm conversation  Waiting for a proper resolution,0,0.0
215,1291071754908049408,tweet,2020-08-05 18:01:07,@rahul_promoter @RBI @HDFCBank_Cares @HDFC_Bank Dear RBI ( HDFC BANK)  TRY to solve the problems of Rahul Rai  Without any information how u  an freeze the account in this difficult time period  kindly help the person and try to solve the problems as soon as possible,1,0.033333333333333326
214,1291070672077168640,tweet,2020-08-05 17:56:49,"@HDFCBank_Cares @HDFC_Bank You guys have sent me a new credit card via Bluedart to an address that I am no longer present. And it reached back to you because of an unsuccessful attempt. Can you resend it to my updated address, please? Can someone help me?",1,0.04545454545454545
213,1291070415603867649,tweet,2020-08-05 17:55:48,"@HDFCBank_Cares @HDFC_Bank is this a new kind of fraud, agree amount is less , but something is there called disclosure . That’s the reason I have cancelled ur card https://t.co/JZHAsoOYIh",1,0.1898989898989899
212,1291070226780561409,tweet,2020-08-05 17:55:03,💥 Amazon #PrimeDay Sale Starts at Midnight | 10% Instant Discount with HDFC Bank Cards 👉 https://t.co/b4CLMwdhiA https://t.co/lYKLRzIwTY,0,0.0
211,1291069683857326081,retweet,2020-08-05 17:52:54,See how #BTS captures at night. Bright Night pulls in more light so you can see more night #withGalaxy S20 Series. Own now @ ₹3099*. Get Galaxy Buds+ @ ₹3999* or HDFC Bank cashback up to ₹6000*. *TnC apply. Know more: https://t.co/UMhs2Snovo #GalaxyS20Series #Samsung https://t.co/0D5aqln7Nd,1,0.5333333333333333
210,1291069584678805505,retweet,2020-08-05 17:52:30,See how #BTS captures at night. Bright Night pulls in more light so you can see more night #withGalaxy S20 Series. Own now @ ₹3099*. Get Galaxy Buds+ @ ₹3999* or HDFC Bank cashback up to ₹6000*. *TnC apply. Know more: https://t.co/UMhs2Snovo #GalaxyS20Series #Samsung https://t.co/0D5aqln7Nd,1,0.5333333333333333
209,1291069214254456837,retweet,2020-08-05 17:51:02,Here's how the banking stock have performed since last #RBIPolicy.   @rblbank @bandhanbank_in @MyIndusIndBank @IDFCFIRSTBank @FederalBankLtd @AxisBank @TheOfficialSBI @bankofbaroda @HDFC_Bank @pnbindia @ICICIBank @KotakBankLtd https://t.co/Htu8MS4UgB,0,0.0
208,1291068636497694722,retweet,2020-08-05 17:48:44,See how #BTS captures at night. Bright Night pulls in more light so you can see more night #withGalaxy S20 Series. Own now @ ₹3099*. Get Galaxy Buds+ @ ₹3999* or HDFC Bank cashback up to ₹6000*. *TnC apply. Know more: https://t.co/UMhs2Snovo #GalaxyS20Series #Samsung https://t.co/0D5aqln7Nd,1,0.5333333333333333
207,1291068333496979457,retweet,2020-08-05 17:47:32,".@RBI okays #SashidharJagdishan as Aditya Puri’s successor at @HDFC_Bank. It will be effective from October 27, 2020, on the retirement of #AdityaPuri.  Read the article by @EconomicTimes here. #LeadersOfHDFCBank #Leadership https://t.co/7Y2v9h6CUv",1,0.6
206,1291068100746461184,tweet,2020-08-05 17:46:36,Wrote the complaint of HDFC and OnePlus to PMO india regarding fraud happened with me  Amount has been deducted from my account but not received mobile or money back even after 20 days  @HDFC_Bank  @OnePlus_IN  @PMOIndia  @nsitharaman https://t.co/rG5QrxZqpd,-1,-0.15
205,1291067836878721026,retweet,2020-08-05 17:45:33,"Axis Bank and HDFC Ltd both open QIP's simultaneously  Massive supply of equity coming into the markets. Managements are smart, liquidity is ample and they are taking it in while it lasts..",1,0.07142857142857142
