,ID,Status,Created At,Text,Polarity,Polarity Strength
13,1290902019394347008,tweet,2020-08-05 06:46:39,Q1FY21 Important Results Calendar  August 6th  2020 Derivative  Segment  • Adani Enterprises Limited • Hindustan Petroleum Corporation Limited • Lupin Limited • Pidilite Industries Limited • Torrent Power Limited • Vodafone Idea Limited,-1,-0.00408163265306121
12,1290612457300353030,tweet,2020-08-04 11:36:02,Hindustan Petroleum Corporation Limited - Issue of Securities: Hindustan Petroleum Corporation Limited has informed the Exchange about issue of Securities...... https://t.co/dNWX1NAGET,-1,-0.07142857142857142
11,1290576558688628741,tweet,2020-08-04 09:13:24,https://t.co/KNccldhzmZ  #Hindustan Petroleum #Corporation #Limited #HPCL #Lubricants #API SN #JASO #Smooth #Wet #Clutch #Operation #WetClutch  #Compatible With #Advance #Fuel Advance #Exhaust #Emission #Control #System #Zindagi  #Chale Smooth  #Review By #Evewin #Lakra,1,0.15714285714285717
10,1290284825799090176,retweet,2020-08-03 13:54:09,"We welcome you to the only @HPCL Fuel Station located on Ashram Chowk, New Delhi ! Your Trusted New Delhi Petrol pump since 1948 !  Drive to us Today - https://t.co/8EY0eYw7iJ @baghramesh1 @jindalhpc https://t.co/IGfEFTDywb",1,0.2852272727272727
9,1289524289457143808,tweet,2020-08-01 11:32:03,Hindustan Petroleum Corporation Limited - Loss of Share Certificates: Hindustan Petroleum Corporation Limited has informed the Exchange about Loss of Share Certificates...... https://t.co/9bo7RHGG3F,-1,-0.07142857142857142
8,1289449863336169472,tweet,2020-08-01 06:36:18,RPP Infra Projects bags new work orders from Hindustan Petroleum Corporation https://t.co/IEGbGmdQTf  #preengineered #PEB #precast #concrete #infrastructure #construction #Petroleum #shed,1,0.1431818181818182
7,1289293502887505922,tweet,2020-07-31 20:14:59,"I still remember a visit by our very likeable General Manager, South Zone V.K.Singh of Hindustan Petroleum Corporation. Vikky was a true gentleman and hailed from Punjab. All of us,both sales and operations staff, were having dinner at the nice Annalakshmi hotel in Coimbatore 2/n",1,0.3
6,1289086037063426048,tweet,2020-07-31 06:30:35,"Greetings! From M/s Lube Tradeways (ISO 9001:2015 Certified Company). We are pleased to introduce ourselves, as an Authorised C&amp;F Agent of Hindustan Petroleum Corporation Limited for the complete range of Industrial Oils, Hydraulic Oils, Cutting Oils,Gear Oils, Etc.",-1,-0.01785714285714285
5,1288745365806542848,tweet,2020-07-30 07:56:53,#RPPInfra Projects won two new prestigious work orders aggregate worth amount of Rs 62.83 crore from Hindustan Petroleum Corporation Limited (#HPCL) for Construction. @HPCL,1,0.12164502164502163
4,1288519917805932544,tweet,2020-07-29 17:01:02,Hindustan Petroleum Corporation Ltd. shares  drop  1.29% as Sensex  falls https://t.co/jvsQUYKKm6   #WallStreet #StockMarket #Business #Economy,0,0.0
3,1288469124201320449,retweet,2020-07-29 13:39:12,"Congratulations to Mr. Siba Prasad Bera for getting a job offer in Hindustan Petroleum Corporation Limited (HPCL), Government of India. All the best to @SPBera1 .  @KonarSanjit @chm_iiserb @iiserbhopal",1,0.4642857142857143
2,1288405527299387392,retweet,2020-07-29 09:26:29,"Congratulations to Mr. Siba Prasad Bera for getting a job offer in Hindustan Petroleum Corporation Limited (HPCL), Government of India. All the best to @SPBera1 .  @KonarSanjit @chm_iiserb @iiserbhopal",1,0.4642857142857143
1,1288350445316878337,retweet,2020-07-29 05:47:37,"Congratulations to Mr. Siba Prasad Bera for getting a job offer in Hindustan Petroleum Corporation Limited (HPCL), Government of India. All the best to @SPBera1 .  @KonarSanjit @chm_iiserb @iiserbhopal",1,0.4642857142857143
0,1288350140470722561,tweet,2020-07-29 05:46:24,"Congratulations to Mr. Siba Prasad Bera for getting a job offer in Hindustan Petroleum Corporation Limited (HPCL), Government of India. All the best to @SPBera1 .  @KonarSanjit @chm_iiserb @iiserbhopal",1,0.4642857142857143
