,ID,Status,Created At,Text,Polarity,Polarity Strength
4,1291049936918724608,tweet,2020-08-05 16:34:26,@CapgeminiIndia Pl call me on 9962074601. Better for your officer representing Hindustan Unilever’s medical insurance call me please. Urgent **,1,0.25
3,1291033192372350976,retweet,2020-08-05 15:27:53,Hindustan Unilever poised for a big breakout #Nifty #fmcg https://t.co/GpuYeRcenj,0,0.0
2,1291032020030590983,tweet,2020-08-05 15:23:14,Hindustan Unilever poised for a big breakout #Nifty #fmcg https://t.co/GpuYeRcenj,0,0.0
1,1291023911929307140,retweet,2020-08-05 14:51:01,"Congratulations to Priya Nair, Executive Director - Beauty and Personal Care, Hindustan Unilever &amp; VP (BPC), South Asia who is at number 6 on IMPACT’s 50 Most Influential list, 2020 #IMPACT50Women @HUL_News @e4mtweets https://t.co/iIsuV0uHhw",1,0.25
0,1291023595938799617,tweet,2020-08-05 14:49:45,"Congratulations to Priya Nair, Executive Director - Beauty and Personal Care, Hindustan Unilever &amp; VP (BPC), South Asia who is at number 6 on IMPACT’s 50 Most Influential list, 2020 #IMPACT50Women @HUL_News @e4mtweets https://t.co/iIsuV0uHhw",1,0.25
5,1291016298776862720,retweet,2020-08-05 14:20:46,"Congratulations to Prabha Narasimhan, Executive Director-Home Care, Hindustan Unilever and VP-Home Care, Unilever South Asia who is at number 16 on IMPACT’s 50 Most Influential list, 2020 #IMPACT50Women @HUL_News @e4mtweets https://t.co/8EE1uYANJG",1,0.5
6,1291015484951785480,tweet,2020-08-05 14:17:32,"Congratulations to Prabha Narasimhan, Executive Director-Home Care, Hindustan Unilever and VP-Home Care, Unilever South Asia who is at number 16 on IMPACT’s 50 Most Influential list, 2020 #IMPACT50Women @HUL_News @e4mtweets https://t.co/8EE1uYANJG",1,0.5
7,1290995382260908036,tweet,2020-08-05 12:57:39,"Thank you @Socm2Hindustan2   HINDUSTAN UNILEVER LIMITED for donating 420 kgs of Bru Coffee &amp; Lipton Tea Premix which were distributed to Coimbatore Govt.Hosp doctors, nurses &amp; other healthcare heroes for their relentless efforts in this Covid-19 pandemic. #nofoodwaste #Coimbatore https://t.co/w7vizsNB4j",-1,-0.09821428571428573
8,1290991944609472513,tweet,2020-08-05 12:43:59,"“Be ambitious and be your biggest cheerleader is the advice that I would like to share with all women out there”-Priya Nair, Executive Director - Beauty and Personal Care, Hindustan Unilever (@HUL_News)  #IMPACT50Women",1,0.125
9,1290989613423702016,tweet,2020-08-05 12:34:43,"“As a leader, it's important to stay human! Leaders should stay close to the people that contribute to the success of the organisation, whether directly or indirectly”-Priya Nair, Executive Director - Beauty and Personal Care, Hindustan Unilever (@HUL_News)  #IMPACT50Women",1,0.15999999999999998
10,1290984809917902848,tweet,2020-08-05 12:15:38,"“The one thing that my father taught me was to be present and to show up! He was my cheerleader throughout my career”- Priya Nair, Executive Director - Beauty and Personal Care, Hindustan Unilever (@HUL_News)  #IMPACT50Women",0,0.0
11,1290973062490284032,tweet,2020-08-05 11:28:57,HINDUSTAN UNILEVER Q1 FY 21 RESULTS BEST BUY IN  2020 https://t.co/mI0qbiJBl4 via @YouTube,1,1.0
12,1290939282308206594,tweet,2020-08-05 09:14:44,"Hey @HUL_News please change your name to Hindustan Unilever Pharma Ltd, we want a rally!",0,0.0
13,1290919695747432449,tweet,2020-08-05 07:56:54,Hindustan Unilever view  The best day to buy was when GSK sold its stake at 1800 levels   it’s again back to 2150 levels can be accumulated for a target of 2500 by end of the year,1,0.5
14,1290729370693271552,retweet,2020-08-04 19:20:37,"Hindustan Unilever Limited is the Indian subsidiary of Unilever which is a British-Dutch multinational company. It is headquartered in Mumbai, India. Its products include foods, beverages, cleaning agents, personal care products.  @varun23oct #profitidea https://t.co/8FNPtFtqol",-1,-0.03571428571428571
15,1290653226531004416,tweet,2020-08-04 14:18:03,The logo of Hindustan Unilever speaks about the optimal usage of natural ingredients in all its products through the small icons spread over it. This is our featured Logo Design Team's Tuesday Trivia.  #LogoDesign #VisualExpression #TuesdayTrivia https://t.co/G9WZ0dMads,-1,-0.075
16,1290650579400826880,tweet,2020-08-04 14:07:31,please tell about 10 days outcome of SRF &amp; Hindustan Unilever #askawaazcash,0,0.0
17,1290578115836522496,tweet,2020-08-04 09:19:35,"“They focussed on large categories, premium packaging, offering ingredients and formulae, which are high in quality and yet easily affordable. Let’s say they are 40% more expensive than Hindustan Unilever — a big gap in the market,” says Manish Taneja, @letspurplle",1,0.1346031746031746
18,1290572234466107392,retweet,2020-08-04 08:56:13,"Hindustan Unilever Limited is the Indian subsidiary of Unilever which is a British-Dutch multinational company. It is headquartered in Mumbai, India. Its products include foods, beverages, cleaning agents, personal care products.  @varun23oct #profitidea https://t.co/8FNPtFtqol",-1,-0.03571428571428571
19,1290540462726500353,tweet,2020-08-04 06:49:58,"“Unilever is thinking about innovation in three broad areas: Product Innovation, New channels, and Automations.” Shruti Kashyap, CIO - Hindustan Unilever and Head of IT, Unilever  #NasscomRetailTechDay2020 #FalabellaIndia #FalaTweets  @NASSCOMStartUps",1,0.09943181818181818
20,1290518592111312898,tweet,2020-08-04 05:23:03,@CNBC_Awaaz Hindustan Unilever August 27 CE 2300 @83.00 what to do now.,0,0.0
21,1290512377830506497,tweet,2020-08-04 04:58:22,Hindustan Unilever   CMP 2190  Trading near support level,1,0.1
22,1290501731759951872,tweet,2020-08-04 04:16:03,"Work from home and the adoption of new digital technologies across sectors mark the post-Covid world, said Hindustan Unilever chairman Sanjiv Mehta at the first of the ET Back To Business Dialogues   https://t.co/3R5YbHCy4p",1,0.09659090909090907
23,1290493643812290572,retweet,2020-08-04 03:43:55,"Hindustan Unilever took a decision of rebranding one of it's most famous products,#FairandLovely.🌸 The brand will now be dropping all names that even the slightest links to racial profiling👩🏽👩🏻👩🏿 &amp; discrimination.🙌 A great decision that changed perspectives.😃 #BLM #agencylife https://t.co/O11T8u6mn6",1,0.6
24,1290477200475484160,retweet,2020-08-04 02:38:35,"FICCI CASCADE organised a interactive webinar today on  ‘Go Vocal for Local to Combat Illicit Trade’ with @ashwani_mahajan, National co-convener, @swadeshimanch  and representative from Patanjali Ayurved, Dabur India and Hindustan  Unilever. https://t.co/P9DLqsGpW4",0,0.0
25,1290382694501605376,retweet,2020-08-03 20:23:03,"Stepping towards the empowerment of Women on the eve of #Rakshabandhan, Govt of Andhra Pradesh signed MoUs with Hindustan Unilever, ITC, and Procter &amp; Gamble (P&amp;G India) companies in the presence of @AndhraPradeshCM @ysjagan https://t.co/8pzEnhpInd",0,0.0
26,1290350576388038656,retweet,2020-08-03 18:15:25,"Hindustan Unilever Limited is the Indian subsidiary of Unilever which is a British-Dutch multinational company. It is headquartered in Mumbai, India. Its products include foods, beverages, cleaning agents, personal care products.  @varun23oct #profitidea https://t.co/8FNPtFtqol",-1,-0.03571428571428571
27,1290334824901664768,retweet,2020-08-03 17:12:50,"Hindustan Unilever Limited is the Indian subsidiary of Unilever which is a British-Dutch multinational company. It is headquartered in Mumbai, India. Its products include foods, beverages, cleaning agents, personal care products.  @varun23oct #profitidea https://t.co/8FNPtFtqol",-1,-0.03571428571428571
28,1290327658417463296,tweet,2020-08-03 16:44:21,"Hindustan Unilever Limited is the Indian subsidiary of Unilever which is a British-Dutch multinational company. It is headquartered in Mumbai, India. Its products include foods, beverages, cleaning agents, personal care products.  @varun23oct #profitidea https://t.co/8FNPtFtqol",-1,-0.03571428571428571
29,1290276728972046337,tweet,2020-08-03 13:21:59,Hindustan Unilever Ltd P/E 71.19 vs Unilever NV 22.32 https://t.co/gtEuwAa403,0,0.0
30,1290272415382028288,tweet,2020-08-03 13:04:50,"Andhra Pradesh Govt has signed a MoU with Hindustan Unilever, ITC, Procter &amp; Gamble, under the government scheme YSR Cheyutha. The scheme will help women in the state in getting more employment opportunities that would provide a steady income. https://t.co/Leh0ukLMZ2",1,0.3333333333333333
31,1290266200769888258,tweet,2020-08-03 12:40:08,"Taking crucial steps towards women's self empowerment .. Awareness Aggrement with famous companies hindustan unilever,OTC, Proctor and Gambli companies. #ys jagan mohan reddy. #YSJaganCares https://t.co/WJnLC4eru2",1,0.25
