,ID,Status,Created At,Text,Polarity,Polarity Strength
950,1291018407824039937,retweet,2020-08-05 14:29:09,"BIDEN: ""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" https://t.co/f6UMPJq381",0,0.0
948,1291018404913197062,retweet,2020-08-05 14:29:08,"BIDEN: ""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" https://t.co/f6UMPJq381",0,0.0
949,1291018405194002433,retweet,2020-08-05 14:29:08,"BIDEN: ""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" https://t.co/f6UMPJq381",0,0.0
947,1291018399074590720,retweet,2020-08-05 14:29:06,"I have thousands of moots but no one interact with me 🤡   C'mon, don't be shy interact with me! huhu i swear i don't bite-",-1,-0.625
946,1291018396914659329,retweet,2020-08-05 14:29:06,"BIDEN: ""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" https://t.co/f6UMPJq381",0,0.0
945,1291018396662812672,retweet,2020-08-05 14:29:06,"BIDEN: ""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" https://t.co/f6UMPJq381",0,0.0
944,1291018396386177033,retweet,2020-08-05 14:29:06,"BIDEN: ""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" https://t.co/f6UMPJq381",0,0.0
943,1291018393135591428,retweet,2020-08-05 14:29:05,"Congratulations to @CoriBush for her stunning primary victory over the Clay dynasty. I can’t wait for her victory in November and then…on to Congress. With @JamaalBowman, Cori and more, the  progressive bloc in Congress is growing stronger. Yeah!!!",1,0.6255208333333333
942,1291018387922071553,retweet,2020-08-05 14:29:04,"BIDEN: ""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" https://t.co/f6UMPJq381",0,0.0
941,1291018386059583490,retweet,2020-08-05 14:29:03,"BIDEN: ""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" https://t.co/f6UMPJq381",0,0.0
940,1291018383241216005,retweet,2020-08-05 14:29:03,"BIDEN: ""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" https://t.co/f6UMPJq381",0,0.0
939,1291018381789933575,retweet,2020-08-05 14:29:02,"BIDEN: ""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" https://t.co/f6UMPJq381",0,0.0
938,1291018379214704640,retweet,2020-08-05 14:29:02,"BIDEN: ""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" https://t.co/f6UMPJq381",0,0.0
936,1291018375699795974,tweet,2020-08-05 14:29:01,"@Ndarcy1D @MinisterFL1NT @TheRealDamnAlex @Cookie_BigRick If you look closely ...No...CLOSER !!! You would see Bob here who you so kindly blocked, B/c you know, you probably called him a racist Nazi bigot like y'all do, Deleted his tweet and I ss it and reposted so YT didn't come up !!! Look closer !!!",1,1.0
937,1291018376257638400,retweet,2020-08-05 14:29:01,"BIDEN: ""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" https://t.co/f6UMPJq381",0,0.0
935,1291018368238198786,retweet,2020-08-05 14:28:59,"BIDEN: ""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" https://t.co/f6UMPJq381",0,0.0
934,1291018362768592896,retweet,2020-08-05 14:28:58,"BX: I’m wearing beads rings that Seunghun made for me! He made the middle one during the Vlive and Seunghun actually made other beads rings for my pinky fingers, but it didn’t match so I was like “Make it by today :c” I stole this one actually 😂  #CIX #병곤 #승훈 https://t.co/oclIXWdwVA",-1,-0.175
933,1291018354992521217,retweet,2020-08-05 14:28:56,"BIDEN: ""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" https://t.co/f6UMPJq381",0,0.0
932,1291018345421185024,tweet,2020-08-05 14:28:54,"@GeneralDilley From ""I have taken cognitive tests all the time"" to ""Hey wassup, black man, are you doing the marijuana, cuz I ain't taken no cognitive test. C'mon, man.""",-1,-0.16666666666666666
931,1291018340157267968,retweet,2020-08-05 14:28:52,"BIDEN: ""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" https://t.co/f6UMPJq381",0,0.0
930,1291018336965361666,retweet,2020-08-05 14:28:52,"BIDEN: ""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" https://t.co/f6UMPJq381",0,0.0
929,1291018336201920516,retweet,2020-08-05 14:28:51,"BIDEN: ""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" https://t.co/f6UMPJq381",0,0.0
928,1291018322788548609,tweet,2020-08-05 14:28:48,"""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" - Joe Biden",0,0.0
927,1291018321882763265,retweet,2020-08-05 14:28:48,"BIDEN: ""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" https://t.co/f6UMPJq381",0,0.0
926,1291018318103576576,retweet,2020-08-05 14:28:47,"He was armed with a camera.  Not a gun, or Molotov cocktail, A CAMERA!  I suppose when you have something to hide, a camera is a threat.  Journalists are targeted b/c they aren’t documenting civil unrest, but rather, police brutality.  #ONEV1 #OV1A  https://t.co/7PFMLaYJSg",0,0.0
925,1291018316757127168,tweet,2020-08-05 14:28:47,"@TrueVulgarian @CTVNews There’s a B.C. plated car parked across the street from me here in Edmonton. If I vandalize it, can I just say 🤷🏻‍♂️if they don’t like it they should go back to BC? Seems like that’s the logic spewing from hogan and apparently many bc residents on this thread.",1,0.25
924,1291018315616391169,retweet,2020-08-05 14:28:47,"BIDEN: ""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" https://t.co/f6UMPJq381",0,0.0
923,1291018311828996096,retweet,2020-08-05 14:28:46,"@A_B_A_C_U_S a lot of the bs behind the scenes getting brought to light now.  Jag going hard for Malik too.  I'm glad.   When I heard her stories on Talib, disgusting...how nobody didn't shoot him",1,0.05208333333333333
921,1291018290366566400,retweet,2020-08-05 14:28:41,"BIDEN: ""No, I haven't taken a test. Why the hell would I take a test? C'mon man. That's like saying you, before you got in this program, if you take a test where you're taking cocaine or not, what do you think huh? Are you a junkie?"" https://t.co/f6UMPJq381",0,0.0
