,ID,Status,Created At,Text,Polarity,Polarity Strength
2,1291078973980471296,tweet,2020-08-05 18:29:49,Waiting for #sbi &amp; #ITC to shoot up 😶#sharemarket https://t.co/iBaFE8awA8,0,0.0
1,1291078566185140224,retweet,2020-08-05 18:28:11,"Hey ""Message Students Who..."" fans! Have you noticed when you select ""..Haven't Been Graded,"" students who ""Haven't Submitted yet"" are included also? Want to fix that? Vote here:  https://t.co/yXDNr214Yl (Click Login to be able to Vote) Thanks! @CanvasLMS @itc #APSCanvasTip",1,0.375
0,1291078437067776001,retweet,2020-08-05 18:27:41,"W/KRG Regional Minister for Ethnic Groups and Member of Executive Board of ITC Aydın Maruf, discussed recent developments in #Iraq, our relations with KRG and the current situation of the Turkmens. Will always stand by our Turkmen brothers&amp;sisters. https://t.co/2Z2h7O3x81",0,0.0
3,1291077945818337283,tweet,2020-08-05 18:25:44,@BigNastyWeather Related: this is a picture at my kid's school I took while working ITC https://t.co/gapJrk9o6L,0,0.0
4,1291077937450684417,retweet,2020-08-05 18:25:42,"ITC FMCG BUSINESS  Annual Consumer spend of over  Rs 19,700 crores in aggregate  CONSUMER SPENDS ⚡Aashirvaad Nearly 6000 CR ⚡Sunfeast Over 4000 CR ⚡Bingo Nearly 2700 CR ⚡Classmate nearly 1400 CR ⚡Yippee Nearly 1300 CR ⚡Mangaldeep Over 800 CR ⚡Vivel 500 CR  @dmuthuk https://t.co/gwVFF87W14",1,0.1
5,1291077839660482562,tweet,2020-08-05 18:25:18,InsureTech Connect is excited to announce REGISTRATION for ITC Global is now OPEN! This is the #insurance industry's premier digital event - don't miss out! #insurtech  https://t.co/tD0HLSWGFP https://t.co/2gWbIyQjpk,1,0.09375
6,1291077582612393984,tweet,2020-08-05 18:24:17,@Girib4u @dmuthuk I have faith in ITC too but this is emotional investing at its best.,1,0.5
7,1291076181626728448,tweet,2020-08-05 18:18:43,@dmuthuk  Sir  If I may ask pls since when are you buying ITC ?  Do you buy every month as SIP or wait for corrections to add bulk   I want to start SIP every month for my daughter and Son on your footsteps   Couldn't do for self but with your guidance can surely do for my kids,1,0.5
8,1291075473980743680,tweet,2020-08-05 18:15:54,ion gotta fuck off with these hoes.,-1,-0.4
9,1291074302654251011,tweet,2020-08-05 18:11:15,@DerrickBerthel1 Actually @DerrickBerthel1 if you're interested in a bit more info we did a longer analysis of UK-Japan FTA at the last ITC select committee.   https://t.co/bZN2DLjj0Y,1,0.1875
