,ID,Status,Created At,Text,Polarity,Polarity Strength
1,1291078997485522945,tweet,2020-08-05 18:29:54,"@AmitGanar @askGST_GoI @gstindia  Dear sir, we regret the inconvenience caused to you. Requesting you to kindly raise a ticket at https://t.co/bsmw3Ux5rF our team will look into the same.",1,0.3
0,1291078800109838336,retweet,2020-08-05 18:29:07,@Infosys_GSTN @ranga_basant @nsitharaman @askGST_GoI @GST_Council Kindly clarify that it will be resolved or in this type of case we hve to pay the late fees as per old pattern,1,0.13333333333333333
2,1291078476330610688,tweet,2020-08-05 18:27:50,"@sumandmanna @gstindia @GST_Council @askGST_GoI  Dear Sir, Please write to us on https://t.co/iKIjuNu0S8 our team will look into it.",0,0.0
3,1291077796626706432,retweet,2020-08-05 18:25:08,@AmolingleCA @manishgadia_gst @Infosys_GSTN @GSTN_IT @GST_Council Let recipient claim credit based on invoice they have. There will be difference in their 3BVs2A &amp; they will receive notice for that. Later everything will be manually settled by AO like in case of VAT. As on date there is no solution for that. You prefer to pay via DRC03 than 3B,0,0.0
4,1291077641181605889,retweet,2020-08-05 18:24:31,If due to mistake some invoices missed to upload in GSTR1&amp;3B for 18-19 but now while completing GST audit we are ready to pay GST still unable to upload or pass portal credit to recipient. Any Solutions @dineshwadera @manishgadia_gst @Infosys_GSTN @GSTN_IT @GST_Council,-1,-0.14166666666666666
5,1291076649337774080,retweet,2020-08-05 18:20:34,The Great Place to Work® certification recognizes Infosys' commitment to developing a high-trust company culture through excellent employment practices https://t.co/XUutha77jY,1,0.9
6,1291076525505122304,tweet,2020-08-05 18:20:05,@Infosys_GSTN @nsitharaman @PMOIndia @gstindia @cbic_india @PiyushGoyal @ianuragthakur @TaxDhan @gsthelpline #GSTTech Can you please share the link as I am not able to find that circular right now!,1,0.05357142857142855
7,1291075613579608064,tweet,2020-08-05 18:16:27,@NeeleshTax @FinMinIndia @cbic_india @narendramodi @GST_Council @nsitharaman @ianuragthakur @SushilModi @PMOIndia @Infosys_GSTN @cgstbhopalzone @JagdishDevdaBJP @commercial_mp @mpfinancedep Sir late fees ki b relaxation deni chahie for gstr4 from the starting of gst era,-1,-0.15
8,1291074975261171712,retweet,2020-08-05 18:13:55,@ExcludedUK @AnnelieseDodds No surprise here.  I wouldn't be surprised if @RishiSunak's father-in-law's company @Infosys got some of the cash.  Surely worth looking into @bbclaurak @PrivateEyeNews @DailyMirror @BBCNews @SkyNews @Telegraph @thetimes,1,0.2
9,1291074651456585729,tweet,2020-08-05 18:12:38,"@Infosys_GSTN @SACHIN_SATNA @Infosys @_DigitalIndia @FinMinIndia @GST_Council Sir, kindly clarify whether it is a technical glitch or you are erasing old data.  We have to plan our data backup schedule.  Pls 🙏",1,0.2333333333333333
10,1291074389694386178,retweet,2020-08-05 18:11:36,"GovHack is very excited to announce @InfosysAusNZ as our lead Sponsor for 2020!  Infosys has put up great challenges in past competitions, so we’re looking forward to seeing what they come up with this year! https://t.co/mYnqZi7uJM",1,0.365625
11,1291073812465881090,retweet,2020-08-05 18:09:18,@ExcludedUK @AnnelieseDodds No surprise here.  I wouldn't be surprised if @RishiSunak's father-in-law's company @Infosys got some of the cash.  Surely worth looking into @bbclaurak @PrivateEyeNews @DailyMirror @BBCNews @SkyNews @Telegraph @thetimes,1,0.2
12,1291073753024204803,tweet,2020-08-05 18:09:04,@rgilbert59 @DavidDavisMP Just hostile enough for Infosys to benefit a little more and the gov not to give 2 shits about the imminent brain drain. Not that we can work in Europe anymore. Stitched up like a kipper.,1,0.10416666666666667
13,1291072375073644545,tweet,2020-08-05 18:03:35,#INFY #infyadr current wave near accomplishment? if breaks $12.46(Rs933)  may fall further . probable #intradaytrading  wave count  #dowfutures #Trades  #NSE   #Nifty #sgxnifty  #stock #US30 #NIFTYFUTURE #dji  #DJIA #SPX500c  #banknifty  #NASDAQ #NSEUpdates  #spy #DJIA #Infosys https://t.co/SIVdpOBU68,1,0.03333333333333333
14,1291072115483881472,tweet,2020-08-05 18:02:33,"@Infosys_GSTN @nsitharamanoffc @cbic_india Our query is regarding application for Refund. To apply under any new category, one has to file NIL applications starting from July, 2017. And now, portal has deactivated July, 2017 option which doesn’t allow us to apply refund for new category. Please solve the same.",1,0.06818181818181818
15,1291071482320191489,retweet,2020-08-05 18:00:02,Congratulations M/s.Infosys Ltd-unit 2 #Chennai! for renewal of license!    #GrowWithSTPI #DigitalIndia #STPIINDIA #STPICHENNAI @MakeInIndia @rsprasad @SanjayDhotreMP @GoI_MeitY @SecretaryMEITY @Omkar_Raii https://t.co/MDYuEdcPZg,0,0.0
16,1291071313826775046,tweet,2020-08-05 17:59:22,"@centineladvisor @nsitharamanoffc @cbic_india  Dear Sir, the team is working to restore the facility to file and view GSTR-3B and GSTR-1 return for July, 2017. We expect it to be available shortly.",1,0.2
17,1291071277969670150,retweet,2020-08-05 17:59:14,@ExcludedUK @AnnelieseDodds No surprise here.  I wouldn't be surprised if @RishiSunak's father-in-law's company @Infosys got some of the cash.  Surely worth looking into @bbclaurak @PrivateEyeNews @DailyMirror @BBCNews @SkyNews @Telegraph @thetimes,1,0.2
18,1291070821256122369,tweet,2020-08-05 17:57:25,"@taxmnp @cbic_india @GST_Council  Dear Sir, thanks for your policy suggestion. GSTN has forwarded it to the GST council consisting of representatives of Central and State Governments.",1,0.1
19,1291070691580751880,tweet,2020-08-05 17:56:54,"@SACHIN_SATNA @Infosys @_DigitalIndia @FinMinIndia @GST_Council  Dear Sir, the team is working to restore the facility to file and view GSTR-3B and GSTR-1 return for July, 2017. We expect it to be available shortly.",1,0.2
20,1291070596395089920,retweet,2020-08-05 17:56:31,"ITC benefit is not available to composition dealers then Details for Inward Supply in GSTR-4 should better make optional or on auto-populated basis. So that, It will become easy to file GSTR-4.@SKHalakhandi @nsitharaman @cbic_india @askGST_GoI @GST_Council @Infosys_GSTN @JainTax",1,0.2444444444444445
