,ID,Status,Created At,Text,Polarity,Polarity Strength
4,1291075324235722760,tweet,2020-08-05 18:15:18,Thank you so much. Point noted. Actually finance holdings are very old Bajaj finserv &amp; CUB from 2011. kotak Mahindra (from Erstwhile ING Vyasya bank).Bajaj holdings 3-4 yrs. So they have just grown up. I actually don't trim Winners rather increase allocation in others to manage. https://t.co/C8ltZowLRu,1,0.066
3,1291059699811418112,tweet,2020-08-05 17:13:13,titioner   NAME - Manas chandra  Saving bank account Kotak mahindra bank Acc no. - 7913577360 IFSC - KKBK0005190  9523260302 ( Amrit raj) Gpay/phonepe,0,0.0
2,1291051322607677441,tweet,2020-08-05 16:39:56,"@Taher_Ujj Hi! This is official communication sent from Kotak Mahindra Bank to keep you aware of fake messages. Stay safe, Stay healthy. ^Team Kotak",1,0.1875
1,1291041796085002240,tweet,2020-08-05 16:02:05,Respected sir this number is from Bengal. He Is show his id Kotak mahindra bank credit card provider. And send manages To customer to Start Sceen recording. pls Take some ection. @CP_SuratCity @dgpgujarat https://t.co/aUiGR7YaRx,0,0.0
0,1291020495702261761,tweet,2020-08-05 14:37:26,@nitin_gadkari Sir @nsitharaman Madam Unable to get ECGLS Loan from our Bankers KOTAK MAHINDRA BANK due to wrongful generation of CG PAN NO 20200613846EG by STANDARD CHARTERED BANK without our  Application &amp; Knowledge; Learnt SCB has got CG PAN for all their Borrowers similarly;,-1,-0.15625
5,1291011967210016770,retweet,2020-08-05 14:03:33,Thanks to Kotak Mahindra bank for providing 60 umbrellas to Ahmedabad city traffic police.earlier also u had provided 200 pp kits. Thanks for the gesture. https://t.co/mfAjzX9tSc,1,0.2
6,1291005189508358145,tweet,2020-08-05 13:36:37,"@penchala53 Hi! This is not official communication sent from Kotak Mahindra Bank. Please be aware of such fake messages. Thanks for highlighting this to us. Stay safe, Stay healthy. ^Team Kotak",1,0.15833333333333333
7,1290988705528737792,tweet,2020-08-05 12:31:07,"@itsprasadhp @AnyBodyCanFly @nishkumar1977 Have sufficient mediclaim and personal accident policy. Take term insurance plan. Invest regularly in public provident fund. Do not go for credit cards. Study  stocks like Reliance,HDFC bank,Kotak Mahindra Bank,Asian Paints,Pidilite,Titan,Bata etc.Whenever market collapse buy .",0,0.0
8,1290987091258531840,tweet,2020-08-05 12:24:42,@KotakBankLtd in this covid time ur sending legal notice.u could have given 12 months emi and close the card  Legal Notice  Dear DINESH  NARASIMHAN  You have availed a Credit Card facility vide Credit Card No. 0004166441507778783 from Kotak Mahindra Bank Limited. As per the terms and condition,1,0.10952380952380954
9,1290975205314064384,tweet,2020-08-05 11:37:28,I hv bn recvn sch texts since lst few days. Alrt abt d fraud wrk I cald d gvn no. 2 find d details. D fraudstr nmd hmslf s Amit Mishra &amp; s frm RBI gav fake ID. Wht stund me ws dat he knw dat I hv #Kotak_Mahindra_Bank A/C  @KotakBankLtd kindly make us aware of the data breach?? https://t.co/8TNbJbvXuP,1,0.037500000000000006
10,1290950720426934272,tweet,2020-08-05 10:00:11,"@dineshohal Hi! This is not official communication sent from Kotak Mahindra Bank. Please be aware of such fake callers/messages. Thanks for highlighting this to us. Stay safe, Stay healthy. ^Team Kotak   https://t.co/yDxTjCcAOq",1,0.15833333333333333
11,1290938240912900096,tweet,2020-08-05 09:10:35,"@cakhlesh Hi Akhilesh! This is not official communication sent from Kotak Mahindra Bank. Please be aware of such fake callers/messages. Thanks for highlighting this to us. Stay safe, Stay healthy. ^Team Kotak",1,0.15833333333333333
12,1290937241347317760,retweet,2020-08-05 09:06:37,"Kotak Mahindra Bank is not offering any moratorium on my credit card dues, why? Anything I can do on this??",0,0.0
13,1290935150587424768,tweet,2020-08-05 08:58:18,"@KotakBankLtd Dear kotak Mahindra Bank, I have facing An Unexpected Issue, You Can Fix??",1,0.1
14,1290934278298013696,tweet,2020-08-05 08:54:51,"Kotak Mahindra Bank is not offering any moratorium on my credit card dues, why? Anything I can do on this??",0,0.0
15,1290934203463249920,tweet,2020-08-05 08:54:33,"#HDFCltd Rs 14000 cr QIP launching today..sixth corporate to raise fund during this pandemic,  will join the likes of Kotak Mahindra Bank, JM Financial, PI Industries Axis, Bank and Info Edge. No dearth of fund for Good companies. #stockstowatch  https://t.co/BVzw3AOPct",1,0.2333333333333333
16,1290933775702953984,tweet,2020-08-05 08:52:51,"It is so disgusting to maintain an account with Kotak Mahindra Bank, first there happens a fraud from account, then there happens a reversal towards credit card, then when you transfer funds to your Kotak account from another account the fund gets stuck!!! #KOTAKBANK #RBI",-1,-0.255859375
17,1290933248726462466,retweet,2020-08-05 08:50:45,"@KotakCares @AkshayBalkrish2 Same happened with my case,I being Mahindra group employee,had a trust on kotak that kotak serves best in service to india when compared to other bank during this covid condition, but never thought that kotak is also looks for target based revenue generation, lost trust on kotak",1,0.2916666666666667
18,1290902284637880320,tweet,2020-08-05 06:47:43,"@udaykotak  Hello Sir  I am Ranjit Gautam taking PL form kotak Mahindra Bank and same will forclose on 4th September 2018, but still I am getting EMI pending mail msg same thing discuss with Mr.Sumit Jain and Faisal (KAM) but not getting any response, it's very pathetic service.",-1,-0.3333333333333333
19,1290896852951248896,tweet,2020-08-05 06:26:08,@RBI @DasShaktikanta @FinMinIndia @nsitharaman please help kotak mahindra bank has rejected my loan moratorium request which I raised on 7th July and today I recieved rejection email. Reference number is Ref#1-15095119554. @udaykotak @KotakBankLtd,0,0.0
20,1290893389861330945,tweet,2020-08-05 06:12:22,@AkshayBalkrish2 @udaykotak @KotakCares @RBI Unfortunately Kotak is not a bank. They are a bunch of thugs who are a disgrace to the Mahindra group. They are doing the same to people even after being informed that those people have medical exigencies. I know of people who are on verge of .....  @anandmahindra,-1,-0.16666666666666666
21,1290889988750684160,tweet,2020-08-05 05:58:51,@KotakBankLtd @udaykotak New timings for KOTAK MAHINDRA BANK Santacruz West Branch @ linking Rd is 10.00 Am &amp; Not 9:30 Am. 😡😡😡 https://t.co/LTDUQZlVuc,1,0.13636363636363635
22,1290885837492609024,tweet,2020-08-05 05:42:21,Long-term wealth creation picks from @GeojitFinancial  Kotak Mahindra Bank &amp; Coromandel,0,0.0
23,1290878513868726272,tweet,2020-08-05 05:13:15,@ZeeBusiness sir kotak mahindra bank buy kare buy price 1346-1355 duration 4-5 days Target 1 (1400) Target 2 (1425) SIR pls buy the trade in holding,0,0.0
24,1290876844468842496,tweet,2020-08-05 05:06:37,"@KotakCares @AkshayBalkrish2 Same happened with my case,I being Mahindra group employee,had a trust on kotak that kotak serves best in service to india when compared to other bank during this covid condition, but never thought that kotak is also looks for target based revenue generation, lost trust on kotak",1,0.2916666666666667
25,1290865316294057986,retweet,2020-08-05 04:20:49,"@KotakBankLtd  @RBI  Dear kotak Mahindra prime even I have requested for moratorium for June to Aug-20, but after mail and registration from web site My emi has need deducted for June and July. It is very disappointed that bank is not respecting their customer.Please see the mail https://t.co/aWm8YoruYs",-1,-0.975
26,1290856046081142784,retweet,2020-08-05 03:43:58,"We interviewed leaders of some of the best enterprises in the country, including Falabella India, PayPal India, Kotak Mahindra Bank, Aditya Birla Group, VMware, Synopsys, RR Donnelley, and UNQBE.   1/3 @bhavkuka @deepakmsharma1  #RemoteWork #Ebook #bestpractices https://t.co/uvZgfEfHzZ",1,1.0
27,1290825680674947072,tweet,2020-08-05 01:43:19,his working at kotak mahindra bank at somajiguda and back to home narapally.this is happening accedent at CPRI medipally near nandanavanam.we given complaint on same day night at medipally Police station for investigate the same.they send body at Osmania martury for do the postma,-1,-0.05
28,1290807236483219457,tweet,2020-08-05 00:30:01,"Kotak Mahindra Bank raided by IT department, bank denies fake accounts https://t.co/MzwKtjIU88",-1,-0.5
29,1290745160502894592,tweet,2020-08-04 20:23:21,Kotak Mahindra Bank Ltd. AND THE SEQUENCE OF STUPIDITY CONTINUES (CHECK ATTACHED SCREENSHOTS OF SMS STILL BEING SENT TO ME BY YOUR SWINDLING ASSES) https://t.co/rm8h3rdMj1 https://t.co/bZ9gSKBpdq,-1,-0.6
30,1290730561686790145,tweet,2020-08-04 19:25:21,"@SonuSood hai sir. my name is uday kumar. I want money 32 lakhs. middle class family. just I need  your help 4 months. for narrow  issues of won problem. i will give back November2020. my account number is 5213499221. ac. name: ch.udhay kumar, kotak mahindra bank.ifsc:KKBK0000560",-1,-0.06666666666666668
31,1290725636005171202,retweet,2020-08-04 19:05:46,Sushant Singh Rajput's Relationship Manager Of Kotak Mahindra Bank Revealed That Sushant Wanted To Close His Account And Wanted To Open New Account. #ArrestRheaChakraborty,1,0.06818181818181818
32,1290717329349677058,retweet,2020-08-04 18:32:46,Sushant Singh Rajput's Relationship Manager Of Kotak Mahindra Bank Revealed That Sushant Wanted To Close His Account And Wanted To Open New Account. #ArrestRheaChakraborty,1,0.06818181818181818
33,1290715743122624512,tweet,2020-08-04 18:26:28,Sushant Singh Rajput's Relationship Manager Of Kotak Mahindra Bank Revealed That Sushant Wanted To Close His Account And Wanted To Open New Account. #ArrestRheaChakraborty,1,0.06818181818181818
34,1290713423362195456,tweet,2020-08-04 18:17:15,@KotakCares Even after so many efforts i am still facing the same issue. You are saying mobile banking is active but i am still unable to access in my device. Useless Kotak Mahindra Bank Customer service.,-1,-0.12666666666666665
35,1290710373428060162,tweet,2020-08-04 18:05:07,Shame on you kotak mahindra bank you guys definitely suffer in future still charging bounce and late payment fee hardly dues on bal no support to senior citizen in this country what does moratorium means pls explain @KotakBankLtd @FinMinIndia @RBI @PMOIndia @KotakCares @udaykotak https://t.co/GSILY9lKOH,-1,-0.14791666666666667
36,1290710237855363072,tweet,2020-08-04 18:04:35,"@shuklaji_ji @Real_rafel20 All statement has given by sushant father and according to kotak mahindra bank account statement of sushant and much evidence that show by media, but all matters of this case mumbai police wants to save",1,0.2
37,1290701077432512512,retweet,2020-08-04 17:28:11,"Info Edge launches Rs 1,875 crore QIP to build COVID M&amp;A war chest With this launch , Info Edge becomes the fifth corporate to launch a QIP during the lockdown period, joining the likes of Kotak Mahindra Bank, JM Financial, PI Industries and Axis Bank.  https://t.co/03tARwymYl",0,0.0
38,1290689396660813826,tweet,2020-08-04 16:41:46,@KotakBankLtd  Directly Debiting from Sb Ac. Aginst Non Existed Credit Card. This is the Inhumanity of the Kotak Mahindra Bank who means only Money at any cost &amp; any how even in this Pandemic when Moratorium is likely to be extended. Above all no Response. No Customer Care.,1,0.025
39,1290689205610278912,retweet,2020-08-04 16:41:01,Market Share in Spend through Credit Card in the month of May'20.  👉HDFC Bank 31.08% 👉SBI Card 19.60% 👉ICICI Bank 13.19% 👉Axis Bank 7.92% 👉CITI Bank 6.58% 👉RBL Bank 4.92% 👉Indusind Bank 3.18% 👉Kotak Mahindra Bank 2.96%,0,0.0
40,1290686064873467904,tweet,2020-08-04 16:28:32,"Info Edge launches Rs 1,875 crore QIP to build COVID M&amp;A war chest With this launch , Info Edge becomes the fifth corporate to launch a QIP during the lockdown period, joining the likes of Kotak Mahindra Bank, JM Financial, PI Industries and Axis Bank.  https://t.co/03tARwymYl",0,0.0
41,1290685189870370816,tweet,2020-08-04 16:25:03,Kotak Mahindra Bank Limited - Analysts/Institutional Investor Meet/Con. Call Updates: Kotak Mahindra Bank Limited has informed the Exchange about Analysts/Institutional Investor Meet/Con. Call Updates...... https://t.co/AGGolC7A0h,-1,-0.07142857142857142
42,1290674062914498560,tweet,2020-08-04 15:40:50,#hdfcbank  #icicibank  #aubank  #sbin  #PNB  #YesBank  #KOTAKBANK  #udaykotak  #RBI  For last five days I am following to resolve my issue with kotak bank but I observed that Kotak Mahindra Bank not bothered about it's customer. I am suffering by purchasing fastag from them. https://t.co/1oxUoZWuyc,0,0.0
43,1290671514094718976,tweet,2020-08-04 15:30:43,@sudhirchaudhary  Dear Sir/Mam     This is in reference for that I didn't applied  any kind of credit card from Kotak Mahindra Bank or not received any card or any information about that card which is issue on my name .Now through that card a sum of Rs. 25000 is been purchase .,1,0.6
44,1290663975324127235,retweet,2020-08-04 15:00:45,Market Share in Spend through Credit Card in the month of May'20.  👉HDFC Bank 31.08% 👉SBI Card 19.60% 👉ICICI Bank 13.19% 👉Axis Bank 7.92% 👉CITI Bank 6.58% 👉RBL Bank 4.92% 👉Indusind Bank 3.18% 👉Kotak Mahindra Bank 2.96%,0,0.0
45,1290645105850880000,tweet,2020-08-04 13:45:46,@KotakBankLtd @udaykotak Career section of kotak mahindra bank has not been updated ever since april 2018 ... I really want to join this bank but no luck in finding any spot to hit..would you pls assist,1,0.2
46,1290644934777868288,tweet,2020-08-04 13:45:06,#KOTAKBANK #Analysts/Institutional Investor Meet/Con. Call Updates Kotak Mahindra Bank Limited has informed the Exchange about Analysts/Institutional Investor Meet/Con. https://t.co/8zLrZsANRi,-1,-0.07142857142857142
47,1290639921326284800,tweet,2020-08-04 13:25:10,"#NiftyBank - #banknifty jumps 418.40Points (1.99%) to close at 21,490.50 Top Gainers- HDFC Bank - 3.96%,RBL Bank-3.59%,AxisBank-2.83%,IDFC FirstBank- 2.68 %,ICICI Bank -2.26%,Kotak Mahindra - 1.18%,  Top Losers-Bandhan Bank - IndusindBank-2.08%,PNB - 1.22%, BankofBaroda - 0.75%",1,0.5
48,1290639047358992384,tweet,2020-08-04 13:21:42,"@dmuthuk Only select like HDFC bank, kotak mahindra and bajaj finance(NBFC). Thats why quality of management is important from shareholders perspective - No talking, but delivering.",1,0.2
49,1290632131182379013,tweet,2020-08-04 12:54:13,@KotakBankLtd @RBI @FinMinIndia @PMOIndia Kotak Mahindra Bank unable deliver moratorium request ref#1-15091452594 for the month July August 2020. Too many escalation sent but no response received. Bank trying to skip request by debited EMI. I was trying to avail since June.,0,0.0
50,1290621100313866240,tweet,2020-08-04 12:10:23,"@sahneydeepak  Good evening Sir, I have bought Kotak Mahindra Bank August call option @ 31, 25 &amp; 16.25 to average. The price went down. Pls advice Thanks in advance",1,0.14861111111111108
51,1290597413846003712,tweet,2020-08-04 10:36:16,"@KotakCares No help from your side i am still facing the same ""954"" error code. I am unable to use mobile banking even after so many efforts. Unblock my  device IMEI.  Such a worst service from Kotak Mahindra Bank. https://t.co/GSKPSWiYaE",-1,-0.2
52,1290593494487031809,retweet,2020-08-04 10:20:41,Market Share in Spend through Credit Card in the month of May'20.  👉HDFC Bank 31.08% 👉SBI Card 19.60% 👉ICICI Bank 13.19% 👉Axis Bank 7.92% 👉CITI Bank 6.58% 👉RBL Bank 4.92% 👉Indusind Bank 3.18% 👉Kotak Mahindra Bank 2.96%,0,0.0
53,1290576974679666690,tweet,2020-08-04 09:15:03,"@Gokarnesh Hi! Thanks for highlighting this to us. Please note that this SMS has NOT been sent by Kotak Mahindra Bank. DO NOT SHARE your CARD NUMBER, CVV, PIN or OTP. Beware of fake SMS, E-mails and Calls asking to redeem Reward points. ^Team Kotak",-1,-0.15
54,1290574903188418560,tweet,2020-08-04 09:06:49,"@Ravi02232690 Hi! This is not official communication sent from Kotak Mahindra Bank. Please be aware of such fake messages. Thanks for highlighting this to us. Stay safe, Stay healthy. ^Team Kotak",1,0.15833333333333333
55,1290566763910819840,tweet,2020-08-04 08:34:28,"@techlunatic Enduring volatility is key to making wealth in the market. Let me give you another example!   Kotak Mahindra Bank has given you 100X in the last 20 years but the stock fell over 80% on two occasions!   What you are doing is commendable,brother!",0,0.0
56,1290561367116677121,tweet,2020-08-04 08:13:02,"@KotakBankLtd I have submitted application for closure of my Saving account on 20th july'2020 in kotak mahindra bank, NSC BOSE ROAD BRANCH, KOLKATA-700040. Till now I have not received any update on this. Can any body update.",0,0.0
57,1290560461369475072,tweet,2020-08-04 08:09:26,"Sensex, Nifty extend losing streak to four days; RIL, HDFC Bank, Kotak Mahindra Bank drag indices down @rohitsingre @FinancialXpress   https://t.co/wCTlzpv5SG",-1,-0.1277777777777778
