,ID,Status,Created At,Text,Polarity,Polarity Strength
143,1291081889504284673,tweet,2020-08-05 18:41:24,@SaSyBanan @thethirteenthf god i love them SO MUCH. i know its common to hate Fujiko but i love her and Lupin together so much They understand one another really well,1,0.07142857142857142
142,1291081807799017473,retweet,2020-08-05 18:41:04,More Sophie ✨ I'm beyond grateful for all the support you guys give me! https://t.co/V6LONwWKVV,1,0.625
141,1291081766061539328,tweet,2020-08-05 18:40:54,"@tochyaan @oscarnutsaac but green lupin is smarter cuz he can green screen his jacket and become something else, it’s part of his thing in being thieves (probably not",-1,-0.2
140,1291081757467394050,retweet,2020-08-05 18:40:52,"jigen: chanel, ysl, givenchy, saint laurent, occasionally prada etc. fujiko: versace, chanel, celine, depends on the mood she's feeling, could be old Hollywood could be bodycon femme fatale? agent provacateur goemon: all clothes handmade by his custom tailor... lupin: no taste",1,0.05
139,1291081565989027840,tweet,2020-08-05 18:40:07,@oscarnutsaac lupin: supreme 😔,0,0.0
138,1291081491385114624,retweet,2020-08-05 18:39:49,"jigen: chanel, ysl, givenchy, saint laurent, occasionally prada etc. fujiko: versace, chanel, celine, depends on the mood she's feeling, could be old Hollywood could be bodycon femme fatale? agent provacateur goemon: all clothes handmade by his custom tailor... lupin: no taste",1,0.05
137,1291081406454538246,tweet,2020-08-05 18:39:29,"it isnt that noticeable at first, but when you compare the two pictures, lupin’s smile is wider with the five of them all together.",1,0.275
136,1291081223125774336,retweet,2020-08-05 18:38:45,"Isla and I have been collecting seeds from the garden. So much fun. We collected poppy, aquilegia and lupin. #gardening #seeds #familytime #family https://t.co/dVVqmhyWBq",1,0.3
135,1291081198794682368,retweet,2020-08-05 18:38:39,Cosplayed Koike Lupin casually for ACG last weekend https://t.co/w1vm0QrlIA,-1,-0.25000000000000006
134,1291081133514317824,tweet,2020-08-05 18:38:24,i imagine it would be quite large and put in a very expensive and ornate frame and hung in the lupin family estate. i just love the thought of III’s legacy being shared with the three other famous thieves. just looks so epic in my head idk,1,0.08988095238095238
133,1291080946154795009,tweet,2020-08-05 18:37:39,@wizardfes 1. Mcgonaggal  2. Umbridge 3. Prof Trelawney 4. Hagrid 5. Lupin 6. Mad eye 7. Snape 8. Lockhart 9. Madam Sprout atau Nevile Longbottom 10. Harry Potter,-1,-0.625
132,1291080862306643968,tweet,2020-08-05 18:37:19,"@dahliathenurd thank you so much!!! 🥰💝 exaggeration + vitality is so important for my lupin stuff, i wanna take it even further",1,0.2635416666666667
131,1291080798305570816,tweet,2020-08-05 18:37:04,"jigen: chanel, ysl, givenchy, saint laurent, occasionally prada etc. fujiko: versace, chanel, celine, depends on the mood she's feeling, could be old Hollywood could be bodycon femme fatale? agent provacateur goemon: all clothes handmade by his custom tailor... lupin: no taste",1,0.05
130,1291080710116249603,retweet,2020-08-05 18:36:43,LUPIN (son) &amp; ROCKET (mum) #lost on #BerkshireGolfCourse 16/7/18 between #Ascot &amp; #Bracknell WERE THEY TAKEN or was it by chance #Theftbyfinding 2 black #cockers #SpanielHour 🖊    Petition: Make pet theft crime a specific offence with custodial sentences. https://t.co/bdr887RhPZ https://t.co/L7MYSU7yXQ,-1,-0.08333333333333333
