,ID,Status,Created At,Text,Polarity,Polarity Strength
56,1291081899645886464,retweet,2020-08-05 18:41:26,"The wait is over. This Independence Day, witness the Thar being born again in an all-new avatar! Save the date: 15th August 2020. Watch the teaser now! https://t.co/D1Imzbae1K   #AllNewThar #BornAgain https://t.co/vSXlm9VmHK",0,0.0
55,1291081109011193856,tweet,2020-08-05 18:38:18,@anandmahindra @anandmahindra It's High time Mahindra provides these +n attachments with Tractors. Every tractor should be a MUV in true sense. Else a Farmer can never recover a cost of a Tractor from Farming only. TRACTOR BEYOND FARMING.,1,0.17
54,1291080778961399808,tweet,2020-08-05 18:36:59,"@ghaziabad_union Well, actuallu it's about 2nd March 2020. I went for annaul car service and I just parked my car inside the Shiva mahindra sahibabad. Then basic inspection has been form one of mahindra exe.then after I went for documentation and 15 min later my car got fire. https://t.co/zJPC5GEqWM",0,0.0
53,1291080749102186496,tweet,2020-08-05 18:36:52,@Mahindra_Thar So excited! I’ve been waiting for it for long! Gotta get this beast baby! 🤩,1,0.1953125
52,1291080700318216192,retweet,2020-08-05 18:36:40,Chairman of the @ECSriLanka Mahindra Deshapriya announced that the General Election 2020 is his last election as the EC Chairman.  #lka #SriLanka https://t.co/CuYNNXy975,1,0.02500000000000001
51,1291080653409095681,retweet,2020-08-05 18:36:29,"The wait is over. This Independence Day, witness the Thar being born again in an all-new avatar! Save the date: 15th August 2020. Watch the teaser now! https://t.co/D1Imzbae1K   #AllNewThar #BornAgain https://t.co/vSXlm9VmHK",0,0.0
50,1291080418402242560,tweet,2020-08-05 18:35:33,Hi I want to share a incident  At BHEL junction Hyderabad ... it was an Hit And Run case Due to rainy weather I was going slow and all of sudden a 4 wheeler mahindra vehicle hit me from behind and run away..  I was able to chase them.. i stopped them asking,-1,-0.06500000000000002
49,1291080132669521920,tweet,2020-08-05 18:34:25,@anandmahindra Mahindra #Scorpio is a good product of your company. I like it. And wish to buy it next years.,1,0.35
48,1291079898602250240,tweet,2020-08-05 18:33:29,"@anandmahindra @anandmahindra It's a pneumatic Vacuum  system, The air intake of engine is modulated from the Milk Can and In turn the Milking of Cows. No Jugaad. It's simplified Physics or MUV Mahindra Tractor. We must make these accessories so that Farmer can make the most out of a Tractor.",1,0.24583333333333332
47,1291079662953627648,tweet,2020-08-05 18:32:33,@Mahindra_Thar Yeh off road king come 2020 15 august jai hind jai bharat 😍😍😍,0,0.0
46,1291079156747264000,retweet,2020-08-05 18:30:32,"The wait is over. This Independence Day, witness the Thar being born again in an all-new avatar! Save the date: 15th August 2020. Watch the teaser now! https://t.co/D1Imzbae1K   #AllNewThar #BornAgain https://t.co/vSXlm9VmHK",0,0.0
45,1291079057744859136,retweet,2020-08-05 18:30:09,"The wait is over. This Independence Day, witness the Thar being born again in an all-new avatar! Save the date: 15th August 2020. Watch the teaser now! https://t.co/D1Imzbae1K   #AllNewThar #BornAgain https://t.co/vSXlm9VmHK",0,0.0
