,ID,Status,Created At,Text,Polarity,Polarity Strength
509,1291050276862824448,tweet,2020-08-05 16:35:47,The new #MarutiSuzuki #Scross petrol has been launched. Gets a wide Rs 4 lakh price range. Details in the link https://t.co/rD0OQjugxP,1,0.018181818181818174
508,1291030462220165122,tweet,2020-08-05 15:17:03,High taxes issue for aspiring car owners: Maruti https://t.co/5AyBh9es7L,1,0.16
507,1291014868045189120,retweet,2020-08-05 14:15:05,"After a very discouraging first quarter (Q1FY21),Indian automakers have recorded a major revival in their July sales numbers.India’s largest carmaker Maruti Suzuki India recorded total sales of 108,064 units during the month-a growth of 88.2 per cent over June 2020 @nsitharaman",1,0.128125
506,1291013223110438913,tweet,2020-08-05 14:08:32,https://t.co/dzCR6sjWZ3 #MarutiSuzuki #SCrosspetrol with 1.5L K15B engine at Rs 8.39 lakh onward #SIAMindia #ACMAIndia #FADAIndia #MarutiSuzukiSCross @Maruti_Corp @NexaExperience @siamindia @ACMAIndia @FADA_India @PTharyan @CVRAMAN61 https://t.co/lTgDAYgAp3,0,0.0
505,1291004159496351744,retweet,2020-08-05 13:32:31,The share of diesel vehicles in India expected to drop by 50 per cent as compared to BS4 era  #MarutiSuzuki #Dieselcars #MarutiSuzukidiesel #BS6emission   https://t.co/dvM4v8hkWz,-1,-0.1
504,1290997200500137991,tweet,2020-08-05 13:04:52,The share of diesel vehicles in India expected to drop by 50 per cent as compared to BS4 era  #MarutiSuzuki #Dieselcars #MarutiSuzukidiesel #BS6emission   https://t.co/dvM4v8hkWz,-1,-0.1
503,1290995638348308481,retweet,2020-08-05 12:58:40,"Maruti Suzuki S-Cross Petrol launched in India: Check out price, features, variants of SUV  https://t.co/HTjZVrSmiu",0,0.0
502,1290989387505790976,retweet,2020-08-05 12:33:50,The @Toyota_India Urban Cruiser will be a badge-engineered iteration of the Maruti Suzuki Vitara Brezza.   https://t.co/R6rjT5DEuK,0,0.0
501,1290988430277726208,tweet,2020-08-05 12:30:01,The @Toyota_India Urban Cruiser will be a badge-engineered iteration of the Maruti Suzuki Vitara Brezza.   https://t.co/R6rjT5DEuK,0,0.0
500,1290985574577274880,tweet,2020-08-05 12:18:40,@hormazdsorabjee @SergiusBarretto @ShapurK  What do you think about dropping the Maruti name badge from Maruti Suzuki and just calling the company “Suzuki” in India ? @Maruti_Corp,0,0.0
499,1290983628290195458,tweet,2020-08-05 12:10:56,"#Maruti Suzuki S-Cross Petrol launched in India: Check out price, features, variants of SUV  https://t.co/27BhgNvO5h",0,0.0
498,1290981312354906112,retweet,2020-08-05 12:01:44,"Bhargava said even prior to the road tax increase in FY20, the #tax on #cars in India was far higher than in any other car manufacturing country.   @Maruti_Corp https://t.co/sDBh7W4tJO",1,0.056249999999999994
497,1290979403128659968,tweet,2020-08-05 11:54:09,@Maruti_Corp S-Cross Petrol Launched At INR 8.39 lakh. What is new in the new S-Cross?  Check out: https://t.co/OikeMWoCE9 https://t.co/hxbWWk8bRh,1,0.13636363636363635
496,1290977552949886976,tweet,2020-08-05 11:46:48,"Who sell the most number of #cars in India? Yes. It is Maruti and it has #HDB as official partner for car loans in India. Impact it will have in HDB number in next 2-3 years. Book today. Limited stocks left.  Contact us- +91 706 55 60002,+91 706 55 60011  https://t.co/yZfsMbyvGh",1,0.10714285714285715
495,1290959702604603393,tweet,2020-08-05 10:35:52,"Maruti Suzuki S-Cross Petrol launched in India: Check out price, features, variants of SUV  https://t.co/HTjZVrSmiu",0,0.0
494,1290947520852447232,tweet,2020-08-05 09:47:28,Higher Car Taxes are Acting as Roadblocks for Aspiring Car Owners in India: Maruti Suzuki Chairman https://t.co/sjFrbGKzzh  Car is no longer a luxury for most middle class working professionals it is the only mode of transport available to reach office in a presentable shape.,1,0.19166666666666665
493,1290944956081872896,tweet,2020-08-05 09:37:16,"Maruti Suzuki India Limited today released its Annual Integrated Report for the financial year 2019-20. In addition to this, the Company has also highlighted its contribution to the various Sustainable Development Goals (SDGs). https://t.co/nKKeaRsd6X",-1,-0.023809523809523808
492,1290943581314834433,tweet,2020-08-05 09:31:49,Maruti Suzuki India Limited today announced the launch of all new S-Cross Petrol - The Refined SUV engineered with a powerful 1.5 Litre K series BS6 petrol engine. A NEXA flagship product. https://t.co/MFBkhULmTk,1,0.12164502164502163
491,1290940450971344896,retweet,2020-08-05 09:19:22,"Maruti Suzuki launches the BSVI #SCross petrol, available in manual or automatic variants. Priced between Rs 8.39 lakh to 12.39 lakh, ex-showroom.  @NexaExperience   More details here: https://t.co/BLauTVhjAh",1,0.45
490,1290932190314819585,retweet,2020-08-05 08:46:33,Maruti Suzuki India posts first quarterly loss in 15 years: @SACHINS32804618 @VickyIn7 @AutoRaja1212 https://t.co/9AFA45WcE5,1,0.25
489,1290929528395579393,tweet,2020-08-05 08:35:58,"#MarutiSuzuki India plans new products: #XL5, #Jimny &amp; new SUV https://t.co/q1JnEdRynX @Maruti_Corp @MSArenaOfficial @Ertigabymaruti",1,0.13636363636363635
