,ID,Status,Created At,Text,Polarity,Polarity Strength
4,1291074196949176320,retweet,2020-08-05 18:10:50,Railmantri #NTPC railway exam ka proper schedule chahiye. #NTPCEXAMDATE  #GROUPDEXAMDATE  @PiyushGoyal @RailMinIndia @kmrvivek14 @Priyank63855262 @AdityaKashyp @PiyushGoyalOffc @PMOIndia @chourasiya92 @ChandaY62782157 @joli_kumar @exampuroficial @StudyUmang,0,0.0
3,1291073740214738945,retweet,2020-08-05 18:09:01,@PiyushGoyal #NTPC Exam karao,0,0.0
2,1291073650565591042,retweet,2020-08-05 18:08:39,@PiyushGoyal Goyal Rrb ntpc exam ke bare me kuch to boliye,1,0.05
1,1291070037386616832,retweet,2020-08-05 17:54:18,@HFWOdisha 10.37 pm food given at ntpc hospital Sundergarh.  Do you think the quality is ok.... https://t.co/nlJfSx8Cz3,1,0.5
0,1291069871019552769,tweet,2020-08-05 17:53:38,NTPC Railway ka exam kab tak hoga?,0,0.0
5,1291066305680875520,tweet,2020-08-05 17:39:28,"@otvnews Today at 10.37 food given to corona patient at NTPC hospital, Sundergarh.  Thanks to @Naveen_Odisha ji https://t.co/5cPmeoKkUr",1,0.2
6,1291065494288490496,tweet,2020-08-05 17:36:15,"@DmSambalpur @CMO_Odisha @HFWOdisha @SRC_Odisha Today at 10.37 food given to corona patient at NTPC hospital, Sundergarh.  Thanks to @Naveen_Odisha ji https://t.co/uJQVWMfRv2",1,0.2
7,1291064820842684417,tweet,2020-08-05 17:33:34,@HFWOdisha 10.37 pm food given at ntpc hospital Sundergarh.  Do you think the quality is ok.... https://t.co/nlJfSx8Cz3,1,0.5
8,1291064182687768576,tweet,2020-08-05 17:31:02,"RRB NTPC Admit Card 2020 – Date, Download for Railway Hall Ticket for CEN 01/2019 https://t.co/2uEILfyL9l https://t.co/jcYT0PkuK5",0,0.0
9,1291063976273428481,retweet,2020-08-05 17:30:13,@narendramodi Ary sir NTPC exam date ka bhi kuchh kariye  Aur railway privation ho jayega to jo government job ka sapna dekhte hai un logo ka kya hoga  #stop railway privation,0,0.0
10,1291062001897103361,retweet,2020-08-05 17:22:22,@narendramodi Ary sir NTPC exam date ka bhi kuchh kariye  Aur railway privation ho jayega to jo government job ka sapna dekhte hai un logo ka kya hoga  #stop railway privation,0,0.0
11,1291058675113578497,tweet,2020-08-05 17:09:09,"Can you solve this without pen and paper? ... To practise more questions, visit our website. https://t.co/zOXIntVYB2 ... #questionschallenge #Mathematics #numbersystem #qdot17 #SSC #ssccgl #sscchsl #sscje #NTPC #railwayexams #psc #jobs #govermnetjobs https://t.co/7ykrSwQVdG",1,0.5
12,1291058118361669635,tweet,2020-08-05 17:06:56,"@CMO_Odisha @Naveen_Odisha Today 05.08.2020 10.35 pm. No dinner provided to covid patient in NTPC hospital, Sundergarh.",0,0.0
13,1291057900933218308,tweet,2020-08-05 17:06:04,BHEL seeks containerized PCUs for 20 MW NTPC solar plant in Gujarat https://t.co/jEaOTJrJrR,0,0.0
14,1291057790497075200,retweet,2020-08-05 17:05:38,@PiyushGoyal  #NTPCEXAMDATE #NTPCEXAMDATE #GROUPDEXAMDATE We are asking continuously about the rrb ntpc group d exam dates cant you see  Are you really sleeping or ignoring the students and their future. We want the exam dates  just declare the dates of exams,1,0.1
15,1291056773231648768,retweet,2020-08-05 17:01:36,"Watch ""RRB NTPC Exam Date Demand | Online Petition"" on YouTube https://t.co/BdlTBQHu2m @Imneeraj97 @varshapaswan1 @KHUSHBO00135448 @PariDub24591329",0,0.0
16,1291056352287059969,retweet,2020-08-05 16:59:55,Stocks for 6/8/2020  AMARAJABAT BHEL BPCL HINDPETRO HINDUNILVR NESTLEIND NTPC ONGC PAGEIND RAMCOCEM,0,0.0
17,1291055405892689920,retweet,2020-08-05 16:56:10,@narendramodi Ary sir NTPC exam date ka bhi kuchh kariye  Aur railway privation ho jayega to jo government job ka sapna dekhte hai un logo ka kya hoga  #stop railway privation,0,0.0
