,ID,Status,Created At,Text,Polarity,Polarity Strength
54,1291036307498496000,retweet,2020-08-05 15:40:16,Apply Now - 4182 Post - ONGC Apprentice Recruitment 2020 ( New Delhi Job ) - Sarkari Naukri Result  Click Here  https://t.co/x6UvzN0p5P https://t.co/dHeIa9lYOb,1,0.13636363636363635
53,1290995920536887297,tweet,2020-08-05 12:59:47,7 Posts of Library Assistant (Apprentices ) at Oil and Natural Gas Corporation Limited Last Date: 17/08/2020  More information https://t.co/EW7f3mWedO https://t.co/whkeVvevW7,1,0.13214285714285715
52,1290676550636118017,tweet,2020-08-04 15:50:43,Oil and Natural Gas Corporation Limited (ONGCL) Recruitment 2020 : Library Assistant… https://t.co/O9UC1kO3Sw,1,0.01428571428571429
51,1290629482651344896,tweet,2020-08-04 12:43:42,"Oil and Natural Gas Corporation Limited (#ONGC) has #released a #new #recruitment #notification. Take a look at other #ongoing #exams, https://t.co/hALOB1EA2p  #India #Covid19India #vacancies #posts #employment2020  #lastdate #highlights #applicationdates  #LatestNews #Latest https://t.co/tpCdhJrDR4",1,0.10798701298701299
50,1290560185434611714,tweet,2020-08-04 08:08:20,"ONGC Gas Pipeline Bursts in Assam, No Damage Reported, Says Official  An underground gas pipeline at Assam's Geleky oilfield of energy major Oil and Natural Gas Corporation (ONGC) ruptured on Monday, leading to leakage of gas in the entire area, a senior company official said. https://t.co/BLNMTABhbg",1,0.05416666666666667
49,1290529189494308865,tweet,2020-08-04 06:05:10,"#Assam  An underground #gas #pipeline at Assam's #Geleky oilfield of energy major Oil and Natural Gas Corporation (#ONGC) ruptured on Monday, leading to leakage of gas in the entire area, a senior company official said https://t.co/i2oLm35cKB",1,0.05416666666666667
48,1290489646414102529,retweet,2020-08-04 03:28:02,"ONGC gas pipeline bursts in Assam, no damage reported: Official | via @IndiaTVNews https://t.co/zn0vDQrSUG",0,0.0
47,1290480689687621632,retweet,2020-08-04 02:52:27,"ONGC gas pipeline bursts in Assam, no damage reported: Official | via @IndiaTVNews https://t.co/zn0vDQrSUG",0,0.0
46,1290479453601112069,retweet,2020-08-04 02:47:32,"ONGC gas pipeline bursts in Assam, no damage reported: Official | via @IndiaTVNews https://t.co/zn0vDQrSUG",0,0.0
45,1290479120187441152,retweet,2020-08-04 02:46:12,"ONGC gas pipeline bursts in Assam, no damage reported: Official | via @IndiaTVNews https://t.co/zn0vDQrSUG",0,0.0
44,1290478873881112579,tweet,2020-08-04 02:45:14,"ONGC gas pipeline bursts in Assam, no damage reported: Official | via @IndiaTVNews https://t.co/zn0vDQrSUG",0,0.0
43,1290336934292852740,tweet,2020-08-03 17:21:13,ONGC Recruitment Trade Apprentice 2020  Information About Post  ONGC Recruitment Oil and Natural Gas Corporation Limited  has Announced for Online Application Form for the Apprentice in Various Trade 4182 Post Recruitment 2020 Free Job Alert. Those Candida https://t.co/JVh4fYRgIs https://t.co/VaVsZC0oRK,1,0.10714285714285715
42,1290226435165007875,retweet,2020-08-03 10:02:08,"Last week I had the distinct pleasure to share the stage(screen) with Prof Anil Kakodkar, at an event organized by Oil &amp; Natural Gas Corporation Limited (Ongc) Energy Center to discuss their new High quality superhydrophobic coatings for PV. https://t.co/H1VPDst13S",1,0.07499072356215215
41,1290224766930935811,tweet,2020-08-03 09:55:30,"Last week I had the distinct pleasure to share the stage(screen) with Prof Anil Kakodkar, at an event organized by Oil &amp; Natural Gas Corporation Limited (Ongc) Energy Center to discuss their new High quality superhydrophobic coatings for PV. https://t.co/H1VPDst13S",1,0.07499072356215215
40,1289785142064459777,tweet,2020-08-02 04:48:35,"OIL AND NATURAL GAS CORPORATION LTD (ONGC) Click Here For more Details: https://t.co/gBIfEtVSok ONGC Various Post Recruitment 2020 Engineering Graduate, ITI Diploma, https://t.co/nGdOUYoCFS BBA BA  Total Vacancy-4182 #jobseekers #JobSeekersSA #job #jobfairy #Jobs #ongc #ongc https://t.co/LdUb4Scwrz",1,0.15
39,1289701466761035777,tweet,2020-08-01 23:16:05,"ONGC Apprentice Online Form 2020 https://t.co/mB9ZhcJckJ  Hello dear all friends, now a good news for those candidates who interested in Oil And Natural Gas Corporation Limited (ONGC) because now ONGC released notification for the post of ONGC Apprenticeship Online Form 2020 so… https://t.co/GlGqlJmc9I",1,0.24464285714285716
38,1289527822218719232,tweet,2020-08-01 11:46:05,Oil and Natural Gas Corporation Limited Recruitment 2020 | 4182 Posts https://t.co/yoTW4r7mFc https://t.co/L1rQ7EMsxT,1,0.01428571428571429
37,1289509408267841536,retweet,2020-08-01 10:32:55,Apply Now - 4182 Post - ONGC Apprentice Recruitment 2020 ( New Delhi Job ) - Sarkari Naukri Result  Click Here  https://t.co/x6UvzN0p5P https://t.co/dHeIa9lYOb,1,0.13636363636363635
36,1289507272972890113,tweet,2020-08-01 10:24:26,Apply Now - 4182 Post - ONGC Apprentice Recruitment 2020 ( New Delhi Job ) - Sarkari Naukri Result  Click Here  https://t.co/x6UvzN0p5P https://t.co/dHeIa9lYOb,1,0.13636363636363635
35,1289463744368541696,tweet,2020-08-01 07:31:28,"Apprentice vacancies Oil and Natural Gas Corporation Limited (ONGC), Maharatna Last Date: (17-08-2020) https://t.co/NJRQHH8Qyj Recruitment https://t.co/JMpymYKY5P",-1,-0.18035714285714285
34,1289406201378115584,tweet,2020-08-01 03:42:49,"ONGC (Oil and Natural Gas Corporation Limited) has been notified for the new Apprentice Recruitment 4182 Posts.Interested candidates can apply online.  Visit here for more info,👇👇 https://t.co/8SY3EbKZ6U https://t.co/Gm3W4o2RXM",1,0.16623376623376623
33,1289405409464168448,tweet,2020-08-01 03:39:40,ONGC (Oil and Natural Gas Corporation Limited) has been notified for the new Apprentice Recruitment 4182 Posts.Interested candidates can apply online.  Visit here for more info👇👇 https://t.co/ysvI7MYJgi https://t.co/h0F5R5NVtJ,1,0.16623376623376623
32,1289391665258459137,retweet,2020-08-01 02:45:03,#BreakingJobsNews  Oil and Natural Gas Corporation Limited (ONGC) Recruitment 2020 - 4182 Apprentice Vacancies. Read Now👇#India #ONGC #JobSearch #JobAlert #Jobs #job #career  https://t.co/XeowhiUUks,1,0.01428571428571429
31,1289209546204880896,tweet,2020-07-31 14:41:22,#BreakingJobsNews  Oil and Natural Gas Corporation Limited (ONGC) Recruitment 2020 - 4182 Apprentice Vacancies. Read Now👇#India #ONGC #JobSearch #JobAlert #Jobs #job #career  https://t.co/XeowhiUUks,1,0.01428571428571429
30,1289006752936099841,tweet,2020-07-31 01:15:33,Latest Recruitment in Oil and Natural Gas Corporation Limited (ONGC) for 4182 Posts |… https://t.co/lxE53o9wuJ,1,0.1761904761904762
29,1288863825643610113,tweet,2020-07-30 15:47:36,Oil and Natural Gas Corporation Limited (ONGC) Recruit Apprentices Jobs (4182 Vacancies) https://t.co/b1bumXQFh8,1,0.01428571428571429
28,1288831022038233088,tweet,2020-07-30 13:37:15,Apprentices Jobs (4182 Vacancies) in Oil and Natural Gas Corporation Limited (ONGC): Oil… https://t.co/G39eS93rx9,1,0.01428571428571429
27,1288803903325089792,tweet,2020-07-30 11:49:30,ONGC Apprentice Recruitment: Apply for 4182 Posts Oil And Natural Gas Corporation Limited ONGC has been notified for the new apprentice recruitment #ongcapprenticerecruitment #apprenticevacancy #ongcapprenticejobs https://t.co/h7pIzSdBBK,1,0.05497835497835498
