,ID,Status,Created At,Text,Polarity
199,1264860412534599680,tweet,2020-05-25 10:06:36,"@swatision Dear Swati Aggarwal, We represent SBI Credit Cards only. For banking related queries/feedbacks, please contact SBI Branch. You can get in touch with them through their Twitter handle @TheOfficialSBI or their website https://t.co/t1uwcjKjit.",0
198,1264860192006565891,tweet,2020-05-25 10:05:44,"@anjanikant0987 Dear Anjani Kant, We thank you for showing interest in SBI Card. Unfortunately, we regret to inform you that we are unable to issue a credit card to you as the details furnished do not meet the policies set forth for issuance of credit card.",0
197,1264860104354074625,tweet,2020-05-25 10:05:23,"@Nikhilkvyas @SBICard_Connect Dear Nikhil Vyas, all SBI Credit Cards concerns/queries need to be directed to SBICard_Connect. For more information please visit https://t.co/fTda2QZvnp",0
196,1264859598961270784,tweet,2020-05-25 10:03:23,@Rahul951990 1. Log on to https://t.co/Xk0jIzDFAE with your SBI Card Online user id &amp; password and click on ‘Flexipay’ tab on the left hand navigation under 'Benefits' section 2. Select the transactions you want to convert to Flexipay &amp; click on 'Show Offer' button,0
195,1264859508318171137,tweet,2020-05-25 10:03:01,"@Rahul951990 Dear Customer,   You can convert any SBI Card transaction into EMI by logging on to https://t.co/Xk0jIzDFAE. Follow these simple steps to book a Flexipay successfully-",0
194,1264859379062337536,tweet,2020-05-25 10:02:30,Cash not dispensed from ATM but amount debited. Toll free no. &amp; SBI site message- 'we regret our inability to lodge your concern'. Kindly tell me who do I contact for my concern @TheOfficialSBI @SBICard_Connect,0
193,1264859363899920386,retweet,2020-05-25 10:02:26,SBI Mobile ATM Van in  Ahmedabad offered ATM services to BSF Jawans near their Camp.They utilised ATM services with  Social distancing and utmost discipline. They were very happy and appreciated the efforts by SBI during #COVID19. @TheOfficialSBI  @DFSFightsCorona https://t.co/gVDu6CNpph,0
192,1264859350029332480,retweet,2020-05-25 10:02:23,"Mr Amit Kumar, working at Pipavav Port and young customer of our SBI Rajula Branch,Amreli Region in Bhavnagar Module appreciating the services rendered by the Branch during these difficult times.  @DFSFightsCorona  @FinMinIndia  @CMOGuj https://t.co/avQDwU5ocm",0
191,1264859334942453762,retweet,2020-05-25 10:02:20,CSPs linked to SBI Branches of Amreli Region in Bhavnagar Module are rendering services to customers with all precautionary measures in their fight against #COVID19. @DFSFightsCorona  @FinMinIndia  @CMOGuj https://t.co/aDKke8BKOn,0
190,1264859289815937025,tweet,2020-05-25 10:02:09,"@SBICard_Connect Finally, after 10 yrs getting rid of my SBI CC relation as I find the service to be insecure, unreliable and unaccountable to customer relation. Classic example of 20 year reputation wiped away by 1 transaction.",0
189,1264859177765257217,retweet,2020-05-25 10:01:42,@freenaynow @JoeBiden Everyone assigned to NSC should be subject to SBI process with CI polygraph.,0
188,1264859059523670018,tweet,2020-05-25 10:01:14,@TheOfficialSBI https://t.co/B4rU6nWQG7. Under this link 100% wavier on processing fee is claimed by your branch .Why my processing fee was taken.??? https://t.co/WjMtuSIX3m,0
187,1264858814320381952,tweet,2020-05-25 10:00:15,"@HDFCBank_Cares I want to avail EmI moratorium extension till  Aug 2020 , what is the procedure? 2) Also my current home loan rate is 8.90% &amp; portal says that I can avail 8.10% by paying 5900? if that is case i will shift to SBI HOme loan",0
186,1264858750726225922,tweet,2020-05-25 10:00:00,"@VijuyRonjan Sir, u can also add few things also, may this occasion brings a positive strength and self consciousness to those SBI staff, whose in-sensitiveness leads to a reason of loss of innocents customers.    Amin!!!!",0
185,1264858718761480197,tweet,2020-05-25 09:59:53,@NeptuneSun1 @utsav1711 Pls check impact section in https://t.co/R3STxT15Xq,0
184,1264858642303467520,retweet,2020-05-25 09:59:34,100+ daughters rescued 1000+ Gaumata saved 10000+ brought to Vedas. Dalits/tribals integrated w/ Janeu-Yajna  50 books Gaushalas Arresting criminals  and more..  This is Agniveer  Support 1 UPI- agniveerupi@sbi 2 Ind https://t.co/BCufI8w21p 3 Outside Ind https://t.co/kv0sOboFI0 https://t.co/5NuIGh404p,0
183,1264858430713389057,retweet,2020-05-25 09:58:44,@freenaynow @JoeBiden Everyone assigned to NSC should be subject to SBI process with CI polygraph.,0
