,ID,Status,Created At,Text,Polarity,Polarity Strength
460,1291072801923723265,retweet,2020-08-05 18:05:17,Congratulations M/s.Tata Consultancy Services Ltd -Unit-IV #Chennai! for renewal of license!    #GrowWithSTPI #DigitalIndia #STPIINDIA #STPICHENNAI @MakeInIndia @rsprasad @SanjayDhotreMP @GoI_MeitY @SecretaryMEITY @Omkar_Raii https://t.co/OYyrq5QeAN,0,0.0
459,1291072742058409984,retweet,2020-08-05 18:05:03,Congratulations M/s.Tata Consultancy Services Ltd -Unit-IV #Chennai! for renewal of license!    #GrowWithSTPI #DigitalIndia #STPIINDIA #STPICHENNAI @MakeInIndia @rsprasad @SanjayDhotreMP @GoI_MeitY @SecretaryMEITY @Omkar_Raii https://t.co/OYyrq5QeAN,0,0.0
458,1291063715849105409,retweet,2020-08-05 17:29:11,Congratulations M/s.Tata Consultancy Services Ltd -Unit-IV #Chennai! for renewal of license!    #GrowWithSTPI #DigitalIndia #STPIINDIA #STPICHENNAI @MakeInIndia @rsprasad @SanjayDhotreMP @GoI_MeitY @SecretaryMEITY @Omkar_Raii https://t.co/OYyrq5QeAN,0,0.0
457,1291055615020642304,retweet,2020-08-05 16:56:59,Congratulations M/s.Tata Consultancy Services Ltd -Unit-IV #Chennai! for renewal of license!    #GrowWithSTPI #DigitalIndia #STPIINDIA #STPICHENNAI @MakeInIndia @rsprasad @SanjayDhotreMP @GoI_MeitY @SecretaryMEITY @Omkar_Raii https://t.co/OYyrq5QeAN,0,0.0
456,1291052839138025472,retweet,2020-08-05 16:45:58,Congratulations M/s.Tata Consultancy Services Ltd -Unit-IV #Chennai! for renewal of license!    #GrowWithSTPI #DigitalIndia #STPIINDIA #STPICHENNAI @MakeInIndia @rsprasad @SanjayDhotreMP @GoI_MeitY @SecretaryMEITY @Omkar_Raii https://t.co/OYyrq5QeAN,0,0.0
455,1291050129516949504,retweet,2020-08-05 16:35:12,Congratulations M/s.Tata Consultancy Services Ltd -Unit-IV #Chennai! for renewal of license!    #GrowWithSTPI #DigitalIndia #STPIINDIA #STPICHENNAI @MakeInIndia @rsprasad @SanjayDhotreMP @GoI_MeitY @SecretaryMEITY @Omkar_Raii https://t.co/OYyrq5QeAN,0,0.0
454,1291048187482890241,retweet,2020-08-05 16:27:29,Congratulations M/s.Tata Consultancy Services Ltd -Unit-IV #Chennai! for renewal of license!    #GrowWithSTPI #DigitalIndia #STPIINDIA #STPICHENNAI @MakeInIndia @rsprasad @SanjayDhotreMP @GoI_MeitY @SecretaryMEITY @Omkar_Raii https://t.co/OYyrq5QeAN,0,0.0
453,1291044826993967104,retweet,2020-08-05 16:14:07,Congratulations M/s.Tata Consultancy Services Ltd -Unit-IV #Chennai! for renewal of license!    #GrowWithSTPI #DigitalIndia #STPIINDIA #STPICHENNAI @MakeInIndia @rsprasad @SanjayDhotreMP @GoI_MeitY @SecretaryMEITY @Omkar_Raii https://t.co/OYyrq5QeAN,0,0.0
452,1291042603123712001,retweet,2020-08-05 16:05:17,Congratulations M/s.Tata Consultancy Services Ltd -Unit-IV #Chennai! for renewal of license!    #GrowWithSTPI #DigitalIndia #STPIINDIA #STPICHENNAI @MakeInIndia @rsprasad @SanjayDhotreMP @GoI_MeitY @SecretaryMEITY @Omkar_Raii https://t.co/OYyrq5QeAN,0,0.0
451,1291040191537246209,retweet,2020-08-05 15:55:42,Congratulations M/s.Tata Consultancy Services Ltd -Unit-IV #Chennai! for renewal of license!    #GrowWithSTPI #DigitalIndia #STPIINDIA #STPICHENNAI @MakeInIndia @rsprasad @SanjayDhotreMP @GoI_MeitY @SecretaryMEITY @Omkar_Raii https://t.co/OYyrq5QeAN,0,0.0
450,1291039780080242688,retweet,2020-08-05 15:54:04,Congratulations M/s.Tata Consultancy Services Ltd -Unit-IV #Chennai! for renewal of license!    #GrowWithSTPI #DigitalIndia #STPIINDIA #STPICHENNAI @MakeInIndia @rsprasad @SanjayDhotreMP @GoI_MeitY @SecretaryMEITY @Omkar_Raii https://t.co/OYyrq5QeAN,0,0.0
449,1291035759416242179,retweet,2020-08-05 15:38:05,Congratulations M/s.Tata Consultancy Services Ltd -Unit-IV #Chennai! for renewal of license!    #GrowWithSTPI #DigitalIndia #STPIINDIA #STPICHENNAI @MakeInIndia @rsprasad @SanjayDhotreMP @GoI_MeitY @SecretaryMEITY @Omkar_Raii https://t.co/OYyrq5QeAN,0,0.0
448,1291034460293484544,retweet,2020-08-05 15:32:56,Congratulations M/s.Tata Consultancy Services Ltd -Unit-IV #Chennai! for renewal of license!    #GrowWithSTPI #DigitalIndia #STPIINDIA #STPICHENNAI @MakeInIndia @rsprasad @SanjayDhotreMP @GoI_MeitY @SecretaryMEITY @Omkar_Raii https://t.co/OYyrq5QeAN,0,0.0
