,ID,Status,Created At,Text,Polarity,Polarity Strength
2,1291085820590469120,tweet,2020-08-05 18:57:01,"Join 1500+ attendees from companies such as Ericsson, General Motors, BMW, Ridecell, Irdeto, Tata Communications and many more at #tudetroit in less than 2 weeks!  Join them &gt;&gt; https://t.co/FYPuD5sC3m https://t.co/0zW0mhRbSK",1,0.16833333333333336
3,1291085820770869249,tweet,2020-08-05 18:57:01,"Join 1500+ attendees from companies such as Ericsson, General Motors, BMW, Ridecell, Irdeto, Tata Communications and many more at #tudetroit in less than 2 weeks!  Join them &gt;&gt; https://t.co/TsOkFstGsA https://t.co/b8OIIKbSCU",1,0.16833333333333336
4,1291085821035126790,tweet,2020-08-05 18:57:01,"Join 1500+ attendees from companies such as Ericsson, General Motors, BMW, Ridecell, Irdeto, Tata Communications and many more at #tudetroit in less than 2 weeks!  Join them &gt;&gt; https://t.co/pwN1Bd5Xdv https://t.co/XbYFpx4thh",1,0.16833333333333336
1,1291085115234201600,tweet,2020-08-05 18:54:13,"@TataMotors @RNTata2000 Please take action on the dealer. They cheated on us. I simply believe them and they break my trust. They took 35304/- for insurance but give us policy of Rs 30,407. Its my request please look into this matter. I have all fate in Tata motors. Pls act on it",1,0.05
0,1291084003475255296,tweet,2020-08-05 18:49:48,"@TataMotors_Cars I have booked Tata Nexon on 7th of July2020 but still i didnt get it and those giving excuses of labour shortage in manufacturing unit. Its too Long. Please let me know ASAP or I am gonna to Cancel my booking.  Showroom Name:Magadh Motors, Gaya ,Bihar",-1,-0.05
5,1291082339020238848,tweet,2020-08-05 18:43:11,@TataMotors @RNTata2000 On 28 July I purchased a Tata Altroz XT (P) Paid full amount and I request many times to see my new car before delivery but they denied. Its high time and this break my patients level. I feel that Lexus Motors Barasat cheated me and feel horrible. (1/2),1,0.02927272727272725
6,1291082145570492416,tweet,2020-08-05 18:42:25,@RNTata2000 please help me tata motors finance cheats me sir I earn money by hard work sir please sir help me my car details are HR 02 AR 1894 please help me sir. I have no option sir I am able to thik sir otherwise I will commit suside sir. My name is vishal sir.,1,0.10416666666666666
7,1291081565460525056,tweet,2020-08-05 18:40:06,@RNTata2000 Tata motors finance cheats with customers sir please help us behavior is so rude with customers please look into this my car details are HR 02 AR 1894 name is vishal kumar sir please help me,-1,-0.3
8,1291081047896014848,tweet,2020-08-05 18:38:03,@RNTata2000 Please help me i am quite fastrauted from your employee behavior of Tata motors finance please help me my car details are HR02AR1894 my name is vishal kumar,0,0.0
9,1291079807858442241,tweet,2020-08-05 18:33:07,@Ratanta32269963 I am quite fastrauted(tata motors finance) from your employee behavior if It will be same behavior I will definitely commit suside. Please help me i have no other option my car details are HR 02 AR 1894 please look into this,1,0.02083333333333333
10,1291078874390962176,retweet,2020-08-05 18:29:25,"Tata motors given on 6th july  Slowly slowly inching towards target  107 to 116. 5 Near to 8% returns Book little profits here  Heading for 125-139  Fresh entry - light positions, light qty  Rest keep holding with trailing SL https://t.co/n8BElkdmO0",1,0.11874999999999998
11,1291075762561232896,tweet,2020-08-05 18:17:03,"@SurajSi36285401 Bhai, this prices are set by the dealer only after consulatation with the manufacturer like Tata Motors. Hence both are equally responsible here for  Miscommitment. Change my name if Tata Motors will get you your money back from the dealer. Max you may expect a courtsey call.",1,0.06666666666666668
12,1291062944055169025,retweet,2020-08-05 17:26:07,The End of an Era as Tata Motors Prepare to Sell Their Passenger Car Business https://t.co/e96DQE1WX1 via @MoneylifeIndia,0,0.0
13,1291060775809716224,tweet,2020-08-05 17:17:30,@Mr_Chartist Can u chart for Tata motors,0,0.0
14,1291060697686609921,tweet,2020-08-05 17:17:11,Tata Motors is also in talks with France's PSA Group as well as various Chinese players like Geely and Changan. The strategic move to bring in a new partner came after 12 years of Tata Motors acquiring Jaguar Land Rover from Ford for $2.3 billion.,1,0.04545454545454545
