,ID,Status,Created At,Text,Polarity,Polarity Strength
2,1291086373378756615,retweet,2020-08-05 18:59:13,"#Brexit 1 Cadbury moved factory 2 Poland 2011 with EU grant. Ford Transit moved 2Turkey 2013 with EU grant. Jaguar Land Rover recently agreed 2 build a new plant in Slovakia with EU grant, owned by Tata, same company who trashed our steel industry &amp; emptied workers pension funds.",1,0.04545454545454545
1,1291084453616316417,retweet,2020-08-05 18:51:35,"Todays Post Metal Sector Analysis–Video–Hind Zinc,NMDC,OMDC,Hindalco,Tata Steel,Sail and… https://t.co/B9T7QssDxl",0,0.0
0,1291084079664963590,tweet,2020-08-05 18:50:06,"Todays Post Metal Sector Analysis–Video–Hind Zinc,NMDC,OMDC,Hindalco,Tata Steel,Sail and… https://t.co/B9T7QssDxl",0,0.0
3,1291081317619179521,tweet,2020-08-05 18:39:07,Long unwinding was seen in tata steel in 400ce any chances of it going above 410-420 @AxonopusC,-1,-0.025
4,1291074719454830592,retweet,2020-08-05 18:12:54,Fun fact: Jinnah helped Tata raise money for India’s first steel plant after the British refused to provide support. https://t.co/LXUJklnQC1,1,0.18333333333333332
5,1291069636927201280,tweet,2020-08-05 17:52:43,"@jonburkeUK @placeclubber @tomhillonline Jon, what would you replace the work at British Aerospace or Tata Steel with? And how would you do it? And when? Because you'll risk losing those jobs if you have a pause.",0,0.0
6,1291054303688310784,tweet,2020-08-05 16:51:47,@ssingapuri I was born and brought up in Jamshedpur. Proud of the Steel city. Maybe someday we can discuss what exactly is the Tatas for the employees. My grandfather and father both worked with Tata Steel,1,0.525
7,1291053813680558080,retweet,2020-08-05 16:49:50,"#Brexit 1 Cadbury moved factory 2 Poland 2011 with EU grant. Ford Transit moved 2Turkey 2013 with EU grant. Jaguar Land Rover recently agreed 2 build a new plant in Slovakia with EU grant, owned by Tata, same company who trashed our steel industry &amp; emptied workers pension funds.",1,0.04545454545454545
8,1291052360463200258,retweet,2020-08-05 16:44:03,"#Brexit 1 Cadbury moved factory 2 Poland 2011 with EU grant. Ford Transit moved 2Turkey 2013 with EU grant. Jaguar Land Rover recently agreed 2 build a new plant in Slovakia with EU grant, owned by Tata, same company who trashed our steel industry &amp; emptied workers pension funds.",1,0.04545454545454545
9,1291051346230013953,tweet,2020-08-05 16:40:02,"Nifty Metal Index is on fire since last 1 month, notched up impressive gains of &gt; 10% Tata Steel JSW Steel Hindalco Vedanta Lead the charge and has potential to spike another 4-5% https://t.co/y93lv6OfCK",1,0.3333333333333333
10,1291049394028998656,tweet,2020-08-05 16:32:16,Tata Steel makes 398... 440 may not be ruled out,0,0.0
11,1291044777777983488,tweet,2020-08-05 16:13:56,"Today's highlights | 5 Aug 2020  • Sensex -0.07%, Nifty +0.06%  Top gainers: Tata Steel, Titan, Hindalco Top losers: Reliance, HDFC Bank, Power Grid Corporation  📨Read in-depth in your email inbox.",1,0.26666666666666666
12,1291043810235957248,retweet,2020-08-05 16:10:05,"#MetalSector Analysis - https://t.co/Sm23MDwNRi  #HindZinc,#Nmdc,#OMDC,#Hindalco,#TataSteel,#Sail, #JSWSteel . Continuing from the previous post - https://t.co/IDjdWthRuw",-1,-0.16666666666666666
13,1291042906170507264,tweet,2020-08-05 16:06:29,05/08/20 Sensex closed 0.07% down at 37663 Nifty closed 0.06% up at 11101  FII Net sold ₹60 Crs DII Net sold ₹425Crs  Nifty Top gainers: Tata motors Hindalco Tata steel Adani ports Eicher motors  Top losers: UPL Wipro Powergrid Reliance HDFC life #sensex #nifty50 #Nifty,1,0.055555555555555546
14,1291042612279832576,tweet,2020-08-05 16:05:19,TATA STEEL RANGE BREAK OUT BUY 400 Ce@12.50-13 SL TARGET IN CHART BELOW #flag_pattern_breakout #upflag #sensex  #nifty  #banknifty #technical_analysis  #money #profits #bse #nse  #charts https://t.co/Y8hf7zt2i5,0,0.0
15,1291040475579809792,tweet,2020-08-05 15:56:50,@Fiona82211734 @Iromg @Gary80SuzukiRM @ChrisMatthews77 if you are working your balls off you are not working smart. smart is when politicians have no say in your affairs. I don't need these bafoons and nor do you. Mike; please get a Tesla and dump the Tata Steel polluter.,1,0.21428571428571427
16,1291037617895510018,tweet,2020-08-05 15:45:29,"@AxonopusC Surprisingly tata steel &amp; axis are not in buy zone as per ""&lt;"" entry signal and you started boasting with returns.",1,0.7
17,1291036067076816900,retweet,2020-08-05 15:39:19,"Jamshedpur was not named after him. It was named after Jamshetji Nusserwanji Tata , the founder of Tata Steel.  @ssingapuri would be really proud to see JRD's name . https://t.co/dLtqeZRgV7",1,0.8
18,1291035907781324800,tweet,2020-08-05 15:38:41,"#MetalSector Analysis - https://t.co/Sm23MDwNRi  #HindZinc,#Nmdc,#OMDC,#Hindalco,#TataSteel,#Sail, #JSWSteel . Continuing from the previous post - https://t.co/IDjdWthRuw",-1,-0.16666666666666666
19,1291035826718011392,tweet,2020-08-05 15:38:22,"Jamshedpur was not named after him. It was named after Jamshetji Nusserwanji Tata , the founder of Tata Steel.  @ssingapuri would be really proud to see JRD's name . https://t.co/dLtqeZRgV7",1,0.8
20,1291035667657523201,retweet,2020-08-05 15:37:44,"#Brexit 1 Cadbury moved factory 2 Poland 2011 with EU grant. Ford Transit moved 2Turkey 2013 with EU grant. Jaguar Land Rover recently agreed 2 build a new plant in Slovakia with EU grant, owned by Tata, same company who trashed our steel industry &amp; emptied workers pension funds.",1,0.04545454545454545
21,1291035631909351424,tweet,2020-08-05 15:37:35,TATA STEEL 33O TO 386.. EXPLAIN .... https://t.co/NG6fltG1F3,0,0.0
22,1291035325372850176,retweet,2020-08-05 15:36:22,Two months yet to be  Tata steel 390 https://t.co/XC8PQz6mEK,0,0.0
23,1291033965038632961,retweet,2020-08-05 15:30:58,"#Brexit 1 Cadbury moved factory 2 Poland 2011 with EU grant. Ford Transit moved 2Turkey 2013 with EU grant. Jaguar Land Rover recently agreed 2 build a new plant in Slovakia with EU grant, owned by Tata, same company who trashed our steel industry &amp; emptied workers pension funds.",1,0.04545454545454545
24,1291033851444092928,retweet,2020-08-05 15:30:31,"This target would bring Tata Steel to a point that is slightly above the effective conversion price of its own partly paid shares issued a few years back.   And still, 20% below 2006 levels. Such carnage. https://t.co/tUDUkBkCTS",1,0.16666666666666666
25,1291025325950939137,retweet,2020-08-05 14:56:38,"#Brexit 1 Cadbury moved factory 2 Poland 2011 with EU grant. Ford Transit moved 2Turkey 2013 with EU grant. Jaguar Land Rover recently agreed 2 build a new plant in Slovakia with EU grant, owned by Tata, same company who trashed our steel industry &amp; emptied workers pension funds.",1,0.04545454545454545
26,1291022240385966085,tweet,2020-08-05 14:44:22,Book profit in Tata steel now at 397 INR.,0,0.0
27,1291021778077257728,retweet,2020-08-05 14:42:32,"Hello Readers, TATA STEEL Is in focus so should you buy in CMP or wait for dips ??  Please Like share   https://t.co/DxXXpLxxuE   #nifty50 #Nifty #BSE #HDFC #hdfcbank #SBI #tcs #Infosys #ICICIBank #KOTAKBANK #ITC #hul #FMCG #money #RIL #Reliance #RelianceIndustries #RelianceJio",0,0.0
28,1291021415974567936,retweet,2020-08-05 14:41:06,Fun fact: Jinnah helped Tata raise money for India’s first steel plant after the British refused to provide support. https://t.co/LXUJklnQC1,1,0.18333333333333332
29,1291020766327103493,tweet,2020-08-05 14:38:31,"Hello Readers, TATA STEEL Is in focus so should you buy in CMP or wait for dips ??  Please Like share   https://t.co/DxXXpLxxuE   #nifty50 #Nifty #BSE #HDFC #hdfcbank #SBI #tcs #Infosys #ICICIBank #KOTAKBANK #ITC #hul #FMCG #money #RIL #Reliance #RelianceIndustries #RelianceJio",0,0.0
30,1291019563384086529,retweet,2020-08-05 14:33:44,"#Brexit 1 Cadbury moved factory 2 Poland 2011 with EU grant. Ford Transit moved 2Turkey 2013 with EU grant. Jaguar Land Rover recently agreed 2 build a new plant in Slovakia with EU grant, owned by Tata, same company who trashed our steel industry &amp; emptied workers pension funds.",1,0.04545454545454545
