,ID,Status,Created At,Text,Polarity,Polarity Strength
397,1291048027898118149,tweet,2020-08-05 16:26:51,@harrie007 Ultratech Cement : Weekly Chart : Price has enterted inside the channel.  Gathering Support. https://t.co/m2cDy4Wd8Z,0,0.0
396,1291046530699452417,tweet,2020-08-05 16:20:54,"Top cement makers such as Ultratech, ACC, Ambuja Cement and India Cements have adopted cost-reduction strategies such as supply chain optimisation and overhead controls to overcome a sharp fall in sales.  #cementindustry #topcementcompanies https://t.co/BJm7rOVkCG",1,0.09375
395,1291015245318590466,tweet,2020-08-05 14:16:35,"Ultratech cement longs to be added tomorrow/ watch this space. Last call maruti, reliance worked. Only disappointment manappuram ⚠️ #nifty https://t.co/0cyDyvGgJE",-1,-0.19999999999999998
394,1290967694494150658,retweet,2020-08-05 11:07:38,"Ultratech has an ‘overhead control programme’ that reduced fixed costs by 21%. Ambuja Cement and ACC adopted a supply-chain network optimisation strategy., and India Cements too adopted strategies to bring down fixed cost on contract labour, and administrative &amp; marketing ovrhds.",1,0.014814814814814808
393,1290966229155364864,tweet,2020-08-05 11:01:48,"Ultratech has an ‘overhead control programme’ that reduced fixed costs by 21%. Ambuja Cement and ACC adopted a supply-chain network optimisation strategy., and India Cements too adopted strategies to bring down fixed cost on contract labour, and administrative &amp; marketing ovrhds.",1,0.014814814814814808
392,1290924062647021569,tweet,2020-08-05 08:14:15,"NOW AVAILABLE IN = ""BUILD  TREE APP""   BUILDTREE: https://t.co/j2M7cuUAJ1  https://t.co/o4PWHXXzbQ  earrowsales@gmail.Com :8870195006 #Dharmapuri #EARROWGROUP  * ULTRATECH CEMENT :   * 380 PPC = grade 43   * 390 OPC  = grade 53 https://t.co/MfHaBESzSE",1,0.4
391,1290884655118311426,tweet,2020-08-05 05:37:39,Tune in now as we discuss the technicals of two key cement players: Ultratech and Ramco cement @kbbothra @stockboyvarun @RaoKarunya,0,0.0
390,1290880814134173696,retweet,2020-08-05 05:22:24,UltraTech Cement releases its Sustainability Report for FY19-20 with the theme ‘Driving Growth through SDGs’. Click here to read the report https://t.co/HOEvqBilOm #sustainability #sustainablebusiness #SDGs https://t.co/arPv7iBWU4,0,0.0
389,1290869145957883905,retweet,2020-08-05 04:36:02,"Cement: Ramco, Orient, UltraTech and the big one Shree Cement. @CNBC_Awaaz",0,0.0
388,1290862906712551425,tweet,2020-08-05 04:11:14,"Cement: Ramco, Orient, UltraTech and the big one Shree Cement. @CNBC_Awaaz",0,0.0
387,1290837119338831872,tweet,2020-08-05 02:28:46,@UltraTechCement I am using ultratech premium but nothing on bag it is opc or ppc.which type of cement it is?,0,0.0
386,1290814142052368384,tweet,2020-08-05 00:57:28,BPCL to raise funds via intra-month CP at 3.39% coupon UltraTech Cement to raise funds via three-month CP at 3.38% coupon BHEL to raise funds via three-month CP at 3.44% coupon Godrej Industries to raise funds via three-month CP at 3.44% coupon,0,0.0
385,1290718982249410562,tweet,2020-08-04 18:39:20,"J&amp;K department of industry and commerce is reaching out to several corporates including ITC, Tata Group, Suzlon Energy, Mahindra Agrotech, Ultratech Cement and Raddison Hotels to participate in states development by establishing industries.  https://t.co/uKCmsBT3U7",0,0.0
384,1290677433851695106,retweet,2020-08-04 15:54:14,UltraTech Cement releases its Sustainability Report for FY19-20 with the theme ‘Driving Growth through SDGs’. Click here to read the report https://t.co/HOEvqBilOm #sustainability #sustainablebusiness #SDGs https://t.co/arPv7iBWU4,0,0.0
383,1290676006882119681,tweet,2020-08-04 15:48:34,ultratech / shree cement / birla corporation   Disclaimer : holding for trade https://t.co/an0SEoSLdw,0,0.0
382,1290657751081852928,tweet,2020-08-04 14:36:01,@b50 HUL ICICI Bank Infosys DMart Ultratech Cement @remindmetweets 2 years,0,0.0
381,1290656568984440834,tweet,2020-08-04 14:31:19,"@shail_bhatnagar @CNBC_Awaaz @CNBCBajar @YatinMota @SumitResearch @virendraonNifty @NeerajCNBC @deepaliranaa Hello Sir, ur view on Ultratech Cement, holding @4200",0,0.0
380,1290652119201189890,tweet,2020-08-04 14:13:39,"@UltraTechCement stores are selling the cements at High price, if i don't buy the item then suggest another company cements with discount. How check the retail price of Ultratech cement??",1,0.16
379,1290619538308907009,tweet,2020-08-04 12:04:11,@CNBC_Awaaz hello I have 13 shares of ultratech cement at the price of ₹4225. Should I hold it or book loss right away,1,0.2857142857142857
378,1290617505879216128,retweet,2020-08-04 11:56:06,UltraTech Cement releases its Sustainability Report for FY19-20 with the theme ‘Driving Growth through SDGs’. Click here to read the report https://t.co/HOEvqBilOm #sustainability #sustainablebusiness #SDGs https://t.co/arPv7iBWU4,0,0.0
