,ID,Status,Created At,Text,Polarity,Polarity Strength
20,1291089606503358464,retweet,2020-08-05 19:12:04,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
19,1291089066054815745,tweet,2020-08-05 19:09:55,"@RishadPremji @Wipro Great work sir, you set up the example that if health care sytem served properly and honestly then covid 19 patients in any aged can be cure",1,0.32499999999999996
18,1291089018659041280,retweet,2020-08-05 19:09:43,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
17,1291088703989792770,retweet,2020-08-05 19:08:28,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
16,1291088203298902016,tweet,2020-08-05 19:06:29,Echo Dot (Black) bundle with Wipro 9W LED smart color bulb@ 2299  https://t.co/TsNhm3i2ZX,1,0.023809523809523808
15,1291088155718881280,tweet,2020-08-05 19:06:18,Echo Dot (Black) bundle with Wipro 9W LED smart color bulb@ 2299  https://t.co/VBnBp9Medv,1,0.023809523809523808
14,1291088120415490048,retweet,2020-08-05 19:06:09,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
13,1291087626049527809,retweet,2020-08-05 19:04:11,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
12,1291087047243988992,tweet,2020-08-05 19:01:53,Loot Pack of 2 Alexa at ₹3999 With Wipro Smart Bulb  https://t.co/cd5OEoV5Xr,1,0.21428571428571427
11,1291086582275903489,retweet,2020-08-05 19:00:03,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
10,1291086570070487041,tweet,2020-08-05 19:00:00,Echo Dot (Black) bundle with Wipro 9W LED smart color bulb at 2299/- only  Link : https://t.co/FxOgzsHtQq,1,0.015873015873015872
9,1291086281577922560,tweet,2020-08-05 18:58:51,Single echo dot + wipro bulb - 2299   https://t.co/Lpkz1xLJeU,-1,-0.07142857142857142
8,1291086172404330496,tweet,2020-08-05 18:58:25,*Grab Fast*   *DEAL OF THE DAY*   2 echo dot + Wipro light at 3999  https://t.co/GnqUhQzcnR,1,0.30000000000000004
