,ID,Status,Created At,Text,Polarity,Polarity Strength
999,1291089512806981637,retweet,2020-08-05 19:11:41,"Give your girlfriend your bank card and let her go spoil herself...yes, it’s going to decline but it’s the thought that counts🤷🏾‍♂️",0,0.0
998,1291088583399440385,retweet,2020-08-05 19:08:00,"LMMFAO...Trump Taxes being sought for BANK FRAUD...INSURANCE FRAUD...Dirty Money Trump stole from innocent Americans, money laundered for the MOB...FELIX H. SATER you crack me up with your Hatred for America, &amp; YES it shows! #Prison4Trump https://t.co/Drl0BO2wEG https://t.co/kECIWhuMef",1,0.625
997,1291088409738579973,retweet,2020-08-05 19:07:18,Just not to break your bank.  If you need this to present as a birthday gift.  Yes it’s possible 🥰🥰🥰  Feed your eyes below 😍 https://t.co/oXxfoIpsAc,0,0.0
996,1291088352133996544,retweet,2020-08-05 19:07:05,"Give your girlfriend your bank card and let her go spoil herself...yes, it’s going to decline but it’s the thought that counts🤷🏾‍♂️",0,0.0
995,1291088245204320260,retweet,2020-08-05 19:06:39,"LMMFAO...Trump Taxes being sought for BANK FRAUD...INSURANCE FRAUD...Dirty Money Trump stole from innocent Americans, money laundered for the MOB...FELIX H. SATER you crack me up with your Hatred for America, &amp; YES it shows! #Prison4Trump https://t.co/Drl0BO2wEG https://t.co/kECIWhuMef",1,0.625
994,1291088182721773570,retweet,2020-08-05 19:06:24,Just not to break your bank.  If you need this to present as a birthday gift.  Yes it’s possible 🥰🥰🥰  Feed your eyes below 😍 https://t.co/oXxfoIpsAc,0,0.0
993,1291087882439073798,retweet,2020-08-05 19:05:13,"Give your girlfriend your bank card and let her go spoil herself...yes, it’s going to decline but it’s the thought that counts🤷🏾‍♂️",0,0.0
992,1291087866496417795,tweet,2020-08-05 19:05:09,"YES! The City of Delta &amp; Mayor, @Harvie4Delta, are asking the federal government to reject the proposed Roberts Bank Terminal 2 project 👏👏👏  Show your support &amp; take action 📢👉 https://t.co/GmRWOHRGBL  Read more 👉 https://t.co/geHcxTXY9M  #OrcasCantWait #DeltaBC #CdnPoli",1,0.3
991,1291087772464316417,tweet,2020-08-05 19:04:46,"LMMFAO...Trump Taxes being sought for BANK FRAUD...INSURANCE FRAUD...Dirty Money Trump stole from innocent Americans, money laundered for the MOB...FELIX H. SATER you crack me up with your Hatred for America, &amp; YES it shows! #Prison4Trump https://t.co/Drl0BO2wEG https://t.co/kECIWhuMef",1,0.625
990,1291087723240067075,retweet,2020-08-05 19:04:35,Just not to break your bank.  If you need this to present as a birthday gift.  Yes it’s possible 🥰🥰🥰  Feed your eyes below 😍 https://t.co/oXxfoIpsAc,0,0.0
989,1291087574669328397,retweet,2020-08-05 19:03:59,Just not to break your bank.  If you need this to present as a birthday gift.  Yes it’s possible 🥰🥰🥰  Feed your eyes below 😍 https://t.co/oXxfoIpsAc,0,0.0
988,1291087337590534148,retweet,2020-08-05 19:03:03,Just not to break your bank.  If you need this to present as a birthday gift.  Yes it’s possible 🥰🥰🥰  Feed your eyes below 😍 https://t.co/oXxfoIpsAc,0,0.0
987,1291087302823903233,tweet,2020-08-05 19:02:54,"@shatteredshards @green_ibandit @taystlykjb3 @Timi_Cocodia Yes you can. But your opinion isn’t worth much let’s be honest. Doesn’t slow her down or reduce her bank balance or change the fact that she donates to charity or does her little to help the world. If you hate her, you can block her. Wouldn’t that be easier than lashing out?",-1,-0.04900793650793651
986,1291087268636028928,tweet,2020-08-05 19:02:46,"@therealchiquis @itisjustmebabe @Bukamania excellent, yes this is a total loss and it's been paid off to the bank already. This is a check for deductible reimbursement which was confusing to me because I never had to pay the deductible",1,0.2333333333333333
985,1291086258077347841,retweet,2020-08-05 18:58:45,"Give your girlfriend your bank card and let her go spoil herself...yes, it’s going to decline but it’s the thought that counts🤷🏾‍♂️",0,0.0
984,1291086252951760896,tweet,2020-08-05 18:58:44,@Xer087 @almighty_red @BobbyFNAxelrod @EllleDe Damn man I’m legit at the bank and was gonna wire to we bull but now I don’t know!!! Lol... damn... cuz I love TD interface... but yes it can be hit or miss and help or get you to buy at inflated prices,1,0.65
983,1291085690466381825,tweet,2020-08-05 18:56:30,"whats up just had to get on the phone with my bank to confirm that yes, i indeed ordered $50 worth of goth clothes",1,0.3
